survey,cohort_index,cohort_midpoint,n_cells,estimate,ci_lower,ci_upper,se,p_value,rel_to_cbar,in_primary_region
BRFSS,1,1904.5,1,-0.202196081563452,-0.2787313031658993,-0.12566085996100473,0.0390485824502282,2.2421979150384e-7,-53.185868402371625,FALSE
BRFSS,2,1912,2,-0.14790444217481,-0.19359964927411383,-0.10220923507550617,0.0233138811731142,2.2384556369653003e-10,-45.685868402371625,FALSE
BRFSS,3,1917.8333333333333,3,-0.11062784110555,-0.14108650144603116,-0.08016918076506885,0.0155401328267761,1.0886681534318998e-12,-39.85253506903837,FALSE
BRFSS,4,1923.25,4,-0.108990308874337,-0.13259169051034045,-0.08538892723833355,0.012041521242858901,1.4150910377992698e-19,-34.435868402371625,FALSE
BRFSS,5,1928.5,5,-0.0483777407145557,-0.06827583460233236,-0.02847964682677904,0.0101520887182534,1.88585880866557e-6,-29.185868402371625,FALSE
BRFSS,6,1933.6666666666667,6,0.00956190351234915,-0.00785934893904941,0.02698315596374771,0.00888839410785641,0.282028452377801,-24.019201735704883,TRUE
BRFSS,7,1938.7857142857144,7,0.0607238028625182,0.04614629204097118,0.07530131368406523,0.00743750552119746,3.22837511015725e-16,-18.900154116657177,TRUE
BRFSS,8,1943.875,8,0.0873334340504619,0.0629151737597836,0.1117516943411402,0.0124582960666726,2.3828142538993997e-12,-13.810868402371625,TRUE
BRFSS,9,1949.5,8,0.0681650032844795,0.03833187219564236,0.09799813437331664,0.0152209852494067,7.52236618701881e-6,-8.185868402371625,TRUE
BRFSS,10,1954.5,8,0.0554356410629608,0.03156585212585171,0.07930543000006987,0.012178463743423,5.31563070660855e-6,-3.185868402371625,TRUE
BRFSS,11,1959.5,8,0.0400266525972534,0.01587780897326981,0.064175496221237,0.0123208385836651,0.00115937301763062,1.814131597628375,TRUE
BRFSS,12,1964.5,8,0.0165976333229922,-0.00940840853001132,0.04260367517599572,0.013268388700512,0.210965438049581,6.814131597628375,TRUE
BRFSS,13,1969.5,8,0.00925002863672495,-0.02303268297694586,0.04153274025039576,0.0164707712314647,0.574386838711871,11.814131597628375,TRUE
BRFSS,14,1974.5,7,-0.0170532476631973,-0.04507091200702668,0.01096441668063208,0.0142947267060354,0.232879403714752,16.814131597628375,TRUE
BRFSS,15,1979.5,6,-0.0498147596264533,-0.09979598544131388,1.6646618840729377e-4,0.0255006254157452,0.0507638129268959,21.814131597628375,TRUE
BRFSS,16,1984.5,5,-0.0820148643578482,-0.11592428979273844,-0.04810543892295797,0.0173007272626991,2.13158459632957e-6,26.814131597628375,FALSE
BRFSS,17,1989.5,4,-0.00180769253345964,-0.04503368428015098,0.04141829921323171,0.0220540774217813,0.934673468858239,31.814131597628375,FALSE
BRFSS,18,1994.5,3,-0.0386843111505401,-0.09657079105341478,0.01920216875233457,0.0295339183177932,0.19025465018988,36.814131597628375,FALSE
BRFSS,19,1999.5,2,-0.0459129903657631,-0.15868855653819125,0.06686257580666505,0.0575385541696062,0.424898575130792,41.814131597628375,FALSE
