survey,n_draws,n_cohort_bins,argmax_pm_grid,argmax_pm_grid_unrestricted,argmax_mode_grid,p_argmax_unrestricted_in_region,argmax_grid_median,argmax_grid_q05,argmax_grid_q95,argmax_grid_n,argmax_grid_unrestricted_median,argmax_grid_unrestricted_q05,argmax_grid_unrestricted_q95,argmax_grid_unrestricted_n,region,region_lo_grid,region_hi_grid,n_bins_region,p_concave,b2_median,b2_q05,b2_q95,frac_vertex_inside_region,vertex_pm_grid,b2_pm,concave_pm,vertex_grid_median,vertex_grid_q05,vertex_grid_q95,vertex_grid_n,grid_offset,c_bar,c_grid_bar
BRFSS,10000,26,1948,1948,1948,0.9986,1948,1940,1952,10000,1948,1940,1952,10000,central80,1932,1984,14,1,-2.1497499146874238e-4,-2.4232303846666469e-4,-1.8781389570968586e-4,1,1949.6232130487435,-2.152338510116092e-4,TRUE,1949.5741317865604,1945.9160165127714,1953.1965921576136,10000,1.1490796564585253,1957.6858684023716,1956.536788745913
BRFSS,10000,26,1948,1948,1948,0.9986,1948,1940,1952,10000,1948,1940,1952,10000,central90,1924,1992,18,1,-1.9487725659402954e-4,-2.1389749699922024e-4,-1.7617237452413557e-4,1,1951.617280154245,-1.9493042546717587e-4,TRUE,1951.5716991146137,1947.8886671784192,1955.4729505880462,10000,1.1490796564585253,1957.6858684023716,1956.536788745913
BRFSS,10000,26,1948,1948,1948,0.9986,1948,1940,1952,10000,1948,1940,1952,10000,all,1904,2004,26,1,-1.4361444639365698e-4,-1.6208337709310307e-4,-1.25672118566367e-4,1,1953.618970598482,-1.4374679099469356e-4,TRUE,1953.4979267530089,1948.8286123975045,1958.6832406057122,10000,1.1490796564585253,1957.6858684023716,1956.536788745913
BRFSS,10000,26,1948,1948,1948,0.9986,1948,1940,1952,10000,1948,1940,1952,10000,local,NA,NA,7,1,-4.7385218982762115e-4,-6.453380055904592e-4,-2.7846884526797457e-4,NA,1948.4615345976476,-4.184450813620541e-4,TRUE,1947.6245288682223,1945.3834854060015,1950.1824741815265,10000,1.1490796564585253,1957.6858684023716,1956.536788745913
MEPS,10000,24,1956,1956,1956,0.9997,1956,1948,1960,10000,1956,1948,1960,10000,central80,1936,1988,14,1,-1.2592694690198006e-4,-1.527930883518515e-4,-9.942109013398061e-5,1,1958.248144405126,-1.2602277170604907e-4,TRUE,1958.2234609252005,1951.8505386051147,1964.3930376431847,10000,1.4579018460153748,1963.6015408474661,1962.1436390014508
MEPS,10000,24,1956,1956,1956,0.9997,1956,1948,1960,10000,1956,1948,1960,10000,central90,1928,1992,17,1,-1.477894863938776e-4,-1.6805849973544653e-4,-1.2775888732473827e-4,1,1961.510446155671,-1.4783050209623427e-4,TRUE,1961.522996688393,1956.4224080434078,1966.7390972145106,10000,1.4579018460153748,1963.6015408474661,1962.1436390014508
MEPS,10000,24,1956,1956,1956,0.9997,1956,1948,1960,10000,1956,1948,1960,10000,all,1912,2004,24,1,-1.59111855084035e-4,-1.854476588783565e-4,-1.3305861069972462e-4,1,1959.4557887421645,-1.592651349455153e-4,TRUE,1959.4573509112333,1954.9236176965785,1963.9160896819537,10000,1.4579018460153748,1963.6015408474661,1962.1436390014508
MEPS,10000,24,1956,1956,1956,0.9997,1956,1948,1960,10000,1956,1948,1960,10000,local,NA,NA,7,0.9988,-2.6654853320505544e-4,-4.2038522207483775e-4,-1.4096095359989624e-4,NA,1953.6797729496761,-2.3701325231161317e-4,TRUE,1953.7551778987977,1950.5407117421369,1957.6236417980426,9988,1.4579018460153748,1963.6015408474661,1962.1436390014508
NHIS,10000,28,1940,1940,1940,0.9376,1940,1940,1948,10000,1940,1896,1948,10000,central80,1928,1980,14,1,-1.1180600472750705e-4,-1.34044724751196e-4,-8.924619522442009e-5,1,1945.3729676604776,-1.1179026653481805e-4,TRUE,1945.3584238716276,1941.228979570642,1948.8240199242025,10000,1.3497634801278764,1956.6114402379746,1955.2616767578468
NHIS,10000,28,1940,1940,1940,0.9376,1940,1940,1948,10000,1940,1896,1948,10000,central90,1920,1988,18,1,-9.631849163372925e-5,-1.0998256836842561e-4,-8.264366567791649e-5,1,1949.013719999623,-9.63186845152107e-5,TRUE,1948.9919960468073,1945.2541668885845,1952.5695583863107,10000,1.3497634801278764,1956.6114402379746,1955.2616767578468
