peak_measure,n_surveys,mean_peak,sd_peak,range_peak,mean_offset_cbar,sd_offset_cbar,mean_offset_cmid,sd_offset_cmid,mean_offset_1955,sd_offset_1955,slope_cbar,slope_cbar_se,r2_cbar,slope_cmid,slope_cmid_se,r2_cmid,sd_cbar,sd_cmid
BHAPC argmax (posterior median),6,1950.8644913027422,6.657135218777127,16.678093539522706,-8.904710013432956,3.745847146401818,-4,3.5777087639996634,-4.135508697257895,6.657135218777127,1.0855132262178269,0.36579280232779554,0.6876569234525656,1.022912632882357,0.3256570271902034,0.7115317125750324,5.0855528146788105,5.489666565005294
"BHAPC vertex, central-80% (posterior median)",6,1953.4346472481934,5.657861179056224,12.973175419460404,-6.3345540679817605,2.2318446640914362,-1.4298440545488045,2.7409622460316765,-1.5653527518066994,5.657861179056224,1.022569345642824,0.2191395354705985,0.8448066071823184,0.906460084607463,0.2452272577691153,0.7735434777521777,5.0855528146788105,5.489666565005294
"BHAPC vertex, all bins (posterior median)",6,1956.0302466246567,7.307428472695509,18.23088133948454,-3.7389546915184915,2.3429804262947047,1.165755321914465,2.5044156944639835,1.03024662465657,7.307428472695509,1.4262118901174368,0.08746415991394092,0.9851793435119047,1.281884231922693,0.1793492918339397,0.9273857073466012,5.0855528146788105,5.489666565005294
"BHAPC vertex, local ±3 bins (posterior median)",6,1951.082752558507,5.317164063529428,12.673190837984066,-8.68644875766798,2.21655691949678,-3.781738744235023,2.3998882850155767,-3.9172474414929184,5.317164063529428,0.9515958492880868,0.21657877916789753,0.8283641480604844,0.8735141020097822,0.20923328387885293,0.8133391041998528,5.0855528146788105,5.489666565005294
APC-I argmax bin,6,1943.5291666666667,1.9887443693613949,5,-15.644616601992388,3.6855187687779,-9.637500000000008,5.940407183013647,-11.47083333333334,1.9887443693613949,0.3044895278027888,0.13030280241196687,0.5771920622382379,0.2025316455696231,0.09230093052053223,0.5462150835241559,4.962114454045526,7.2571803523590805
"APC-I vertex, central-80% (concave fits only)",4,1945.3087383781872,3.109650960989062,7.4948029562713145,-11.886144152204906,6.853255018247979,-4.816261621812828,7.676664976805016,-9.691261621812828,3.109650960989062,-0.23803674576855888,0.40375471958792747,0.14805827292580914,-0.019679184881855237,0.3190905885319714,0.0018981524311407533,5.02671172926234,6.884463184107628
"APC-I vertex, all bins (concave fits only)",6,1953.7292697081796,12.807635730578752,35.65797668698906,-5.44451356047955,8.755995887656974,0.5626030415128298,5.805075797670948,-1.2707302918205035,12.807635730578752,2.2741453076173928,0.6103808857448244,0.7763043895824708,1.7373730505426515,0.15502710346330023,0.9691345114960974,4.962114454045526,7.2571803523590805
"APC-I vertex, local ±3 bins",6,1946.343607885898,2.253811681626434,5.984576256204946,-12.830175382760975,3.158785142373507,-6.823058780768595,5.1550569276116915,-8.656392114101928,2.253811681626434,0.40053324005283597,0.10709142846267804,0.7776343409722878,0.29593406806315464,0.04709671592739461,0.9080097451948577,4.962114454045526,7.2571803523590805
APC-I slope-flip (interpolated),6,1951.4834210784616,4.671119705600592,13.819775826323394,-7.6903621901974475,4.2116439835514505,-1.683245588205068,5.1331006728008175,-3.5165789215384016,4.671119705600592,0.5828795009274722,0.36959570171600814,0.383397365870852,0.45699971633173453,0.22662904250565868,0.5041104488157118,4.962114454045526,7.2571803523590805
APC-I slope-flip (linear fit),6,1951.9106517852463,3.56240971959571,9.820207177263455,-7.263131483412735,2.312225363130174,-1.2560148814203558,4.479874121588928,-3.0893482147536893,3.56240971959571,0.6491390610489234,0.1533216133636515,0.817563146637661,0.42995086264229304,0.11843364211504083,0.7671596413256252,4.962114454045526,7.2571803523590805
