age_index,estimate,se,p_value,age_group,age_group_label,age_midpoint,ci_lower,ci_upper
1,0.294626030843772,0.0119522429993372,3.8167565827345886e-134,1,20-24,22.5,0.27119963456507107,0.3180524271224729
2,0.30576694248847,0.0168756847066108,2.2941265644149896e-73,2,25-29,27.5,0.2726906004635128,0.33884328451342716
3,0.285628211469833,0.0126645771925476,1.2841881470846297e-112,3,30-34,32.5,0.26080564017243973,0.3104507827672263
4,0.260087906854131,0.0124128942305747,1.8003187576697996e-97,4,35-39,37.5,0.2357586341622046,0.28441717954605744
5,0.151248651277242,0.0119634312739276,1.23321393212082e-36,5,40-44,42.5,0.1278003259803439,0.17469697657414007
6,0.100633973007735,0.0207319593184579,1.20973520652218e-6,6,45-49,47.5,0.05999933274355751,0.14126861327191248
7,0.0313103794572704,0.0133299322119776,0.0188301847909878,7,50-54,52.5,0.0051837123217943065,0.057437046592746496
8,-0.0727874737105235,0.0173871585770994,2.83577705123338e-5,8,55-59,57.5,-0.10686630452163833,-0.03870864289940869
9,-0.165296393240117,0.0140438326750994,5.58282948442794e-32,9,60-64,62.5,-0.19282230528331182,-0.13777048119692217
10,-0.171175513773397,0.0131059555696567,5.5265434770434e-39,10,65-69,67.5,-0.1968631866899241,-0.14548784085686986
11,-0.229706737518807,0.0130309820286536,1.5260163065267896e-69,11,70-74,72.5,-0.25524746229496803,-0.20416601274264592
12,-0.362109165496013,0.0165609116647344,5.711564097199818e-106,12,75-79,77.5,-0.39456855235889243,-0.3296497786331336
13,-0.428226811659598,0.0133489048846209,9.623378526141966e-226,NA,NA,NA,-0.45439066523345495,-0.402062958085741
