age_index,estimate,se,p_value,age_group,age_group_label,age_midpoint,ci_lower,ci_upper
1,0.621618042999676,0.00245649633775589,0,1,20-24,22.5,0.6168033101776745,0.6264327758216776
2,0.528646730307414,0.0024601863910833,0,2,25-29,27.5,0.5238247649808908,0.5334686956339373
3,0.487311958086394,0.00237984446203075,0,3,30-34,32.5,0.48264746294081373,0.49197645323197425
4,0.41922589873545,0.0023120825339131,0,4,35-39,37.5,0.41469421696898034,0.4237575805019197
5,0.33232679614398,0.00239240626343994,0,5,40-44,42.5,0.3276376798676377,0.33701591242032225
6,0.209047098887665,0.00254526447672087,0,6,45-49,47.5,0.20405838051329211,0.2140358172620379
7,0.0986304445385871,0.00271578137044153,9.615297520460596e-289,7,50-54,52.5,0.0933075130525217,0.1039533760246525
8,-0.0240841924871787,0.00293380428629534,2.22732546002243e-16,8,55-59,57.5,-0.029834448888317565,-0.018333936086039837
9,-0.14135217872331,0.00304987442219596,0,9,60-64,62.5,-0.14732993259081406,-0.13537442485580592
10,-0.270082127761006,0.00316510559189997,0,10,65-69,67.5,-0.27628573472112994,-0.26387852080088203
11,-0.379133435256575,0.00339683615373175,0,11,70-74,72.5,-0.38579123411788924,-0.37247563639526077
12,-0.509514495687702,0.00383062550351316,0,12,75-79,77.5,-0.5170225216745878,-0.5020064697008162
13,-0.623255431190157,0.00467629688486835,0,13,80-84,82.5,-0.632420973084499,-0.6140898892958151
14,-0.74938510859324,0.00590665727749639,0,14,85-89,87.5,-0.760962156857133,-0.7378080603293471
