age_index,estimate,se,p_value,age_group,age_group_label,age_midpoint,ci_lower,ci_upper
1,0.299088477245213,0.0129406854082648,1.2276382503048296e-117,1,20-24,22.5,0.27372473384501395,0.324452220645412
2,0.293153027972733,0.0114536593087788,1.1559049951150997e-143,2,25-29,27.5,0.2707038557275266,0.31560220021793944
3,0.261047874778429,0.0113043600998704,1.9236459266415995e-117,3,30-34,32.5,0.238891328982683,0.283204420574175
4,0.234050917928726,0.011745911051534,4.848960065994599e-88,4,35-39,37.5,0.21102893226771938,0.25707290358973267
5,0.157433357817087,0.0126199355745455,1.1393497658765299e-35,5,40-44,42.5,0.13269828409097784,0.18216843154319617
6,0.111676906893888,0.0138722469167381,8.41293701815859e-16,6,45-49,47.5,0.08448730293708132,0.13886651085069468
7,0.0585729298232032,0.0142436668184164,3.9244529749383e-5,7,50-54,52.5,0.030655342859107062,0.08649051678729934
8,-0.0422425991892831,0.0150429699291467,0.00498473504889164,8,55-59,57.5,-0.07172682025041063,-0.01275837812815557
9,-0.090171791021178,0.0158707435282391,1.34066105106536e-8,9,60-64,62.5,-0.12127844833652665,-0.059065133705829366
10,-0.14250957636767,0.016180148546357,1.31294885278231e-18,10,65-69,67.5,-0.17422266751852972,-0.11079648521681029
11,-0.207013250944582,0.0192797358936808,7.21513538083258e-27,11,70-74,72.5,-0.24480153329619636,-0.16922496859296765
12,-0.292988660270449,0.0222841440014438,2.00064292129476e-39,12,75-79,77.5,-0.3366655825132788,-0.24931173802761916
13,-0.262276279805792,0.0275078904135655,1.562098111793e-21,13,80-84,82.5,-0.31619174501638037,-0.20836081459520361
14,-0.377821334860325,0.0359917534620728,9.37345396413243e-26,14,85-89,87.5,-0.44836517164598766,-0.3072774980746623
