age_index,estimate,se,p_value,age_group,age_group_label,age_midpoint,ci_lower,ci_upper
1,0.489335902731735,0.00670718081091118,0,1,20-24,22.5,0.4761898283423491,0.5024819771211209
2,0.418409524058117,0.00609645142268217,0,2,25-29,27.5,0.40646047926965995,0.43035856884657403
3,0.350224384861112,0.005740894524768,0,3,30-34,32.5,0.33897223159256673,0.3614765381296573
4,0.262628927093717,0.00592339417424714,0,4,35-39,37.5,0.2510190745121926,0.2742387796752414
5,0.17930483692393,0.00602321984076534,1.5269697905380595e-194,5,40-44,42.5,0.16749932603602993,0.1911103478118301
6,0.0848521908449492,0.00609084723628312,4.1876347513536397e-44,6,45-49,47.5,0.07291413026183428,0.09679025142806412
7,0.0110000201673502,0.00603724000036848,0.0684514048786754,7,50-54,52.5,-8.329702333720185e-4,0.02283301056807242
8,-0.0401916918641938,0.00632080310179629,2.03746001024477e-10,8,55-59,57.5,-0.05258046594371453,-0.027802917784673073
9,-0.096364797042685,0.00659494010396401,2.41851578615329e-48,9,60-64,62.5,-0.10929087964645445,-0.08343871443891554
10,-0.138576375211525,0.00686477888514662,1.4094346490150897e-90,10,65-69,67.5,-0.15203134182641237,-0.12512140859663762
11,-0.216041218312711,0.00754226719324811,2.763897860957839e-180,11,70-74,72.5,-0.2308240620114773,-0.20125837461394472
12,-0.325577006474455,0.00853072155721587,3.453114e-318,12,75-79,77.5,-0.3422972207265981,-0.3088567922223119
13,-0.410647251715886,0.0101544619242967,0,13,80-84,82.5,-0.4305499970875075,-0.3907445063442645
14,-0.568357446059452,0.0116203836377738,0,14,85-89,87.5,-0.5911333979894887,-0.5455814941294154
