age_index,estimate,se,p_value,age_group,age_group_label,age_midpoint,ci_lower,ci_upper
1,0.229675128177959,0.0174903900405335,2.451269898644e-39,1,20-24,22.5,0.19539396369851333,0.26395629265740467
2,0.238028522867306,0.0176835555030178,3.05314066125246e-41,2,25-29,27.5,0.2033687540813911,0.2726882916532209
3,0.16624410989496,0.0157786070041705,6.196447415697e-26,3,30-34,32.5,0.1353180401667858,0.19717017962313418
4,0.149439253997723,0.0170076191703902,1.5797236460426499e-18,4,35-39,37.5,0.11610432042375822,0.18277418757168779
5,0.0397888874994265,0.0169628929906419,0.0189974213949601,5,40-44,42.5,0.006541617237768381,0.07303615776108463
6,-0.0109266383217524,0.0190546746044155,0.56635152270274,6,45-49,47.5,-0.04827380054640678,0.026420523902901984
7,-0.0596738958259073,0.0188758501983995,0.00157094143651034,7,50-54,52.5,-0.09667056221477033,-0.022677229437044276
8,-0.117980114237052,0.0197795655581828,2.46329716388446e-9,8,55-59,57.5,-0.1567480627310903,-0.07921216574301371
9,-0.0968416044373152,0.0178379666074253,5.68946429580953e-8,9,60-64,62.5,-0.13180401898786878,-0.0618791898867616
10,-0.108816634647048,0.019579493750079,2.74493831202289e-8,10,65-69,67.5,-0.14719244239720283,-0.07044082689689316
11,-0.162742044420551,0.0186696754994309,2.9274954518465598e-18,11,70-74,72.5,-0.19933460839943556,-0.12614948044166646
12,-0.266194970547749,0.0221690211879939,3.53021453016149e-33,12,75-79,77.5,-0.30964625207621704,-0.22274368901928093
