age_index,estimate,se,p_value,age_group,age_group_label,age_midpoint,ci_lower,ci_upper
1,0.529716919267461,0.00386713492707266,0,1,20-24,22.5,0.5221373348103986,0.5372965037245234
2,0.504728408643096,0.00358353886046715,0,2,25-29,27.5,0.49770467247658035,0.5117521448096116
3,0.448222729666958,0.00355177685734701,0,3,30-34,32.5,0.44126124702655783,0.4551842123073581
4,0.378010938856156,0.00370574008040675,0,4,35-39,37.5,0.37074768829855875,0.38527418941375324
5,0.281621954115892,0.00408720207691714,0,5,40-44,42.5,0.2736110380451344,0.2896328701866496
6,0.161221185038151,0.00449251403544234,6.995077310980595e-282,6,45-49,47.5,0.152415857528684,0.170026512547618
7,0.0348169169773825,0.00470336281972718,1.33672841221141e-13,7,50-54,52.5,0.025598325850717224,0.04403550810404777
8,-0.0922010551262947,0.00463211363215639,3.82599858177684e-88,8,55-59,57.5,-0.10127999784532123,-0.08312211240726818
9,-0.200582336891081,0.00471522521828079,0,9,60-64,62.5,-0.20982417831891134,-0.19134049546325063
10,-0.2486695046345,0.00465487658057838,0,10,65-69,67.5,-0.25779306273243363,-0.23954594653656636
11,-0.326868708067161,0.00507480807364595,0,11,70-74,72.5,-0.3368153318915071,-0.31692208424281493
12,-0.410578874016935,0.00572708862690957,0,12,75-79,77.5,-0.42180396772567774,-0.39935378030819224
13,-0.502514246949996,0.00705399804886327,0,13,80-84,82.5,-0.5163400831257681,-0.48868841077422404
14,-0.55692432687913,0.009342610633076,0,14,85-89,87.5,-0.575235843719959,-0.538612810038301
