cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,birth_year_approx,survey
1,0.116921269357849,0.176788829608801,0.661361182245354,0.508383409546989,1,1884.5,-0.22958483667540097,0.4634273753910989,NA,1884,GSS
2,-0.0309577481686427,0.0916199108668822,-0.337893236041479,0.735444899854141,2,1889.5,-0.2105327734677318,0.14861727713044642,NA,1890,GSS
3,-0.112767665304063,0.0613424471763024,-1.8383300715076,0.0660190266591403,3,1894.5,-0.2329988617696157,0.00746353116148969,.,1894,GSS
4,-0.112522571204702,0.0461348231021148,-2.43899431359353,0.014731255342986,4,1899.5,-0.20294682448484705,-0.02209831792455698,*,1900,GSS
5,-0.122270458102831,0.0368735690317831,-3.31593771130319,9.1393694192829e-4,5,1904.5,-0.1945426534051259,-0.04999826280053614,***,1904,GSS
6,-0.0691740223012825,0.0297470274524396,-2.32540956947312,0.0200535910799422,6,1909.5,-0.1274781961080641,-0.01086984849450088,*,1910,GSS
7,-0.0763085797174154,0.0261391795119955,-2.91931809421932,0.00350936458915461,7,1914.5,-0.1275413715609266,-0.02507578787390423,**,1914,GSS
8,-0.0549575911145574,0.0227345743761099,-2.41735737847409,0.0156368025686244,8,1919.5,-0.0995173568917328,-0.01039782533738199,*,1920,GSS
9,-0.0123497806877921,0.0219038561334562,-0.563817649848826,0.572880475692946,9,1924.5,-0.05528133870936625,0.03058177733378205,NA,1924,GSS
10,0.0625531269141784,0.01990951799725,3.14187048239031,0.00167958907029031,10,1929.5,0.0235304716395684,0.1015757821887884,**,1930,GSS
11,0.0534099042970229,0.0199265645984379,2.68033679529536,0.00735694415529961,11,1934.5,0.01435383768408461,0.09246597090996118,**,1934,GSS
12,0.105689689377471,0.0158631613170874,6.66258681134539,2.71508794644266e-11,12,1939.5,0.0745978931959797,0.1367814855589623,***,1940,GSS
13,0.101855456459964,0.0142899541521088,7.12776649776257,1.03227207060035e-12,13,1944.5,0.073847146321830745,0.12986376659809723,***,1944,GSS
14,0.0926372639530127,0.0115614125808601,8.01262504085128,1.1441442217999101e-15,14,1949.5,0.0699768952945269,0.11529763261149847,***,1950,GSS
15,0.0453945828552942,0.0122504487785074,3.70554448053657,2.1113812289081e-4,15,1954.5,0.02138370324941969,0.0694054624611687,***,1954,GSS
16,0.042649092837803,0.0124690076262302,3.42040795195964,6.25714666090832e-4,16,1959.5,0.01820983789039181,0.06708834778521419,***,1960,GSS
