cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,birth_year_approx
1,0.116921269357849,0.176788829608801,0.661361182245354,0.508383409546989,1,1884.5,-0.22958483667540094,0.4634273753910989,,1884
2,-0.0309577481686427,0.0916199108668822,-0.337893236041479,0.735444899854141,2,1889.5,-0.2105327734677318,0.14861727713044642,,1890
3,-0.112767665304063,0.0613424471763024,-1.8383300715076,0.0660190266591403,3,1894.5,-0.2329988617696157,0.007463531161489692,.,1894
4,-0.112522571204702,0.0461348231021148,-2.43899431359353,0.014731255342986,4,1899.5,-0.20294682448484702,-0.02209831792455698,*,1900
5,-0.122270458102831,0.0368735690317831,-3.31593771130319,9.1393694192829e-4,5,1904.5,-0.1945426534051259,-0.04999826280053614,***,1904
6,-0.0691740223012825,0.0297470274524396,-2.32540956947312,0.0200535910799422,6,1909.5,-0.1274781961080641,-0.010869848494500886,*,1910
7,-0.0763085797174154,0.0261391795119955,-2.91931809421932,0.00350936458915461,7,1914.5,-0.1275413715609266,-0.02507578787390423,**,1914
8,-0.0549575911145574,0.0227345743761099,-2.41735737847409,0.0156368025686244,8,1919.5,-0.0995173568917328,-0.010397825337381997,*,1920
9,-0.0123497806877921,0.0219038561334562,-0.563817649848826,0.572880475692946,9,1924.5,-0.05528133870936625,0.030581777333782055,,1924
10,0.0625531269141784,0.01990951799725,3.14187048239031,0.00167958907029031,10,1929.5,0.023530471639568402,0.1015757821887884,**,1930
11,0.0534099042970229,0.0199265645984379,2.68033679529536,0.00735694415529961,11,1934.5,0.014353837684084617,0.09246597090996118,**,1934
12,0.105689689377471,0.0158631613170874,6.66258681134539,2.71508794644266e-11,12,1939.5,0.0745978931959797,0.1367814855589623,***,1940
13,0.101855456459964,0.0142899541521088,7.12776649776257,1.03227207060035e-12,13,1944.5,0.073847146321830745,0.12986376659809723,***,1944
14,0.0926372639530127,0.0115614125808601,8.01262504085128,1.1441442217999101e-15,14,1949.5,0.0699768952945269,0.11529763261149849,***,1950
15,0.0453945828552942,0.0122504487785074,3.70554448053657,2.1113812289081e-4,15,1954.5,0.021383703249419697,0.0694054624611687,***,1954
16,0.042649092837803,0.0124690076262302,3.42040795195964,6.25714666090832e-4,16,1959.5,0.01820983789039181,0.06708834778521419,***,1960
17,-0.0123301477761197,0.0134029093508849,-0.919960543887853,0.35759730445239,17,1964.5,-0.038599850103854104,0.013939554551614705,,1964
18,-0.0307533584606009,0.0158712454499968,-1.93767770509826,0.0526675303354943,18,1969.5,-0.06186099954259462,3.54282621392827e-4,.,1970
19,-0.0801849472695536,0.0162791782544853,-4.92561393554745,8.43328797179578e-7,19,1974.5,-0.11209213664834478,-0.048277757890762406,***,1974
20,-0.0642694215670028,0.0176870403974604,-3.63370129330575,2.79631684710651e-4,20,1979.5,-0.09893602074602517,-0.02960282238798042,***,1980
21,-0.118479963456317,0.0209067807490325,-5.6670591650893,1.45974119838679e-8,21,1984.5,-0.1594572537244207,-0.0775026731882133,***,1984
22,-0.164961545064505,0.0249355036381329,-6.61552890442669,3.7351702777122594e-11,22,1989.5,-0.21383513219524547,-0.11608795793376453,***,1990
23,-0.142116585528119,0.0322648544897012,-4.40468701241105,1.06131079631665e-5,23,1994.5,-0.20535570032793338,-0.07887747072830466,***,1994
24,-0.138672500075823,0.0382515875375588,-3.62527437429002,2.88908206646855e-4,24,1999.5,-0.21364561164943824,-0.06369938850220774,***,2000
