survey,cohort_index,cohort_group,cohort_midpoint,n_cells
GSS,1,1,1884.5,1
GSS,2,2,1889.5,2
GSS,3,3,1894.5,3
GSS,4,4,1899.5,4
GSS,5,5,1904.5,5
GSS,6,6,1909.5,6
GSS,7,7,1914.5,7
GSS,8,8,1919.5,8
GSS,9,9,1924.5,9
GSS,10,10,1929.5,10
GSS,11,11,1934.5,11
GSS,12,12,1939.5,11
GSS,13,13,1944.5,11
GSS,14,14,1949.5,11
GSS,15,15,1954.5,10
GSS,16,16,1959.5,9
GSS,17,17,1964.5,8
GSS,18,18,1969.5,7
GSS,19,19,1974.5,6
GSS,20,20,1979.5,5
GSS,21,21,1984.5,4
GSS,22,22,1989.5,3
GSS,23,23,1994.5,2
GSS,24,24,1999.5,1
NHANES,1,1,1924.5,1
NHANES,2,2,1929.5,2
NHANES,3,3,1934.5,3
NHANES,4,4,1939.5,4
NHANES,5,5,1944.3,5
NHANES,6,6,1949.3,5
NHANES,7,7,1954.3,5
NHANES,8,8,1959.3,5
NHANES,9,9,1964.3,5
NHANES,10,10,1969.3,5
NHANES,11,11,1974.3,5
NHANES,12,12,1979.3,5
NHANES,13,13,1984.25,4
NHANES,14,14,1989.1666666666667,3
NHANES,15,15,1994,2
NHANES,16,16,1998.5,1
MEPS,1,1,1914.5,1
MEPS,2,2,1919.5,2
MEPS,3,3,1924.5,3
MEPS,4,4,1929.5,4
MEPS,5,5,1934.5,5
MEPS,6,6,1939.5,5
MEPS,7,7,1944.5,5
MEPS,8,8,1949.5,5
MEPS,9,9,1954.5,5
MEPS,10,10,1959.5,5
MEPS,11,11,1964.5,5
MEPS,12,12,1969.5,5
MEPS,13,13,1974.5,5
MEPS,14,14,1979.5,5
MEPS,15,15,1984.5,4
MEPS,16,16,1989.5,3
MEPS,17,17,1994.5,2
MEPS,18,18,1999.5,1
NHIS,1,1,1894.5,1
NHIS,2,2,1899.5,2
NHIS,3,3,1904.5,3
NHIS,4,4,1909.5,4
NHIS,5,5,1914.5,5
NHIS,6,6,1919.5,6
NHIS,7,7,1924.5,7
NHIS,8,8,1929.5,8
NHIS,9,9,1934.5,9
NHIS,10,10,1939.5,9
NHIS,11,11,1944.5,9
NHIS,12,12,1949.5,9
NHIS,13,13,1954.5,9
NHIS,14,14,1959.5,9
NHIS,15,15,1964.5,8
NHIS,16,16,1969.5,7
NHIS,17,17,1974.5,6
NHIS,18,18,1979.5,5
NHIS,19,19,1984.5,4
NHIS,20,20,1989.5,3
NHIS,21,21,1994.5,2
NHIS,22,22,1999.5,1
CPS,1,1,1909.5,1
CPS,2,2,1914.5,2
CPS,3,3,1919.5,3
CPS,4,4,1924.5,4
CPS,5,5,1929.5,5
CPS,6,6,1934.5,6
CPS,7,7,1939.5,7
CPS,8,8,1944.5,7
CPS,9,9,1949.5,7
CPS,10,10,1954.5,7
CPS,11,11,1959.5,7
CPS,12,12,1964.5,7
CPS,13,13,1969.5,7
CPS,14,14,1974.5,7
CPS,15,15,1979.5,6
CPS,16,16,1984.5,5
CPS,17,17,1989.5,4
CPS,18,18,1994.5,3
CPS,19,19,1999.5,2
CPS,20,20,2004.5,1
BRFSS,1,1,1904.5,1
BRFSS,2,2,1912,2
BRFSS,3,3,1917.8333333333333,3
BRFSS,4,4,1923.25,4
BRFSS,5,5,1928.5,5
BRFSS,6,6,1933.6666666666667,6
BRFSS,7,7,1938.7857142857142,7
BRFSS,8,8,1943.875,8
BRFSS,9,9,1949.5,8
BRFSS,10,10,1954.5,8
BRFSS,11,11,1959.5,8
BRFSS,12,12,1964.5,8
BRFSS,13,13,1969.5,8
BRFSS,14,14,1974.5,7
BRFSS,15,15,1979.5,6
BRFSS,16,16,1984.5,5
BRFSS,17,17,1989.5,4
BRFSS,18,18,1994.5,3
BRFSS,19,19,1999.5,2
BRFSS,20,20,2004.5,1
