cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx,survey
1,NA,NA,NA,NA,1,1884.5,NA,NA,NA,Not estimable,1884,GSS
2,-0.0147991814160327,0.126226639210065,-0.117242933097538,0.906667962390568,2,1889.5,-0.26220339426776007,0.2326050314356947,NA,Constant/non-significant,1890,GSS
3,-0.20408253981801,0.101610336015934,-2.00848208774753,0.0445968353112464,3,1894.5,-0.4032387984092406,-0.00492628122677937,*,Accumulating disadvantage,1894,GSS
4,0.203667082775162,0.093697155480062,2.17367412843713,0.0297337535883003,4,1899.5,0.02002065803424049,0.3873135075160835,*,Accumulating advantage,1900,GSS
5,0.0706373368647526,0.0810885445159629,0.871113636166537,0.383695809193794,5,1904.5,-0.08829621038653468,0.22957088411603987,NA,Constant/non-significant,1904,GSS
6,0.163711871364891,0.0747771179476019,2.18933111970975,0.028576856636386,6,1909.5,0.01714872018759125,0.31027502254219075,*,Accumulating advantage,1910,GSS
7,0.0246294457518885,0.0705991332472061,0.348863287962013,0.727193247122196,7,1914.5,-0.11374485541263546,0.16300374691641245,NA,Constant/non-significant,1914,GSS
8,-0.0214518987795316,0.066485700408707,-0.322654324879794,0.746958240369864,8,1919.5,-0.15176387158059731,0.10886007402153412,NA,Constant/non-significant,1920,GSS
9,-0.0392144542436457,0.0698891015964161,-0.561095411843964,0.574734720165348,9,1924.5,-0.17619709337262127,0.09776818488532989,NA,Constant/non-significant,1924,GSS
10,0.0912283895374051,0.0633107215881625,1.44096271925074,0.149600754996835,10,1929.5,-0.03286062477539341,0.2153174038502036,NA,Constant/non-significant,1930,GSS
11,0.0330490415159208,0.0658961961222068,0.501531855566142,0.615998817778389,11,1934.5,-0.09610750288360452,0.16220558591544615,NA,Constant/non-significant,1934,GSS
12,0.101766102671365,0.0509662700052487,1.99673436295976,0.0458588342573143,12,1939.5,0.00187221346107754,0.20165999188165248,*,Accumulating advantage,1940,GSS
13,-0.02463686758196,0.0483841817213063,-0.50919260604362,0.610619213092392,13,1944.5,-0.11946986375572034,0.07019612859180034,NA,Constant/non-significant,1944,GSS
14,0.0543725195751556,0.0392469895640329,1.38539338122851,0.165937680750137,14,1949.5,-0.02255157997034888,0.1312966191206601,NA,Constant/non-significant,1950,GSS
15,-0.00191274954714245,0.0394237568394784,-0.0485176883301757,0.961303839220044,15,1954.5,-0.07918331295252011,0.07535781385823521,NA,Constant/non-significant,1954,GSS
16,-0.0562408048297726,0.0370638744945679,-1.5174022035396,0.129170760747446,16,1959.5,-0.1288859988391257,0.01640438917958048,NA,Constant/non-significant,1960,GSS
17,-0.0415936418878172,0.0367316303819467,-1.13236579632632,0.257485482271989,17,1964.5,-0.11358763743643274,0.03040035366079833,NA,Constant/non-significant,1964,GSS
18,-0.105332141596799,0.0410780248546047,-2.5641968417328,0.0103440478165679,18,1969.5,-0.1858450703118242,-0.0248192128817738,*,Accumulating disadvantage,1970,GSS
19,-0.100263557876245,0.0378806202745281,-2.6468298868819,0.00812727332243778,19,1974.5,-0.17450957361432007,-0.02601754213816992,**,Accumulating disadvantage,1974,GSS
20,-0.128105380604837,0.0369334373777746,-3.46854746539047,5.23669511957308e-4,20,1979.5,-0.20049491786527524,-0.05571584334439879,***,Accumulating disadvantage,1980,GSS
21,-0.128201597231402,0.0394824651648889,-3.2470514871855,0.00116675230100865,21,1984.5,-0.20558722895458423,-0.05081596550821976,**,Accumulating disadvantage,1984,GSS
22,-0.135397274504047,0.0413647265014975,-3.27325443573635,0.00106380536038146,22,1989.5,-0.2164721384469821,-0.05432241056111191,**,Accumulating disadvantage,1990,GSS
23,0.00118802947900653,0.0450995778469176,0.0263423636256437,0.97898435833455,23,1994.5,-0.08720714310095196,0.08958320205896503,NA,Constant/non-significant,1994,GSS
24,NA,NA,NA,NA,24,1999.5,NA,NA,NA,Not estimable,2000,GSS
1,NA,NA,NA,NA,1,1924.5,NA,NA,NA,Not estimable,1924,NHANES
2,-0.0035871441584959,0.0414355380698156,-0.0865716803882661,0.931012237592507,2,1929.5,-0.08480079877533447,0.07762651045834268,NA,Constant/non-significant,1930,NHANES
3,0.143107674348934,0.0400180778265005,3.57607566683692,3.49037798250594e-4,3,1934.5,0.06467224180899303,0.221543106888875,***,Accumulating advantage,1934,NHANES
4,0.0930577252864565,0.0392992714224195,2.36792494919813,0.0178910057800092,4,1939.5,0.01603115329851429,0.17008429727439872,*,Accumulating advantage,1940,NHANES
5,0.0519773362833513,0.0430241654827116,1.20809632680121,0.227014505449484,5,1943.5,-0.03235002806276343,0.13630470062946604,NA,Constant/non-significant,1944,NHANES
6,0.0811204162743788,0.0363394893981807,2.23229378336945,0.025598866483993,6,1944.5,0.00989501705394463,0.15234581549481296,*,Accumulating advantage,1944,NHANES
7,-0.0835038564983007,0.0348530721298441,-2.39588223922441,0.0165831604800906,7,1948.5,-0.15181587787279513,-0.01519183512380625,*,Accumulating disadvantage,1948,NHANES
8,-0.0413015156403353,0.0332918974911236,-1.24058761298743,0.214762503784341,8,1949.5,-0.10655363472293757,0.02395060344226695,NA,Constant/non-significant,1950,NHANES
9,-0.135894120712557,0.0370635796873522,-3.66651364651997,2.4607104859621e-4,9,1953.5,-0.20853873689976732,-0.06324950452534668,***,Accumulating disadvantage,1954,NHANES
10,-0.0923627651828666,0.036739023916004,-2.51402338271247,0.0119385919627789,10,1954.5,-0.16437125205823444,-0.02035427830749876,*,Accumulating disadvantage,1954,NHANES
11,-0.128199229675538,0.0401370804168413,-3.19403475150989,0.00140364558507036,11,1958.5,-0.20686790729254695,-0.04953055205852906,**,Accumulating disadvantage,1958,NHANES
12,-0.0117479409426197,0.0350281215445346,-0.335385982022571,0.737334998156957,12,1959.5,-0.08040305916990752,0.05690717728466811,NA,Constant/non-significant,1960,NHANES
13,0.0431271772911565,0.0373171527848538,1.15569313499879,0.247810846284717,13,1963.5,-0.03001444216715695,0.11626879674946994,NA,Constant/non-significant,1964,NHANES
14,-0.0311148520860374,0.0329539884025453,-0.944190782188726,0.345075592595491,14,1964.5,-0.09570466935502618,0.03347496518295138,NA,Constant/non-significant,1964,NHANES
15,0.050970433085727,0.0403863144874946,1.26207191056044,0.206927334705534,15,1968.5,-0.02818674330976241,0.1301276094812164,NA,Constant/non-significant,1968,NHANES
16,NA,NA,NA,NA,16,1969.5,NA,NA,NA,Not estimable,1970,NHANES
1,NA,NA,NA,NA,1,1914.5,NA,NA,NA,Not estimable,1914,MEPS
2,0.0689018108808646,0.021496217071293,3.20529936278319,0.00134931489473951,2,1919.5,0.02676922542113032,0.11103439634059888,**,Accumulating advantage,1920,MEPS
3,0.0962606652465957,0.0190346754616918,5.05712143295139,4.25798900981013e-7,3,1924.5,0.05895270134167977,0.13356862915151163,***,Accumulating advantage,1924,MEPS
4,0.072708492658524,0.0175593396301616,4.14073047107266,3.46264603052638e-5,4,1929.5,0.03829218698340726,0.10712479833364072,***,Accumulating advantage,1930,MEPS
5,0.0703718032117046,0.0197583991367482,3.56161461891017,3.68619174934291e-4,5,1934.5,0.03164534090367812,0.10909826551973106,***,Accumulating advantage,1934,MEPS
6,0.0701455131575178,0.0175715224172084,3.99199975346597,6.55288259150949e-5,6,1939.5,0.03570532921978933,0.10458569709524626,***,Accumulating advantage,1940,MEPS
7,0.0449334212863414,0.0147575263571216,3.04478001251597,0.00232864016358713,7,1944.5,0.01600866962638307,0.07385817294629973,**,Accumulating advantage,1944,MEPS
8,0.0168283902188191,0.0130402150086232,1.29049944404221,0.196877968076997,8,1949.5,-0.00873043119808237,0.04238721163572057,NA,Constant/non-significant,1950,MEPS
9,-0.021420649629800802,0.0123456026802514,-1.73508334786006,0.0827267282800173,9,1954.5,-0.04561803088309355,0.00277673162349193,.,Constant/non-significant,1954,MEPS
10,-0.0575537117728029,0.0124218820134993,-4.63325216825095,3.60066277823136e-6,10,1959.5,-0.08190060051926153,-0.03320682302634427,***,Accumulating disadvantage,1960,MEPS
11,-0.0561589438257583,0.012589663056867,-4.46071857301429,8.17050518728006e-6,11,1964.5,-0.08083468341721761,-0.03148320423429898,***,Accumulating disadvantage,1964,MEPS
12,-0.062511305607024,0.0124205494019953,-5.03289376208927,4.83316608023028e-7,12,1969.5,-0.0868555824349348,-0.03816702877911322,***,Accumulating disadvantage,1970,MEPS
13,-0.0666127080969312,0.0129495804380767,-5.14400512166901,2.69054670189822e-7,13,1974.5,-0.09199388575556154,-0.04123153043830087,***,Accumulating disadvantage,1974,MEPS
14,-0.0352039333800372,0.0129661448976809,-2.71506555401318,0.00662651803903972,14,1979.5,-0.06061757737949176,-0.00979028938058263,**,Accumulating disadvantage,1980,MEPS
15,-0.0512823095157342,0.0131797228478796,-3.89100060051603,9.98460489729955e-5,15,1984.5,-0.07711456629757821,-0.02545005273389018,***,Accumulating disadvantage,1984,MEPS
16,-0.0468902002974877,0.0128774959093614,-3.64125142244467,2.71346427882711e-4,16,1989.5,-0.07213009227983605,-0.02165030831513936,***,Accumulating disadvantage,1990,MEPS
17,-0.0525435504742949,0.0145557286822125,-3.60981931042069,3.0644362670674e-4,17,1994.5,-0.0810727786914314,-0.0240143222571584,***,Accumulating disadvantage,1994,MEPS
18,NA,NA,NA,NA,18,1999.5,NA,NA,NA,Not estimable,2000,MEPS
1,NA,NA,NA,NA,1,1894.5,NA,NA,NA,Not estimable,1894,NHIS
2,0.0984755435499644,0.0283152289119828,3.47782968154958,5.05499887239764e-4,2,1899.5,0.04297769488247812,0.15397339221745068,***,Accumulating advantage,1900,NHIS
3,0.0458831114359484,0.0263861345930049,1.73890992916076,0.0820507347522301,3,1904.5,-0.0058337123663412,0.097599935238238,.,Constant/non-significant,1904,NHIS
4,0.0834016011606431,0.0215381907666737,3.87226587711774,1.07831069186093e-4,4,1909.5,0.04118674725796265,0.12561645506332356,***,Accumulating advantage,1910,NHIS
5,0.036766163099938,0.0179950254195149,2.04312926727331,0.0410397515952682,5,1914.5,0.00149591327768879,0.07203641292218721,*,Accumulating advantage,1914,NHIS
6,0.0572379382733551,0.0179378279206535,3.190906866012,0.00141828802249426,6,1919.5,0.02207979554887423,0.09239608099783596,**,Accumulating advantage,1920,NHIS
7,0.0272033432315114,0.0166134689028335,1.63742704131295,0.101541402034522,7,1924.5,-0.00535905581804226,0.05976574228106507,NA,Constant/non-significant,1924,NHIS
8,0.0437909012508019,0.017744002058306,2.46792697086638,0.0135898728887528,8,1929.5,0.00901265721652214,0.07856914528508166,*,Accumulating advantage,1930,NHIS
9,0.0475824829429225,0.0170989074588139,2.78277913706092,0.00538958993159232,9,1934.5,0.01406862432364725,0.08109634156219775,**,Accumulating advantage,1934,NHIS
10,0.0421688804236491,0.0153122018764861,2.75393968573553,0.0058883058317751,10,1939.5,0.01215696474573634,0.07218079610156186,**,Accumulating advantage,1940,NHIS
11,0.0303797547049351,0.0129865541087816,2.33932376906604,0.0193187644517202,11,1944.5,0.00492610865172316,0.05583340075814703,*,Accumulating advantage,1944,NHIS
12,0.00535361198275562,0.0116667022508793,0.458879627475891,0.646320650499661,12,1949.5,-0.0175131244289678,0.02822034839447904,NA,Constant/non-significant,1950,NHIS
13,-0.0436048766119295,0.0109833050686751,-3.97010520415141,7.18429789614928e-5,13,1954.5,-0.0651321545465327,-0.0220775986773263,***,Accumulating disadvantage,1954,NHIS
14,-0.043982593808708,0.0110640345004476,-3.97527627077888,7.02996435576618e-5,14,1959.5,-0.06566810142958529,-0.0222970861878307,***,Accumulating disadvantage,1960,NHIS
15,-0.0471590658820831,0.0101440804606182,-4.64892466746159,3.3368762999541e-6,15,1964.5,-0.06704146358489477,-0.02727666817927143,***,Accumulating disadvantage,1964,NHIS
16,-0.0500422348598206,0.0107787531586889,-4.64267379752369,3.43947155867455e-6,16,1969.5,-0.07116859105085085,-0.02891587866879035,***,Accumulating disadvantage,1970,NHIS
17,-0.0678670572564964,0.0108386016084465,-6.261606405351,3.81095329274274e-10,17,1974.5,-0.08911071640905155,-0.04662339810394126,***,Accumulating disadvantage,1974,NHIS
18,-0.0922412723924079,0.0098634366271966,-9.35183910829515,8.62064500128247e-21,18,1979.5,-0.11157360818171325,-0.07290893660310256,***,Accumulating disadvantage,1980,NHIS
19,-0.0982787280802777,0.010101860441494,-9.7287750755882,2.2752881311218e-22,19,1984.5,-0.11807837454560594,-0.07847908161494946,***,Accumulating disadvantage,1984,NHIS
