cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx
1,,,,,1,1904.5,,,,Not estimable,1904
2,0.0469074799163668,0.0324762752069614,1.44436144900977,0.148637474898445,2,1912,-0.01674601948927754,0.11056097932201114,,Constant/non-significant,1912
3,0.0175505854616844,0.0270428231881114,0.648992353335358,0.516343388204104,3,1917.8333333333333,-0.03545334798701394,0.07055451891038274,,Constant/non-significant,1918
4,0.0576109263323115,0.0246500741819322,2.33715022141957,0.0194314659055082,4,1923.25,0.00929678093572438,0.10592507172889862,*,Accumulating advantage,1923
5,0.0536845149257112,0.0249987112841968,2.14749129726733,0.0317543009532153,5,1928.5,0.00468704080868546,0.10268198904273693,*,Accumulating advantage,1928
6,0.0806240147705037,0.0254017748140913,3.1739520313273,0.00150380662583198,6,1933.6666666666667,0.03083653613488474,0.13041149340612265,**,Accumulating advantage,1934
7,0.0428424232227196,0.0231853629103973,1.84782198097521,0.0646282374961502,7,1938.7857142857142,-0.00260088808165911,0.08828573452709831,.,Constant/non-significant,1939
8,0.0783080820286981,0.0463999780353976,1.68767498055621,0.0914737824286549,8,1943.875,-0.0126358749206812,0.1692520389780774,.,Constant/non-significant,1944
9,0.0095838388825074,0.0579133449226425,0.16548584605688,0.86856160504046,9,1949.5,-0.1039263171658719,0.1230939949308867,,Constant/non-significant,1950
10,0.0665543038186373,0.0459568408081898,1.44819144763269,0.147563661881109,10,1954.5,-0.02352110416541469,0.1566297118026893,,Constant/non-significant,1954
11,-0.0504030092219186,0.0470894756096485,-1.0703667554028,0.28445437760532,11,1959.5,-0.14269838141682964,0.04189236297299244,,Constant/non-significant,1960
12,-0.118473593384892,0.0510102782702894,-2.32254356185106,0.0202037786928204,12,1964.5,-0.21845373879465924,-0.01849344797512477,*,Accumulating disadvantage,1964
13,-0.0567668231797128,0.0639294636173998,-0.88796026069367,0.374562227404421,13,1969.5,-0.1820685718698164,0.06853492551039081,,Constant/non-significant,1970
14,-0.0858919677860414,0.0512250613696203,-1.67675675713257,0.0935902025628846,14,1974.5,-0.1862930880704972,0.01450915249841439,.,Constant/non-significant,1974
15,-0.131765315615266,0.0841000882340614,-1.56676786412573,0.11716910892881,15,1979.5,-0.29660148855402635,0.03307085732349435,,Constant/non-significant,1980
16,-0.154384274043309,0.0500111655853634,-3.08699611849263,0.00202192812735851,16,1984.5,-0.25240615859062127,-0.05636238949599674,**,Accumulating disadvantage,1984
17,-0.0274323099374605,0.055041325948528,-0.49839478727518,0.618205861241474,17,1989.5,-0.13531330879657538,0.08044868892165438,,Constant/non-significant,1990
18,-0.13421611422587,0.0593902338514388,-2.25990210042956,0.0238274273559811,18,1994.5,-0.25062097257469007,-0.01781125587704993,*,Accumulating disadvantage,1994
19,-0.0565146447648815,0.0799220615983197,-0.70712195900199,0.479490767638685,19,1999.5,-0.2131618854975881,0.10013259596782512,,Constant/non-significant,2000
20,,,,,20,2004.5,,,,Not estimable,2004
