period_index,estimate,se,p_value,period_group,period_group_label,period_midpoint,ci_lower,ci_upper
1,-0.0274543259209351,0.0202380817318195,0.174924061351031,1,1970-1974,1972,-0.06712096611530131,0.012212314273431113
2,-0.0589915421596386,0.0183824050015252,0.00133211184759632,2,1975-1979,1977,-0.095021055962628,-0.022962028356649206
3,-0.0357070843253629,0.0168494006956529,0.0340787467450459,3,1980-1984,1982,-0.06873190968884259,-0.0026822589618832188
4,0.0179432433821888,0.0160759707854751,0.264361384228642,4,1985-1989,1987,-0.0135656593573424,0.04945214612172
5,0.0445028175445748,0.015411244372159,0.00388235613265205,5,1990-1994,1992,0.014296778575143162,0.07470885651400644
6,0.070278642347059,0.0149347227700767,2.5356792710954e-6,6,1995-1999,1997,0.04100658571770867,0.09955069897640932
7,0.0547596293776203,0.0142941087881859,1.27801369638891e-4,7,2000-2004,2002,0.026743176152775938,0.08277608260246466
8,-0.00639858729279465,0.0154777936268649,0.679311952745874,8,2005-2009,2007,-0.03673506280144985,0.023937888215860553
9,-0.00415767591102127,0.0167559185974096,0.804033348702058,9,2010-2014,2012,-0.03699927636194408,0.02868392453990154
10,-0.016137185718077,0.0164859041978999,0.3276595370966,10,2015-2019,2017,-0.0484495579459608,0.016175186509806802
11,-0.0386379313236135,0.0119078324023288,0.00117622360894116,11,2020-2024,2022,-0.061977282832177946,-0.015298579815049049
