age_index,estimate,se,p_value,age_group,age_group_label,age_midpoint,ci_lower,ci_upper,survey
1,0.299088477245213,0.0129406854082648,1.2276382503048296e-117,1,20-24,22.5,0.27372473384501395,0.324452220645412,GSS
2,0.293153027972733,0.0114536593087788,1.1559049951150995e-143,2,25-29,27.5,0.2707038557275266,0.31560220021793944,GSS
3,0.261047874778429,0.0113043600998704,1.9236459266415995e-117,3,30-34,32.5,0.238891328982683,0.283204420574175,GSS
4,0.234050917928726,0.011745911051534,4.848960065994598e-88,4,35-39,37.5,0.21102893226771935,0.25707290358973267,GSS
5,0.157433357817087,0.0126199355745455,1.13934976587653e-35,5,40-44,42.5,0.13269828409097784,0.18216843154319615,GSS
6,0.111676906893888,0.0138722469167381,8.41293701815859e-16,6,45-49,47.5,0.08448730293708132,0.13886651085069468,GSS
7,0.0585729298232032,0.0142436668184164,3.9244529749383e-5,7,50-54,52.5,0.03065534285910706,0.08649051678729934,GSS
8,-0.0422425991892831,0.0150429699291467,0.00498473504889164,8,55-59,57.5,-0.07172682025041063,-0.01275837812815557,GSS
9,-0.090171791021178,0.0158707435282391,1.34066105106536e-8,9,60-64,62.5,-0.12127844833652664,-0.05906513370582936,GSS
10,-0.14250957636767,0.016180148546357,1.31294885278231e-18,10,65-69,67.5,-0.17422266751852972,-0.11079648521681028,GSS
11,-0.207013250944582,0.0192797358936808,7.21513538083258e-27,11,70-74,72.5,-0.24480153329619636,-0.16922496859296765,GSS
12,-0.292988660270449,0.0222841440014438,2.00064292129476e-39,12,75-79,77.5,-0.3366655825132788,-0.24931173802761916,GSS
13,-0.262276279805792,0.0275078904135655,1.562098111793e-21,13,80-84,82.5,-0.31619174501638037,-0.2083608145952036,GSS
14,-0.377821334860325,0.0359917534620728,9.37345396413243e-26,14,85-89,87.5,-0.44836517164598766,-0.3072774980746623,GSS
1,0.229675128177959,0.0174903900405335,2.451269898644e-39,1,20-24,22.5,0.1953939636985133,0.26395629265740467,NHANES
2,0.238028522867306,0.0176835555030178,3.05314066125246e-41,2,25-29,27.5,0.2033687540813911,0.2726882916532209,NHANES
3,0.16624410989496,0.0157786070041705,6.196447415697e-26,3,30-34,32.5,0.1353180401667858,0.19717017962313416,NHANES
4,0.149439253997723,0.0170076191703902,1.5797236460426499e-18,4,35-39,37.5,0.11610432042375822,0.1827741875716878,NHANES
5,0.0397888874994265,0.0169628929906419,0.0189974213949601,5,40-44,42.5,0.00654161723776838,0.07303615776108463,NHANES
6,-0.0109266383217524,0.0190546746044155,0.56635152270274,6,45-49,47.5,-0.04827380054640678,0.02642052390290198,NHANES
7,-0.0596738958259073,0.0188758501983995,0.00157094143651034,7,50-54,52.5,-0.09667056221477031,-0.02267722943704427,NHANES
8,-0.117980114237052,0.0197795655581828,2.46329716388446e-9,8,55-59,57.5,-0.1567480627310903,-0.07921216574301371,NHANES
9,-0.0968416044373152,0.0178379666074253,5.68946429580953e-8,9,60-64,62.5,-0.13180401898786878,-0.0618791898867616,NHANES
10,-0.108816634647048,0.019579493750079,2.74493831202289e-8,10,65-69,67.5,-0.14719244239720283,-0.07044082689689316,NHANES
11,-0.162742044420551,0.0186696754994309,2.9274954518465598e-18,11,70-74,72.5,-0.19933460839943556,-0.12614948044166646,NHANES
12,-0.266194970547749,0.0221690211879939,3.53021453016149e-33,12,75-79,77.5,-0.30964625207621704,-0.22274368901928093,NHANES
1,0.489335902731735,0.00670718081091118,0,1,20-24,22.5,0.4761898283423491,0.5024819771211209,MEPS
2,0.418409524058117,0.00609645142268217,0,2,25-29,27.5,0.40646047926965995,0.430358568846574,MEPS
3,0.350224384861112,0.005740894524768,0,3,30-34,32.5,0.33897223159256673,0.3614765381296573,MEPS
4,0.262628927093717,0.00592339417424714,0,4,35-39,37.5,0.2510190745121926,0.2742387796752414,MEPS
