cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,birth_year_approx
1,-0.202196081563452,0.0390485824502282,-5.17806457689402,2.2421979150384e-7,1,1904.5,-0.2787313031658993,-0.12566085996100473,***,1904
2,-0.14790444217481,0.0233138811731142,-6.34405061416265,2.2384556369653003e-10,2,1909.5,-0.19359964927411383,-0.10220923507550617,***,1910
3,-0.11062784110555,0.0155401328267761,-7.11884784632827,1.0886681534318998e-12,3,1914.5,-0.14108650144603116,-0.08016918076506885,***,1914
4,-0.108990308874337,0.012041521242858901,-9.05120762370229,1.4150910377992698e-19,4,1919.5,-0.13259169051034045,-0.08538892723833355,***,1920
5,-0.0483777407145557,0.0101520887182534,-4.76529924601357,1.88585880866557e-6,5,1924.5,-0.06827583460233236,-0.02847964682677904,***,1924
6,0.00956190351234915,0.00888839410785641,1.07577402580489,0.282028452377801,6,1929.5,-0.007859348939049413,0.026983155963747712,,1930
7,0.0607238028625182,0.00743750552119746,8.16453886177976,3.22837511015725e-16,7,1934.5,0.04614629204097118,0.07530131368406523,***,1934
8,0.0873334340504619,0.0124582960666726,7.01006249836118,2.3828142538993997e-12,8,1939.5,0.0629151737597836,0.1117516943411402,***,1940
9,0.0681650032844795,0.0152209852494067,4.47835683219891,7.52236618701881e-6,9,1944.5,0.038331872195642366,0.09799813437331663,***,1944
10,0.0554356410629608,0.012178463743423,4.55194039501893,5.31563070660855e-6,10,1949.5,0.031565852125851716,0.07930543000006987,***,1950
11,0.0400266525972534,0.0123208385836651,3.24869547843282,0.00115937301763062,11,1954.5,0.01587780897326981,0.064175496221237,**,1954
12,0.0165976333229922,0.013268388700512,1.25091551789945,0.210965438049581,12,1959.5,-0.00940840853001132,0.04260367517599572,,1960
13,0.00925002863672495,0.0164707712314647,0.56160264183952,0.574386838711871,13,1964.5,-0.023032682976945863,0.041532740250395765,,1964
14,-0.0170532476631973,0.0142947267060354,-1.19297472514793,0.232879403714752,14,1969.5,-0.04507091200702668,0.010964416680632083,,1970
15,-0.0498147596264533,0.0255006254157452,-1.95347207428472,0.0507638129268959,15,1974.5,-0.09979598544131389,1.6646618840729377e-4,.,1974
16,-0.0820148643578482,0.0173007272626991,-4.74054432004572,2.13158459632957e-6,16,1979.5,-0.11592428979273844,-0.04810543892295797,***,1980
17,-0.00180769253345964,0.0220540774217813,-0.0819663638105447,0.934673468858239,17,1984.5,-0.04503368428015098,0.04141829921323171,,1984
18,-0.0386843111505401,0.0295339183177932,-1.30982657750611,0.19025465018988,18,1989.5,-0.09657079105341478,0.019202168752334575,,1990
19,-0.0459129903657631,0.0575385541696062,-0.797951756494011,0.424898575130792,19,1994.5,-0.15868855653819125,0.06686257580666505,,1994
20,-0.145721458943525,0.0771329804457296,-1.88922375488983,0.0588619876818557,20,1999.5,-0.29690210061715505,0.005459182730105011,.,2000
