cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,birth_year_approx
1,-0.130088566365622,0.0169147643023678,-7.69082938669221,1.46219544874981e-14,1,1909.5,-0.16324150439826288,-0.09693562833298111,***,1910
2,-0.116340497338585,0.0101399781371013,-11.4734465662114,1.7958071780673597e-30,2,1914.5,-0.13621485448730353,-0.09646614018986645,***,1914
3,-0.098629074309349,0.00590165069275658,-16.7121165660316,1.0753261886922098e-62,3,1919.5,-0.1101963096671519,-0.08706183895154611,***,1920
4,-0.0668392428707889,0.00484023245940975,-13.809097689275,2.2517900264951096e-43,4,1924.5,-0.07632609849123201,-0.0573523872503458,***,1924
5,-0.0301138551957491,0.00409980720669633,-7.34518812166662,2.0551128414740998e-13,5,1929.5,-0.038149477320873905,-0.022078233070624294,***,1930
6,9.49527424584805e-5,0.00365257973884676,0.0259960765397172,0.979260469247282,6,1934.5,-0.007064103545681168,0.0072540090305981296,,1934
7,0.0407084992114134,0.00426301598640989,9.54922508880766,1.30744109543419e-21,7,1939.5,0.03235298787805002,0.049064010544776784,***,1940
8,0.0636908175425554,0.0036518782908113,17.4405641345747,4.08577375663711e-68,8,1944.5,0.05653313609256525,0.07084849899254554,***,1944
9,0.0501322066476959,0.00298833482818562,16.775967061942,3.67806742453086e-63,9,1949.5,0.04427507038445209,0.05598934291093972,***,1950
10,0.0342871541616937,0.0026746679062044,12.8192191943374,1.28216473459792e-37,10,1954.5,0.029044805065533075,0.03952950325785432,***,1954
11,0.0261209082243358,0.00252043268646312,10.363660320955,3.6309118846544595e-25,11,1959.5,0.021180860158868088,0.031060956289803515,***,1960
12,0.0221730453471929,0.00244482679858168,9.06937266887626,1.19759572347472e-19,12,1964.5,0.017381184821972803,0.026964905872412993,***,1964
13,0.0282791370431789,0.00244181021941235,11.5812182365199,5.137418066361789e-31,13,1969.5,0.023493189013130696,0.033065085073227106,***,1970
14,0.0146373890036734,0.00236508685341422,6.1889435402945,6.05750074782369e-10,14,1974.5,0.01000181877098153,0.019272959236365274,***,1974
15,-0.00965088839902127,0.00250636388461489,-3.85055356816401,1.17853106259546e-4,15,1979.5,-0.014563361612866456,-0.0047384151851760864,***,1980
16,-0.0282651153996811,0.00275591625745658,-10.2561590263148,1.11119403554869e-24,16,1984.5,-0.033666711264296,-0.022863519535066205,***,1984
17,-0.0419157514478737,0.00318410852264736,-13.1640461214631,1.41597766820826e-39,17,1989.5,-0.04815660415226252,-0.035674898743484874,***,1990
18,-0.0698835694428939,0.00411960715247315,-16.9636489248593,1.5341988851396898e-64,18,1994.5,-0.07795799946174127,-0.06180913942404652,***,1994
19,-0.103560556948243,0.00586436787141949,-17.659287278507,8.688841112516057e-70,19,1999.5,-0.1150547179762252,-0.0920663959202608,***,2000
20,-0.100525049884991,0.0105657007851889,-9.51428134572088,1.83075469659992e-21,20,2004.5,-0.12123382342396125,-0.07981627634602076,***,2004
