cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,birth_year_approx
1,-0.0569953513313054,0.024313491239432,-2.34418622854416,0.0190690802486434,1,1914.5,-0.10464979416059211,-0.009340908502018679,*,1914
2,-0.0455688921286142,0.0157437989956734,-2.89440256072483,0.00379899044853641,2,1919.5,-0.07642673816013407,-0.014711046097094338,**,1920
3,-0.0446466022537362,0.0115784977534476,-3.85599265158921,1.15276977192146e-4,3,1924.5,-0.0673404578504935,-0.021952746656978904,***,1924
4,-0.0328330039486757,0.00941962733912421,-3.4855947869938,4.91090976229795e-4,4,1929.5,-0.05129547353335915,-0.01437053436399225,***,1930
5,0.00113870887132536,0.00895797186273198,0.127116817151743,0.898847998096396,5,1934.5,-0.016418915979629318,0.01869633372228004,,1934
6,0.0323471044044295,0.00778762307352119,4.15365562753202,3.27265781935085e-5,6,1939.5,0.017083363180327965,0.04761084562853103,***,1940
7,0.0435592487695562,0.00654021149786686,6.66022020599233,2.7373013730257097e-11,7,1944.5,0.03074043423373715,0.056378063305375245,***,1944
8,0.0242164971064136,0.00583338579042582,4.15136217223272,3.30563044403157e-5,8,1949.5,0.012783060957178993,0.035649933255648206,***,1950
9,0.00306037859058982,0.00549312493796375,0.557128888410878,0.577439648437314,9,1954.5,-0.007706146287819131,0.013826903468998772,,1954
10,0.0123018548358066,0.00541379604858122,2.27231589912415,0.0230679070040573,10,1959.5,0.0016908145805874086,0.022912895091025794,*,1960
11,0.00928352535795563,0.00544966494648835,1.70350387576354,0.0884745040741991,11,1964.5,-0.0013978179371615367,0.019964868653072794,.,1964
12,0.00398197758632236,0.0053527194108038,0.743916742260996,0.456927234546031,12,1969.5,-0.006509352458853089,0.014473307631497808,,1970
13,-0.0042262415459576,0.00544978074317003,-0.775488362766551,0.438051546998583,13,1974.5,-0.01490781180257086,0.00645532871065566,,1974
14,-0.00791642018821856,0.00543745420251058,-1.45590563035242,0.145419406933171,14,1979.5,-0.018573830425139295,0.0027409900487021764,,1980
15,-0.00377456742088441,0.00623049407834643,-0.605821524492352,0.544633580602359,15,1984.5,-0.015986335814443413,0.008437200972674593,,1984
16,1.98254208598245e-5,0.00730327078313461,0.00271459479574647,0.997834070587577,16,1989.5,-0.01429458531408401,0.014334236155803658,,1990
17,-0.0557843407222662,0.0106832765741306,-5.22165089850312,1.77413624296353e-7,17,1994.5,-0.07672356280756218,-0.03484511863697022,***,1994
18,-0.0487207359311788,0.0195215105829665,-2.49574620386653,0.0125696048485331,18,1999.5,-0.08698289667379314,-0.01045857518856446,*,2000
