cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx
1,NA,NA,NA,NA,1,1909.5,NA,NA,,Not estimable,1910
2,0.015608495765265,0.0139647147823953,1.11770959940707,0.263691113256541,2,1914.5,-0.011762345208229785,0.04297933673875978,,Constant/non-significant,1914
3,0.0721721436461119,0.0102928376858074,7.01188009071871,2.3517615699340597e-12,3,1919.5,0.05199818178192939,0.0923461055102944,***,Accumulating advantage,1920
4,0.0915437379117859,0.00973486004325067,9.40370354633445,5.27036771722656e-21,4,1924.5,0.07246341222701458,0.11062406359655721,***,Accumulating advantage,1924
5,0.120541029063789,0.00912713917926535,13.206879691024,8.02401585378745e-40,5,1929.5,0.10265183627242891,0.13843022185514908,***,Accumulating advantage,1930
6,0.118373703829139,0.00899031044796586,13.1668093681817,1.36511006644214e-39,6,1934.5,0.10075269535112592,0.1359947123071521,***,Accumulating advantage,1934
7,0.0979989507770151,0.01335175385279,7.33978111471379,2.13986417848829e-13,7,1939.5,0.0718295132255467,0.12416838832848351,***,Accumulating advantage,1940
8,0.100099863579476,0.0115718725895457,8.65027356677854,5.13958335583411e-18,8,1944.5,0.07741899330396643,0.12278073385498559,***,Accumulating advantage,1944
9,0.0420894893014993,0.00930587966515189,4.52289206565969,6.10022180813922e-6,9,1949.5,0.023849965157801595,0.060329013445197005,***,Accumulating advantage,1950
10,1.2806537484772e-4,0.0083187572472187,0.0153947724451915,0.987717234737893,10,1954.5,-0.016176698829700933,0.01643282957939637,,Constant/non-significant,1954
11,-0.0328371043315044,0.00793438267379174,-4.1385833884682,3.49464483683328e-5,11,1959.5,-0.04838849437213621,-0.01728571429087259,***,Accumulating disadvantage,1960
12,-0.100360879659495,0.00780780195326536,-12.853922302361,8.19082114288385e-38,12,1964.5,-0.11566417148789511,-0.08505758783109489,***,Accumulating disadvantage,1964
13,-0.121256026884347,0.00789838525226663,-15.3520020879648,3.4470813857433797e-53,13,1969.5,-0.1367368619787896,-0.10577519178990441,***,Accumulating disadvantage,1970
14,-0.102572197839016,0.00764484271097187,-13.417175698305,4.806968954809449e-41,14,1974.5,-0.11755608955252086,-0.08758830612551113,***,Accumulating disadvantage,1974
15,-0.0795749410770636,0.00735665628659035,-10.8167267814472,2.87105877347523e-27,15,1979.5,-0.09399398739878069,-0.06515589475534651,***,Accumulating disadvantage,1980
16,-0.106814652996468,0.0071999452200745,-14.8354813448654,8.66643042078541e-50,16,1984.5,-0.12092654562781402,-0.09270276036512198,***,Accumulating disadvantage,1984
17,-0.103824109382152,0.00732155312448975,-14.1806127220291,1.2111692444696498e-45,17,1989.5,-0.11817435350615191,-0.0894738652581521,***,Accumulating disadvantage,1990
18,-0.0835668768563463,0.00783408732726868,-10.6670851836779,1.45234724857708e-26,18,1994.5,-0.09892168801779291,-0.06821206569489968,***,Accumulating disadvantage,1994
19,-0.0144476132501466,0.00819003631090253,-1.76404752087777,0.0777240603136258,19,1999.5,-0.030500084419515558,0.0016048579192223592,.,Constant/non-significant,2000
20,NA,NA,NA,NA,20,2004.5,NA,NA,,Not estimable,2004
