cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx
1,NA,NA,NA,NA,1,1884.5,NA,NA,,Not estimable,1884
2,-0.0147991814160327,0.126226639210065,-0.117242933097538,0.906667962390568,2,1889.5,-0.26220339426776007,0.2326050314356947,,Constant/non-significant,1890
3,-0.20408253981801,0.101610336015934,-2.00848208774753,0.0445968353112464,3,1894.5,-0.4032387984092406,-0.004926281226779378,*,Accumulating disadvantage,1894
4,0.203667082775162,0.093697155480062,2.17367412843713,0.0297337535883003,4,1899.5,0.020020658034240496,0.3873135075160835,*,Accumulating advantage,1900
5,0.0706373368647526,0.0810885445159629,0.871113636166537,0.383695809193794,5,1904.5,-0.08829621038653468,0.22957088411603987,,Constant/non-significant,1904
6,0.163711871364891,0.0747771179476019,2.18933111970975,0.028576856636386,6,1909.5,0.017148720187591254,0.31027502254219075,*,Accumulating advantage,1910
7,0.0246294457518885,0.0705991332472061,0.348863287962013,0.727193247122196,7,1914.5,-0.11374485541263546,0.16300374691641245,,Constant/non-significant,1914
8,-0.0214518987795316,0.066485700408707,-0.322654324879794,0.746958240369864,8,1919.5,-0.15176387158059731,0.10886007402153411,,Constant/non-significant,1920
9,-0.0392144542436457,0.0698891015964161,-0.561095411843964,0.574734720165348,9,1924.5,-0.17619709337262127,0.09776818488532987,,Constant/non-significant,1924
10,0.0912283895374051,0.0633107215881625,1.44096271925074,0.149600754996835,10,1929.5,-0.03286062477539341,0.2153174038502036,,Constant/non-significant,1930
11,0.0330490415159208,0.0658961961222068,0.501531855566142,0.615998817778389,11,1934.5,-0.09610750288360453,0.16220558591544615,,Constant/non-significant,1934
12,0.101766102671365,0.0509662700052487,1.99673436295976,0.0458588342573143,12,1939.5,0.0018722134610775487,0.20165999188165246,*,Accumulating advantage,1940
13,-0.02463686758196,0.0483841817213063,-0.50919260604362,0.610619213092392,13,1944.5,-0.11946986375572034,0.07019612859180034,,Constant/non-significant,1944
14,0.0543725195751556,0.0392469895640329,1.38539338122851,0.165937680750137,14,1949.5,-0.022551579970348887,0.1312966191206601,,Constant/non-significant,1950
15,-0.00191274954714245,0.0394237568394784,-0.0485176883301757,0.961303839220044,15,1954.5,-0.07918331295252011,0.07535781385823521,,Constant/non-significant,1954
16,-0.0562408048297726,0.0370638744945679,-1.5174022035396,0.129170760747446,16,1959.5,-0.1288859988391257,0.01640438917958048,,Constant/non-significant,1960
17,-0.0415936418878172,0.0367316303819467,-1.13236579632632,0.257485482271989,17,1964.5,-0.11358763743643274,0.03040035366079833,,Constant/non-significant,1964
18,-0.105332141596799,0.0410780248546047,-2.5641968417328,0.0103440478165679,18,1969.5,-0.1858450703118242,-0.0248192128817738,*,Accumulating disadvantage,1970
19,-0.100263557876245,0.0378806202745281,-2.6468298868819,0.00812727332243778,19,1974.5,-0.17450957361432007,-0.026017542138169925,**,Accumulating disadvantage,1974
20,-0.128105380604837,0.0369334373777746,-3.46854746539047,5.23669511957308e-4,20,1979.5,-0.20049491786527524,-0.05571584334439879,***,Accumulating disadvantage,1980
21,-0.128201597231402,0.0394824651648889,-3.2470514871855,0.00116675230100865,21,1984.5,-0.20558722895458426,-0.05081596550821976,**,Accumulating disadvantage,1984
22,-0.135397274504047,0.0413647265014975,-3.27325443573635,0.00106380536038146,22,1989.5,-0.2164721384469821,-0.05432241056111191,**,Accumulating disadvantage,1990
23,0.00118802947900653,0.0450995778469176,0.0263423636256437,0.97898435833455,23,1994.5,-0.08720714310095196,0.08958320205896503,,Constant/non-significant,1994
24,NA,NA,NA,NA,24,1999.5,NA,NA,,Not estimable,2000
