cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx
1,NA,NA,NA,NA,1,1914.5,NA,NA,,Not estimable,1914
2,0.0689018108808646,0.021496217071293,3.20529936278319,0.00134931489473951,2,1919.5,0.02676922542113032,0.11103439634059888,**,Accumulating advantage,1920
3,0.0962606652465957,0.0190346754616918,5.05712143295139,4.25798900981013e-7,3,1924.5,0.05895270134167977,0.13356862915151163,***,Accumulating advantage,1924
4,0.072708492658524,0.0175593396301616,4.14073047107266,3.46264603052638e-5,4,1929.5,0.038292186983407264,0.10712479833364073,***,Accumulating advantage,1930
5,0.0703718032117046,0.0197583991367482,3.56161461891017,3.68619174934291e-4,5,1934.5,0.031645340903678126,0.10909826551973106,***,Accumulating advantage,1934
6,0.0701455131575178,0.0175715224172084,3.99199975346597,6.55288259150949e-5,6,1939.5,0.035705329219789333,0.10458569709524626,***,Accumulating advantage,1940
7,0.0449334212863414,0.0147575263571216,3.04478001251597,0.00232864016358713,7,1944.5,0.01600866962638307,0.07385817294629973,**,Accumulating advantage,1944
8,0.0168283902188191,0.0130402150086232,1.29049944404221,0.196877968076997,8,1949.5,-0.00873043119808237,0.04238721163572057,,Constant/non-significant,1950
9,-0.021420649629800802,0.0123456026802514,-1.73508334786006,0.0827267282800173,9,1954.5,-0.04561803088309355,0.0027767316234919397,.,Constant/non-significant,1954
10,-0.0575537117728029,0.0124218820134993,-4.63325216825095,3.60066277823136e-6,10,1959.5,-0.08190060051926153,-0.03320682302634427,***,Accumulating disadvantage,1960
11,-0.0561589438257583,0.012589663056867,-4.46071857301429,8.17050518728006e-6,11,1964.5,-0.08083468341721761,-0.031483204234298984,***,Accumulating disadvantage,1964
12,-0.062511305607024,0.0124205494019953,-5.03289376208927,4.83316608023028e-7,12,1969.5,-0.0868555824349348,-0.03816702877911322,***,Accumulating disadvantage,1970
13,-0.0666127080969312,0.0129495804380767,-5.14400512166901,2.69054670189822e-7,13,1974.5,-0.09199388575556154,-0.04123153043830087,***,Accumulating disadvantage,1974
14,-0.0352039333800372,0.0129661448976809,-2.71506555401318,0.00662651803903972,14,1979.5,-0.06061757737949176,-0.009790289380582639,**,Accumulating disadvantage,1980
15,-0.0512823095157342,0.0131797228478796,-3.89100060051603,9.98460489729955e-5,15,1984.5,-0.07711456629757821,-0.025450052733890182,***,Accumulating disadvantage,1984
16,-0.0468902002974877,0.0128774959093614,-3.64125142244467,2.71346427882711e-4,16,1989.5,-0.07213009227983605,-0.02165030831513936,***,Accumulating disadvantage,1990
17,-0.0525435504742949,0.0145557286822125,-3.60981931042069,3.0644362670674e-4,17,1994.5,-0.0810727786914314,-0.024014322257158403,***,Accumulating disadvantage,1994
18,NA,NA,NA,NA,18,1999.5,NA,NA,,Not estimable,2000
