cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx
1,NA,NA,NA,NA,1,1894.5,NA,NA,,Not estimable,1894
2,0.0984755435499644,0.0283152289119828,3.47782968154958,5.05499887239764e-4,2,1899.5,0.04297769488247812,0.15397339221745068,***,Accumulating advantage,1900
3,0.0458831114359484,0.0263861345930049,1.73890992916076,0.0820507347522301,3,1904.5,-0.005833712366341205,0.09759993523823801,.,Constant/non-significant,1904
4,0.0834016011606431,0.0215381907666737,3.87226587711774,1.07831069186093e-4,4,1909.5,0.041186747257962654,0.12561645506332356,***,Accumulating advantage,1910
5,0.036766163099938,0.0179950254195149,2.04312926727331,0.0410397515952682,5,1914.5,0.001495913277688797,0.07203641292218721,*,Accumulating advantage,1914
6,0.0572379382733551,0.0179378279206535,3.190906866012,0.00141828802249426,6,1919.5,0.022079795548874237,0.09239608099783596,**,Accumulating advantage,1920
7,0.0272033432315114,0.0166134689028335,1.63742704131295,0.101541402034522,7,1924.5,-0.005359055818042264,0.05976574228106507,,Constant/non-significant,1924
8,0.0437909012508019,0.017744002058306,2.46792697086638,0.0135898728887528,8,1929.5,0.00901265721652214,0.07856914528508166,*,Accumulating advantage,1930
9,0.0475824829429225,0.0170989074588139,2.78277913706092,0.00538958993159232,9,1934.5,0.014068624323647257,0.08109634156219775,**,Accumulating advantage,1934
10,0.0421688804236491,0.0153122018764861,2.75393968573553,0.0058883058317751,10,1939.5,0.012156964745736347,0.07218079610156186,**,Accumulating advantage,1940
11,0.0303797547049351,0.0129865541087816,2.33932376906604,0.0193187644517202,11,1944.5,0.0049261086517231635,0.055833400758147037,*,Accumulating advantage,1944
12,0.00535361198275562,0.0116667022508793,0.458879627475891,0.646320650499661,12,1949.5,-0.017513124428967804,0.028220348394479046,,Constant/non-significant,1950
13,-0.0436048766119295,0.0109833050686751,-3.97010520415141,7.18429789614928e-5,13,1954.5,-0.0651321545465327,-0.022077598677326303,***,Accumulating disadvantage,1954
14,-0.043982593808708,0.0110640345004476,-3.97527627077888,7.02996435576618e-5,14,1959.5,-0.06566810142958529,-0.0222970861878307,***,Accumulating disadvantage,1960
15,-0.0471590658820831,0.0101440804606182,-4.64892466746159,3.3368762999541e-6,15,1964.5,-0.06704146358489477,-0.02727666817927143,***,Accumulating disadvantage,1964
16,-0.0500422348598206,0.0107787531586889,-4.64267379752369,3.43947155867455e-6,16,1969.5,-0.07116859105085085,-0.028915878668790355,***,Accumulating disadvantage,1970
17,-0.0678670572564964,0.0108386016084465,-6.261606405351,3.81095329274274e-10,17,1974.5,-0.08911071640905155,-0.04662339810394126,***,Accumulating disadvantage,1974
18,-0.0922412723924079,0.0098634366271966,-9.35183910829515,8.62064500128247e-21,18,1979.5,-0.11157360818171323,-0.07290893660310256,***,Accumulating disadvantage,1980
19,-0.0982787280802777,0.010101860441494,-9.7287750755882,2.2752881311218e-22,19,1984.5,-0.11807837454560594,-0.07847908161494946,***,Accumulating disadvantage,1984
20,-0.0605183562128698,0.00987114945273918,-6.13083172356148,8.74342816450429e-10,20,1989.5,-0.0798658091402386,-0.041170903285501007,***,Accumulating disadvantage,1990
21,-0.0588794712478453,0.0108085489859425,-5.44749080791729,5.10903171757471e-8,21,1994.5,-0.08006422726029261,-0.037694715235397996,***,Accumulating disadvantage,1994
22,NA,NA,NA,NA,22,1999.5,NA,NA,,Not estimable,2000
