"effect","estimate","ci_10","ci_90","sig"
"Age (linear)",-0.03,-0.03,-0.02,"*"
"Age (quadratic, scaled)",0.3,0.25,0.34,"*"
"Period",NA,NA,NA,""
"  1999",0.06,0,0.12,""
"  2003",0.01,-0.06,0.07,""
"  2007",-0.08,-0.15,-0.02,"*"
"  2011",-0.05,-0.12,0.01,""
"  2015",-0.08,-0.15,-0.02,"*"
"  2019",0.14,0.07,0.2,"*"
"Cohort",NA,NA,NA,""
"  1916",0,-0.06,0.06,""
"  1920",-0.12,-0.18,-0.07,"*"
"  1924",0.03,-0.01,0.07,""
"  1928",-0.01,-0.04,0.03,""
"  1932",0.05,0.02,0.08,"*"
"  1936",-0.01,-0.04,0.02,""
"  1940",0,-0.03,0.04,""
"  1944",0.02,0,0.05,""
"  1948",0,-0.03,0.02,""
"  1952",-0.01,-0.04,0.01,""
"  1956",0.01,-0.02,0.04,""
"  1960",0.01,-0.02,0.03,""
"  1964",0,-0.02,0.03,""
"  1968",0.07,0.04,0.09,"*"
"  1972",0.08,0.05,0.11,"*"
"  1976",0.05,0.02,0.07,"*"
"  1980",-0.02,-0.05,0.01,""
"  1984",0.03,0,0.05,""
"  1988",-0.01,-0.04,0.02,""
"  1992",-0.05,-0.08,-0.02,"*"
"  1996",-0.05,-0.09,-0.02,"*"
"  2000",-0.04,-0.09,0.01,""
