age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
20-24,1990,22,1990,1968,3.8594050057443656,0.010335750199307662,20273
20-24,1995,22,1995,1973,3.803140288993965,0.006197188132932986,60933
20-24,2000,22,2000,1978,3.7712190515721518,0.005719439233836592,90967
20-24,2005,22,2005,1983,3.7446828801394902,0.0065363336647527685,76817
20-24,2010,22,2010,1988,3.780675544221762,0.004817131120780514,111417
20-24,2015,22,2015,1993,3.7457368107915086,0.004635264164777195,127003
20-24,2020,22,2020,1998,3.713321883859042,0.005033118042645525,134159
20-24,2025,22,2025,2003,3.5623770510205213,0.04434237137339213,1550
25-29,1990,27,1990,1963,3.924843536018604,0.010220488620524902,19877
25-29,1995,27,1995,1968,3.8742788436628217,0.006229765815790223,60706
25-29,2000,27,2000,1973,3.8189755226096294,0.006042860936990319,88803
25-29,2005,27,2005,1978,3.7330752813238246,0.006697720883250903,89207
25-29,2010,27,2010,1983,3.702300745229043,0.005735862263134199,99471
25-29,2015,27,2015,1988,3.6813378561504853,0.005415566575661816,107324
25-29,2020,27,2020,1993,3.674047572156778,0.006013365715727828,109173
25-29,2025,27,2025,1998,3.4431763965533158,0.050314837358568135,1202
30-34,1990,32,1990,1958,3.918275133329942,0.009125701755028285,24095
30-34,1995,32,1995,1963,3.863474816116215,0.005908964097198723,70137
30-34,2000,32,2000,1968,3.803046543513282,0.005343747672250569,105740
30-34,2005,32,2005,1973,3.7525018014017033,0.005490714565733366,119421
30-34,2010,32,2010,1978,3.670088007561297,0.005180723587186346,125495
30-34,2015,32,2015,1983,3.629154891152871,0.0051517354998843095,119447
30-34,2020,32,2020,1988,3.645942673551008,0.005564611815027524,125630
30-34,2025,32,2025,1993,3.455762059998763,0.05192124213196584,1287
35-39,1990,37,1990,1953,3.8690085412882698,0.009219095786987305,24981
35-39,1995,37,1995,1958,3.823745251621081,0.005638563036488528,79740
35-39,2000,37,2000,1963,3.749679322354698,0.005443299833675804,117350
35-39,2005,37,2005,1968,3.718911858812833,0.005192014794458308,146644
35-39,2010,37,2010,1973,3.636260630293335,0.005222272120704766,137614
35-39,2015,37,2015,1978,3.5775870551387965,0.005372667966127073,127725
35-39,2020,37,2020,1983,3.598424265093322,0.005688127415392409,138131
35-39,2025,37,2025,1988,3.5213444196456183,0.043900485073689086,1406
40-44,1990,42,1990,1948,3.80221593478674,0.010529349291932073,21696
40-44,1995,42,1995,1953,3.7527028843660073,0.006881911509441314,74758
40-44,2000,42,2000,1958,3.6654678412171577,0.005462663713305949,127783
40-44,2005,42,2005,1963,3.6572370693392293,0.005036613112916948,165920
