age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
20-24,1995,22,1995,1973,4.128225223926427,0.005683507994139415,32036
20-24,2000,22,2000,1978,4.115061823480906,0.004414235116117928,58660
20-24,2005,22,2005,1983,4.129647679290614,0.0042789221863604125,60759
20-24,2010,22,2010,1988,4.141934728081158,0.004865633472971281,60025
20-24,2015,22,2015,1993,4.148665504656829,0.004574244711465031,52980
20-24,2020,22,2020,1998,4.056265480057183,0.005366167841728278,40905
20-24,2025,22,2025,2003,4.025394432803625,0.012378927426635721,7652
25-29,1995,27,1995,1968,4.085102044010637,0.0055323737726551275,35983
25-29,2000,27,2000,1973,4.055332993959091,0.0045233140682436855,59848
25-29,2005,27,2005,1978,4.026627321381565,0.004430852239880325,63422
25-29,2010,27,2010,1983,4.014182501783933,0.0051490112986764735,63243
25-29,2015,27,2015,1988,4.029916207188762,0.004626446559552936,56698
25-29,2020,27,2020,1993,3.9640630073803544,0.005360564387788084,43964
25-29,2025,27,2025,1998,3.9191716077470318,0.012264331324282451,8251
30-34,1995,32,1995,1963,4.034414597949311,0.005439364181894351,40214
30-34,2000,32,2000,1968,4.025447208267723,0.004277176816552627,71623
30-34,2005,32,2005,1973,3.9946407587964488,0.004361841612789776,68122
30-34,2010,32,2010,1978,3.9694857524647538,0.004918713635142245,68848
30-34,2015,32,2015,1983,3.9853654680226147,0.004472753898021595,62832
30-34,2020,32,2020,1988,3.9217132982839296,0.004980819863092776,51159
30-34,2025,32,2025,1993,3.873985194119193,0.011816161526014767,9349
35-39,1995,37,1995,1958,3.937688596498418,0.005526048288655273,43415
35-39,2000,37,2000,1963,3.954061533866421,0.004205252715946543,79499
35-39,2005,37,2005,1968,3.9319683427184975,0.004311630285270879,76512
35-39,2010,37,2010,1973,3.8887092678512776,0.0049430494690950915,69118
35-39,2015,37,2015,1978,3.913342618984994,0.004475889649938414,65826
35-39,2020,37,2020,1983,3.8695675641496687,0.004915088756624011,53963
35-39,2025,37,2025,1988,3.8331119383782806,0.011041916940819435,10071
40-44,1995,42,1995,1953,3.843282241466344,0.005841057817931042,41408
40-44,2000,42,2000,1958,3.861476155839361,0.004325645415368447,84949
40-44,2005,42,2005,1963,3.831425320909701,0.004282509960167175,81793
40-44,2010,42,2010,1968,3.815144681823758,0.005059819278030991,73614
40-44,2015,42,2015,1973,3.8321643175062183,0.004721749133973521,62004
40-44,2020,42,2020,1978,3.7843809890596916,0.00512464660397927,52049
40-44,2025,42,2025,1983,3.752282437701821,0.011560077140366538,10117
45-49,1995,47,1995,1948,3.712810389797394,0.006395958379595251,36593
45-49,2000,47,2000,1953,3.7212424472027363,0.004711599569873925,75325
45-49,2005,47,2005,1958,3.6821107764154473,0.004598823849394142,80242
45-49,2010,47,2010,1963,3.6503274022607544,0.005238063631174424,73321
45-49,2015,47,2015,1968,3.6836054660336366,0.005002711585758712,61564
45-49,2020,47,2020,1973,3.7169313627850857,0.005418797774386157,47468
45-49,2025,47,2025,1978,3.6901704190177123,0.012491037014545743,8975
50-54,1995,52,1995,1943,3.5982348523780328,0.007350075930953636,29568
50-54,2000,52,2000,1948,3.604169972908883,0.005367318279968064,60632
50-54,2005,52,2005,1953,3.567862250897717,0.005019169890472621,68862
50-54,2010,52,2010,1958,3.536278249528291,0.0055936239740005025,70145
50-54,2015,52,2015,1963,3.5761796141640296,0.005157805635775699,60105
50-54,2020,52,2020,1968,3.624423403993248,0.005629311616341231,46733
50-54,2025,52,2025,1973,3.5771333391993645,0.013258581175990911,8240
55-59,1995,57,1995,1938,3.4311762160078234,0.008573717719797556,23302
55-59,2000,57,2000,1943,3.4540180071500695,0.00641088057885337,44633
55-59,2005,57,2005,1948,3.4540493347668964,0.0056611809054140285,55469
55-59,2010,57,2010,1953,3.432827863709422,0.006134822962638061,60280
55-59,2015,57,2015,1958,3.467236632142822,0.005431850711104999,56875
55-59,2020,57,2020,1963,3.508735052145661,0.00592053234384043,45196
55-59,2025,57,2025,1968,3.477236117966317,0.013962742159932498,7866
60-64,1995,62,1995,1933,3.2578204429102544,0.009379053192829006,20033
60-64,2000,62,2000,1938,3.3180350312948206,0.007284719697148407,34249
60-64,2005,62,2005,1943,3.3359800160179196,0.006606399146413732,41351
60-64,2010,62,2010,1948,3.3388318233683187,0.006724126571058099,49509
60-64,2015,62,2015,1953,3.3738592580341513,0.005737695235918024,51167
60-64,2020,62,2020,1958,3.4048345559950435,0.005910255631650186,45612
60-64,2025,62,2025,1963,3.3750421926154144,0.013629682493100467,8387
65-69,1995,67,1995,1928,3.088966249811926,0.009314434594168126,18792
65-69,2000,67,2000,1933,3.128397281019867,0.00783665702000571,28917
65-69,2005,67,2005,1938,3.17588736852195,0.007402654476765465,31947
65-69,2010,67,2010,1943,3.215397861507073,0.0073826502546204195,37627
65-69,2015,67,2015,1948,3.271115646280508,0.006102881890568889,43164
