age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
20-24,1970,22,1970,1948,3.2593948958876036,0.033488359850039215,521
20-24,1975,22,1975,1953,3.224590804933762,0.03739142728016967,491
20-24,1980,22,1980,1958,3.2668039812383096,0.03376970186903202,536
20-24,1985,22,1985,1963,3.242812676674314,0.03300081941262404,492
20-24,1990,22,1990,1968,3.294133834377719,0.0394953914789737,392
20-24,1995,22,1995,1973,3.2153648491962263,0.03924582664432952,404
20-24,2000,22,2000,1978,3.2301520740126164,0.039414027495878204,455
20-24,2005,22,2005,1983,3.1621850121253705,0.048602695995636616,330
20-24,2010,22,2010,1988,3.1365141046340943,0.053763337375774656,265
20-24,2015,22,2015,1993,3.0293003835789025,0.05995594611630755,219
20-24,2020,22,2020,1998,3.011083787126509,0.04102266000339263,545
25-29,1970,27,1970,1943,3.3436320174674994,0.031865473868236266,547
25-29,1975,27,1975,1948,3.279458995142367,0.03304650300735073,551
25-29,1980,27,1980,1953,3.2395059222950207,0.03027507838292926,617
25-29,1985,27,1985,1958,3.29466334299635,0.02978274587788163,607
25-29,1990,27,1990,1963,3.2112322281804015,0.035287016985181226,496
25-29,1995,27,1995,1968,3.213320803518708,0.0336838290725092,561
25-29,2000,27,2000,1973,3.163251724078314,0.03344039909986058,524
25-29,2005,27,2005,1978,3.2241010600743794,0.040174290517918605,427
25-29,2010,27,2010,1983,3.0769735657164015,0.04552436577532527,395
25-29,2015,27,2015,1988,2.958362486215436,0.04881414401123786,310
25-29,2020,27,2020,1993,3.002544316102522,0.03652013585192381,736
30-34,1970,32,1970,1938,3.2590694452753004,0.03839886879588548,442
30-34,1975,32,1975,1943,3.2030759542225478,0.039597167630052374,469
30-34,1980,32,1980,1948,3.1862519140713883,0.032604301903565364,552
30-34,1985,32,1985,1953,3.2188384326869075,0.029450513518076815,635
30-34,1990,32,1990,1958,3.257705081583224,0.029093980828572286,607
30-34,1995,32,1995,1963,3.263392624153308,0.02938675380085451,613
30-34,2000,32,2000,1968,3.2411573461192162,0.029805589411589773,596
30-34,2005,32,2005,1973,3.134905106898099,0.04012686408080099,439
30-34,2010,32,2010,1978,3.0448902383857104,0.043121719717817523,411
30-34,2015,32,2015,1983,2.972091048411898,0.0470323061999113,325
30-34,2020,32,2020,1988,2.8725125848426916,0.03285661275441578,941
35-39,1970,37,1970,1933,3.169974084545222,0.04084395469236714,413
35-39,1975,37,1975,1938,3.2527826318415,0.04068535006966706,397
35-39,1980,37,1980,1943,3.1977954913410604,0.03626883310032351,471
