age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
20-24,2000,22,2000,1978,3.9152444635167454,0.011397999632767795,8902
20-24,2005,22,2005,1983,3.9527911430378273,0.012230652430830255,9124
20-24,2010,22,2010,1988,3.997265204934732,0.012767013972634977,10316
20-24,2015,22,2015,1993,4.007383811950422,0.014380011937629581,7271
20-24,2020,22,2020,1998,3.9891306352201634,0.025839831659064137,2292
25-29,2000,27,2000,1973,3.8818716632906605,0.012128343780906777,9061
25-29,2005,27,2005,1978,3.874104309726512,0.013106392992360006,9160
25-29,2010,27,2010,1983,3.9155369288958046,0.0119846158899283,10516
25-29,2015,27,2015,1988,3.9616837124712427,0.012522455853390253,8310
25-29,2020,27,2020,1993,3.8739867509074357,0.0221206517268846,2818
30-34,2000,32,2000,1968,3.8180244540166366,0.011246946689576109,9885
30-34,2005,32,2005,1973,3.8184850365439256,0.012276324998277459,9591
30-34,2010,32,2010,1978,3.7926478743534604,0.012927336333876762,10706
30-34,2015,32,2015,1983,3.874785011242337,0.013285285166848706,8638
30-34,2020,32,2020,1988,3.8623152931503584,0.0188867281734178,3363
35-39,2000,37,2000,1963,3.735046013068629,0.01201320130547902,10343
35-39,2005,37,2005,1968,3.7447462955738406,0.012156829356664726,9940
35-39,2010,37,2010,1973,3.683278156353105,0.012451730462764836,10218
35-39,2015,37,2015,1978,3.798121849604096,0.012661992929354214,8800
35-39,2020,37,2020,1983,3.7670880658701096,0.022473228491260988,3592
40-44,2000,42,2000,1958,3.6645383510490577,0.011870589648481915,10820
40-44,2005,42,2005,1963,3.6397696488283753,0.011886291834186059,10071
40-44,2010,42,2010,1968,3.6053537861055527,0.013414238240111018,9843
40-44,2015,42,2015,1973,3.706659421109993,0.013506974193924713,8102
40-44,2020,42,2020,1978,3.6953387225278265,0.020823776825967266,3407
45-49,2000,47,2000,1953,3.530202183972355,0.0119348588640574,10167
45-49,2005,47,2005,1958,3.535550364624536,0.0122853328458405,10206
45-49,2010,47,2010,1963,3.5629161439172035,0.01379043807909176,10145
45-49,2015,47,2015,1968,3.6115978829563216,0.01413061250391536,8321
45-49,2020,47,2020,1973,3.5991301237555233,0.02104624644586019,3337
50-54,2000,52,2000,1948,3.4734576979805847,0.012769923585409789,9001
50-54,2005,52,2005,1953,3.4514834591558805,0.013197875708865424,9704
50-54,2010,52,2010,1958,3.4887282616169495,0.013197085182447825,10363
50-54,2015,52,2015,1963,3.5131328529130337,0.014153554910340788,8516
50-54,2020,52,2020,1968,3.543333574171499,0.019216753421721043,3655
55-59,2000,57,2000,1943,3.4079441809229136,0.014895109152813618,7316
55-59,2005,57,2005,1948,3.3963068711026096,0.013401041728169234,8486
55-59,2010,57,2010,1953,3.426402533226028,0.014563850115817404,9335
55-59,2015,57,2015,1958,3.475240704199179,0.01445507183794826,8803
55-59,2020,57,2020,1963,3.508282996229446,0.01962425932562177,4428
60-64,2000,62,2000,1938,3.3263973174230848,0.015986761639967234,5726
60-64,2005,62,2005,1943,3.3462654232084645,0.01573542067539562,6618
60-64,2010,62,2010,1948,3.3846247399933107,0.015517100926360257,7845
60-64,2015,62,2015,1953,3.424836382443018,0.014945926952297796,7853
60-64,2020,62,2020,1958,3.4511878967198477,0.018442550639577792,4896
65-69,2000,67,2000,1933,3.246079020676987,0.01796434791146358,4739
65-69,2005,67,2005,1938,3.282129473731314,0.016867616909093792,5125
65-69,2010,67,2010,1943,3.3878477778578264,0.016554444222054737,6288
65-69,2015,67,2015,1948,3.387965170626564,0.015520406516548528,7263
65-69,2020,67,2020,1953,3.4182324260507464,0.017721500854266294,5210
70-74,2000,72,2000,1928,3.08290500350058,0.018650865657821564,4319
70-74,2005,72,2005,1933,3.1873236381766814,0.019634402073732477,3913
70-74,2010,72,2010,1938,3.287936374735685,0.019519784618645713,4260
70-74,2015,72,2015,1943,3.3630749484581646,0.016987091946622936,5562
70-74,2020,72,2020,1948,3.413689688566394,0.018479527092629247,4671
75-79,2000,77,2000,1923,2.973800309721778,0.020671705901590887,3658
75-79,2005,77,2005,1928,3.0924435240254997,0.020257086312841465,3334
75-79,2010,77,2010,1933,3.1361069603787786,0.02225407700331813,3147
75-79,2015,77,2015,1938,3.273851349006886,0.0208657626899209,3880
75-79,2020,77,2020,1943,3.311048569495912,0.02284749434542754,3245
80-84,2000,82,2000,1918,2.9054979834618533,0.024419992249295946,2423
80-84,2005,82,2005,1923,2.9828610581902235,0.02505279339744875,2411
80-84,2010,82,2010,1928,3.0891716808894465,0.024760759216556086,2350
80-84,2015,82,2015,1933,3.165018660511162,0.02318610200994813,2601
80-84,2020,82,2020,1938,3.2193501033689502,0.0282732326744502,1999
