age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
20-24,2000,22,2000,1978,3.7205095926711262,0.029244275493198562,1453
20-24,2005,22,2005,1983,3.63236429411423,0.03802936291106394,994
20-24,2010,22,2010,1988,3.610140466023921,0.0348348171585757,1592
20-24,2015,22,2015,1993,3.547268431150632,0.03581572330836027,1528
20-24,2020,22,2020,1998,3.748248927503428,0.04989170772094138,407
25-29,2000,27,2000,1973,3.7752729347824174,0.03631294478542679,1343
25-29,2005,27,2005,1978,3.6841985136286826,0.040734290001308085,970
25-29,2010,27,2010,1983,3.6362402096240363,0.029135401894709187,1397
25-29,2015,27,2015,1988,3.534518246880885,0.033899746656205244,1646
25-29,2020,27,2020,1993,3.67006877999406,0.07259546815918827,497
30-34,2000,32,2000,1968,3.7586320860771063,0.036509338345386305,1331
30-34,2005,32,2005,1973,3.637512217374112,0.050478441281166415,929
30-34,2010,32,2010,1978,3.511744168797452,0.035171593460468095,1530
30-34,2015,32,2015,1983,3.4994142836710633,0.032027950894397944,1679
30-34,2020,32,2020,1988,3.534073864128593,0.05956910437580326,630
35-39,2000,37,2000,1963,3.717426001160675,0.026818353374302273,1231
35-39,2005,37,2005,1968,3.5803946554054873,0.04524009372052419,938
35-39,2010,37,2010,1973,3.4806788712009085,0.027610271340995123,1471
35-39,2015,37,2015,1978,3.4372162628698866,0.03292402026133454,1570
35-39,2020,37,2020,1983,3.6416365499251837,0.05411019823105043,550
40-44,2000,42,2000,1958,3.55329207979105,0.04596372659562837,1315
40-44,2005,42,2005,1963,3.4412203873084692,0.036938204008903526,906
40-44,2010,42,2010,1968,3.3976750226413217,0.028917395598802128,1571
40-44,2015,42,2015,1973,3.392947074062179,0.03600685912516858,1615
40-44,2020,42,2020,1978,3.523965944267647,0.054128566707231214,580
45-49,2000,47,2000,1953,3.5755686604562062,0.039570717435802434,1161
45-49,2005,47,2005,1958,3.3922426786924675,0.0490003875079141,884
45-49,2010,47,2010,1963,3.364341091916259,0.03937877358632138,1468
45-49,2015,47,2015,1968,3.4079772669467654,0.04980857676048318,1585
45-49,2020,47,2020,1973,3.3153931809530284,0.08145156236941811,461
50-54,2000,52,2000,1948,3.411620913923097,0.0525261963785018,1111
50-54,2005,52,2005,1953,3.3996190318742316,0.04619910103513632,895
50-54,2010,52,2010,1958,3.3522591774313675,0.04236938537820142,1509
50-54,2015,52,2015,1963,3.322864767345641,0.059016678141651194,1657
50-54,2020,52,2020,1968,3.3254227008696335,0.03914088643924996,527
55-59,2000,57,2000,1943,3.403333540429263,0.05400798664625547,775
55-59,2005,57,2005,1948,3.3170106678609708,0.06189272131496228,669
55-59,2010,57,2010,1953,3.3272271444062054,0.05098262618410526,1298
55-59,2015,57,2015,1958,3.2953773395575996,0.03890640741650624,1748
55-59,2020,57,2020,1963,3.177306807134221,0.050511812092811637,652
60-64,2000,62,2000,1938,3.338651843451971,0.06436951490927002,1257
60-64,2005,62,2005,1943,3.361977162787092,0.05063963954741806,979
60-64,2010,62,2010,1948,3.342606341263499,0.04192525308359107,1625
60-64,2015,62,2015,1953,3.3037273846121957,0.042118968968535744,2183
60-64,2020,62,2020,1958,3.2789853162721743,0.06059598092165056,918
65-69,2000,67,2000,1933,3.2285845585327664,0.05188689506297688,1073
65-69,2005,67,2005,1938,3.3028436051063403,0.061327460471484345,708
65-69,2010,67,2010,1943,3.3387904848839574,0.0559345439103949,1183
65-69,2015,67,2015,1948,3.3881235784018493,0.05561336101278669,1614
65-69,2020,67,2020,1953,3.307730670413346,0.06097687870107436,847
70-74,2000,72,2000,1928,3.213361506895013,0.04647064027195732,1009
70-74,2005,72,2005,1933,3.255588464115968,0.047438925813004074,672
70-74,2010,72,2010,1938,3.2087030391512887,0.049642827947819435,1050
70-74,2015,72,2015,1943,3.28023092144311,0.04571055385241089,1302
70-74,2020,72,2020,1948,3.338561916865386,0.04865634234250764,748
75-79,2000,77,2000,1923,3.039466536993212,0.04993948621401477,781
75-79,2005,77,2005,1928,3.0479344124807626,0.05701257001573521,531
75-79,2010,77,2010,1933,3.19252529100802,0.057958603722181805,704
75-79,2015,77,2015,1938,3.221308780943498,0.057942740460669294,886
75-79,2020,77,2020,1943,3.277946196409259,0.07067447033081925,466
80-84,2000,82,2000,1918,3.0938289276280684,0.05081704818608149,849
80-84,2005,82,2005,1923,3.0389330778681343,0.05687728950904128,662
80-84,2010,82,2010,1928,3.127519169883314,0.04577084003987189,1140
80-84,2015,82,2015,1933,3.2143361429895885,0.039549528719017166,1480
80-84,2020,82,2020,1938,3.2214237135408634,0.07275753822887071,523
