age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
20-24,1980,22,1980,1958,4.131329479153604,0.016052125456088803,17521
20-24,1985,22,1985,1963,4.147093934271268,0.01022361723001754,32688
20-24,1990,22,1990,1968,4.093727049079008,0.010469645189624673,31420
20-24,1995,22,1995,1973,4.1549959293572325,0.012898571466656086,18122
20-24,2000,22,2000,1978,4.136396629342418,0.010215186871834946,30628
20-24,2005,22,2005,1983,4.15120935202495,0.012131038275073112,27012
20-24,2010,22,2010,1988,4.1220470333838914,0.011766209911910783,33502
20-24,2015,22,2015,1993,4.122814695159037,0.012891645447976753,21939
20-24,2020,22,2020,1998,4.002653748381976,0.013624181552854732,7003
25-29,1980,27,1980,1953,4.176361850108955,0.016672156483613275,18125
25-29,1985,27,1985,1958,4.1438000405621604,0.009643697623180297,37358
25-29,1990,27,1990,1963,4.118846483543114,0.01052006281094978,36108
25-29,1995,27,1995,1968,4.152243204870989,0.01140738634897222,20565
25-29,2000,27,2000,1973,4.13380170760255,0.00937595044293466,31150
25-29,2005,27,2005,1978,4.0763017247227005,0.01075531391875079,27059
25-29,2010,27,2010,1983,4.063760148107532,0.011654073563719981,34561
25-29,2015,27,2015,1988,4.0331152130149475,0.011816167978523345,24233
25-29,2020,27,2020,1993,3.939140882000649,0.01157326622946331,9804
30-34,1980,32,1980,1948,4.107666635893384,0.017729908230782916,16830
30-34,1985,32,1985,1953,4.10187944200478,0.008752074949923225,37372
30-34,1990,32,1990,1958,4.060703026017844,0.01004327227848517,40713
30-34,1995,32,1995,1963,4.099809124750553,0.010083119533159752,22542
30-34,2000,32,2000,1968,4.095690728890693,0.009284485578842611,34649
30-34,2005,32,2005,1973,4.020870720837213,0.010745157841566901,27576
30-34,2010,32,2010,1978,3.985213535277544,0.01141762939618149,35001
30-34,2015,32,2015,1983,3.9871619849837883,0.01154220976991273,25144
30-34,2020,32,2020,1988,3.869824945093129,0.011112462349323626,11826
35-39,1980,37,1980,1943,4.02740944230301,0.018208422884154266,14851
35-39,1985,37,1985,1948,4.057223339220518,0.010530928253213152,35127
35-39,1990,37,1990,1953,3.995682495761635,0.010698558035463199,38345
35-39,1995,37,1995,1958,4.051940993756531,0.011009871737539886,24436
35-39,2000,37,2000,1963,4.007707732963536,0.009217294445591275,36149
35-39,2005,37,2005,1968,3.934034265770799,0.011357465964145335,28955
35-39,2010,37,2010,1973,3.926023662248592,0.012079752649099919,33247
35-39,2015,37,2015,1978,3.900233711388131,0.011742787274550118,24874
35-39,2020,37,2020,1983,3.796658383038826,0.012043148800387659,12117
40-44,1980,42,1980,1938,3.9148424260830814,0.02303931907994466,12030
40-44,1985,42,1985,1943,3.9446679980991153,0.010631344216245663,29601
40-44,1990,42,1990,1948,3.957044818911806,0.012352129822216945,34822
40-44,1995,42,1995,1953,3.9376190336618953,0.012234297798322129,23544
40-44,2000,42,2000,1958,3.901273574239476,0.009900802519226206,37825
40-44,2005,42,2005,1963,3.8275951853801704,0.013511053698890626,30000
40-44,2010,42,2010,1968,3.83721500532315,0.01178579725236829,34693
40-44,2015,42,2015,1973,3.8103354308644994,0.012480299202441146,23774
40-44,2020,42,2020,1978,3.6988196912262663,0.01252416051380271,11340
45-49,1980,47,1980,1933,3.7175592250314877,0.027822524337525772,10470
45-49,1985,47,1985,1938,3.8235474514552465,0.016319418532092133,24102
45-49,1990,47,1990,1943,3.8402511807669666,0.013195759344856374,28241
45-49,1995,47,1995,1948,3.837685330330078,0.012923103991167776,20476
45-49,2000,47,2000,1953,3.7692010659957482,0.011251827860141275,34605
45-49,2005,47,2005,1958,3.745385692268206,0.012681840490603035,30357
45-49,2010,47,2010,1963,3.6960524547935503,0.012400350985675405,34980
45-49,2015,47,2015,1968,3.6807375495930583,0.01325444213926975,24997
45-49,2020,47,2020,1973,3.6353862918551942,0.012894530902698789,10248
50-54,1980,52,1980,1928,3.6023707060256362,0.02380860492795383,10425
50-54,1985,52,1985,1933,3.66517708482947,0.014587213936709179,20944
50-54,1990,52,1990,1938,3.6737403536693596,0.017600624675694836,22877
50-54,1995,52,1995,1943,3.6915141443881976,0.014604529969123412,17402
50-54,2000,52,2000,1948,3.654528328879632,0.012409512731975337,30529
50-54,2005,52,2005,1953,3.6128849722963667,0.013428226711777657,28280
50-54,2010,52,2010,1958,3.592163558755274,0.013670559025386449,35752
50-54,2015,52,2015,1963,3.592694844275846,0.01326633162330386,26435
50-54,2020,52,2020,1968,3.5230938364226483,0.012438242583044259,11023
55-59,1980,57,1980,1923,3.444742699719807,0.021377057324062445,10411
55-59,1985,57,1985,1928,3.5080767698037336,0.016268827996394404,20541
55-59,1990,57,1990,1933,3.519301886589118,0.018215045498414097,20251
55-59,1995,57,1995,1938,3.5802363941444892,0.018145210674122544,13150
55-59,2000,57,2000,1943,3.5128035883898687,0.014991619691464375,23906
55-59,2005,57,2005,1948,3.4982946774848873,0.014468942835919188,23844
55-59,2010,57,2010,1953,3.4709329221185623,0.01189043043765484,32603
55-59,2015,57,2015,1958,3.489116854861161,0.013247109289376396,26914
55-59,2020,57,2020,1963,3.4415002874977385,0.012696302793738332,12466
60-64,1980,62,1980,1918,3.2596406834626026,0.020381366604808125,9757
60-64,1985,62,1985,1923,3.3437606605743473,0.015566159320297961,20350
60-64,1990,62,1990,1928,3.366827653123243,0.01924997185712341,19699
60-64,1995,62,1995,1933,3.4665278627351155,0.01744430014891307,10848
60-64,2000,62,2000,1938,3.4262235146824023,0.015309522438016166,18676
60-64,2005,62,2005,1943,3.4101537238054473,0.015598201915051584,18898
60-64,2010,62,2010,1948,3.4395872023959098,0.013722763447969376,28527
60-64,2015,62,2015,1953,3.4126329362736127,0.013228362749461329,25518
60-64,2020,62,2020,1958,3.364220307673521,0.012242501616877663,14248
65-69,1980,67,1980,1913,3.156435171083128,0.01803993373201365,8272
65-69,1985,67,1985,1918,3.2522170975005644,0.014536622896839789,18597
65-69,1990,67,1990,1923,3.306769516723186,0.01769776611129318,19040
65-69,1995,67,1995,1928,3.3487296639681414,0.019121336044189696,10291
65-69,2000,67,2000,1933,3.3556806267495265,0.015125745979833766,15575
65-69,2005,67,2005,1938,3.3726517904806896,0.01604865960971225,14494
65-69,2010,67,2010,1943,3.4453087628020875,0.014151621613449556,21892
65-69,2015,67,2015,1948,3.4483533183983033,0.012776455349387565,22940
65-69,2020,67,2020,1953,3.370644087330339,0.01241697397591105,14356
70-74,1980,72,1980,1908,3.093220828334289,0.02361827697044548,6453
70-74,1985,72,1985,1913,3.1893786533193023,0.016554943785370993,14653
70-74,1990,72,1990,1918,3.2374822078179726,0.01935620345774889,15857
70-74,1995,72,1995,1923,3.230958750962903,0.018248958223202272,9015
70-74,2000,72,2000,1928,3.235572250084107,0.014884882425769918,13821
70-74,2005,72,2005,1933,3.2645843461380055,0.016511718225752897,11105
70-74,2010,72,2010,1938,3.3918761904509944,0.015020587960051153,15814
70-74,2015,72,2015,1943,3.3861820992281295,0.012967835603941163,17011
70-74,2020,72,2020,1948,3.323741877805903,0.0129323875487056,12830
75-79,1980,77,1980,1903,3.1038522575908627,0.026230877089269456,4563
75-79,1985,77,1985,1908,3.0770525397102264,0.0170381625508051,10670
75-79,1990,77,1990,1913,3.151153430963452,0.02342741825806155,11115
75-79,1995,77,1995,1918,3.183184736731338,0.020492978711449325,7189
75-79,2000,77,2000,1923,3.1232388444574677,0.017858374614612715,11253
75-79,2005,77,2005,1928,3.1826590137957944,0.017772893872504664,9065
75-79,2010,77,2010,1933,3.2923566196007688,0.01756664020704052,11852
75-79,2015,77,2015,1938,3.2669074072585804,0.016923076621213045,11621
75-79,2020,77,2020,1943,3.2192008604853886,0.014618074938861641,9417
80-84,1980,82,1980,1898,2.953613910024388,0.029703333655358696,2636
80-84,1985,82,1985,1903,3.0792743637727042,0.023174977833011194,6301
80-84,1990,82,1990,1908,3.0981821292230194,0.025680628844139464,7128
80-84,1995,82,1995,1913,3.0435329398120827,0.02545555978958959,4449
80-84,2000,82,2000,1918,3.0674144205229017,0.018122516888281412,7635
80-84,2005,82,2005,1923,3.0618430971338975,0.022223844647324652,6783
80-84,2010,82,2010,1928,3.1739093602158612,0.019902353013870205,8640
80-84,2015,82,2015,1933,3.165514420490005,0.019618492433081995,7870
80-84,2020,82,2020,1938,3.128902713001428,0.017640707419421812,6122
