value,effect,dimension,source_slice,source_type
22,0.5562997199789286,Age,AP,row
27,0.4547018174340667,Age,AP,row
32,0.410005068114887,Age,AP,row
37,0.3292285835014108,Age,AP,row
42,0.25566399747389124,Age,AP,row
47,0.11303707981834776,Age,AP,row
52,0,Age,AP,row
57,-0.11787616918060229,Age,AP,row
62,-0.220648860981548,Age,AP,row
67,-0.3440828228427937,Age,AP,row
72,-0.44355804838755697,Age,AP,row
77,-0.5813047062802483,Age,AP,row
82,-0.6958395321980828,Age,AP,row
22,0.5752585654400779,Age,AC,row
27,0.4598400381347417,Age,AC,row
32,0.41750741959708426,Age,AC,row
37,0.3240285540478589,Age,AC,row
42,0.2176403560142126,Age,AC,row
47,0.10864041688851112,Age,AC,row
52,0,Age,AC,row
57,-0.1442168452279633,Age,AC,row
62,-0.2387427722800739,Age,AC,row
67,-0.33305432662837475,Age,AC,row
72,-0.4051726038980439,Age,AC,row
77,-0.49026201707457373,Age,AC,row
82,-0.5561215528471943,Age,AC,row
1995,0,Period,AP,col
2000,-3.132761682689278e-5,Period,AP,col
2005,-0.002851807350399138,Period,AP,col
2010,-0.012444819597631884,Period,AP,col
2015,0.0131872973759255,Period,AP,col
2020,0.05249790004574928,Period,AP,col
2025,0.0052078352518658555,Period,AP,col
1995,0.293428251693762,Period,PC,row
2000,0.1950610981082459,Period,PC,row
2005,0.11546517750668084,Period,PC,row
2010,0,Period,PC,row
2015,-0.042276238605545746,Period,PC,row
2020,-0.14159235011509352,Period,PC,row
2025,-0.23802331181302946,Period,PC,row
1913,-0.31382952105579887,Cohort,AC,col
1918,-0.28334984404056174,Cohort,AC,col
1923,-0.21927001033748922,Cohort,AC,col
1928,-0.14747873106041512,Cohort,AC,col
1933,-0.08595111870634425,Cohort,AC,col
1938,0.003539676145475318,Cohort,AC,col
1943,0.04384573852749635,Cohort,AC,col
1948,0.04978085905834656,Cohort,AC,col
1953,0.05821291646368881,Cohort,AC,col
1958,0.05927092860002253,Cohort,AC,col
1963,0.059395851044951875,Cohort,AC,col
1968,0.05355067482010217,Cohort,AC,col
1973,0.022744225348828084,Cohort,AC,col
1978,0.012374844295614876,Cohort,AC,col
1983,-4.665020134467235e-5,Cohort,AC,col
1988,-0.01650934036478549,Cohort,AC,col
1993,-0.05016614460492366,Cohort,AC,col
1998,-0.08421987173583874,Cohort,AC,col
2003,-0.10425324648698897,Cohort,AC,col
1913,-1.1565646092305897,Cohort,PC,col
1918,-1.0439715875362847,Cohort,PC,col
1923,-0.8975310988739893,Cohort,PC,col
1928,-0.7528932191378018,Cohort,PC,col
1933,-0.5831822062678786,Cohort,PC,col
1938,-0.42450375404278134,Cohort,PC,col
1943,-0.2886174884425476,Cohort,PC,col
1948,-0.19564312983703244,Cohort,PC,col
1953,-0.09517732409333485,Cohort,PC,col
1958,0.0012506161130281523,Cohort,PC,col
1963,0.10275300477638322,Cohort,PC,col
1968,0.24409939483250376,Cohort,PC,col
1973,0.3126974983664739,Cohort,PC,col
1978,0.3795091375183922,Cohort,PC,col
1983,0.4666081042995623,Cohort,PC,col
1988,0.5240894505084378,Cohort,PC,col
1993,0.5644341084478512,Cohort,PC,col
1998,0.6299519773817979,Cohort,PC,col
2003,0.7158433471322836,Cohort,PC,col
