value,effect,dimension,source_slice,source_type
22,0.24839656157573176,Age,AP,row
27,0.22234564265350398,Age,AP,row
32,0.2594018336823316,Age,AP,row
37,0.17729022564149766,Age,AP,row
42,0.11087756090963863,Age,AP,row
47,0.06607568624139137,Age,AP,row
52,0,Age,AP,row
57,-0.10198781933878154,Age,AP,row
62,-0.10598228713136049,Age,AP,row
67,-0.1608381331517208,Age,AP,row
72,-0.26620209936020345,Age,AP,row
77,-0.3826079560309439,Age,AP,row
82,-0.3421552149708198,Age,AP,row
22,0.3342676668137301,Age,AC,row
27,0.3063055040829664,Age,AC,row
32,0.27442493412158897,Age,AC,row
37,0.21452902835967003,Age,AC,row
42,0.10964892090333911,Age,AC,row
47,0.055805170885511846,Age,AC,row
52,0,Age,AC,row
57,-0.11706506187965005,Age,AC,row
62,-0.13452609441928853,Age,AC,row
67,-0.13309384885109665,Age,AC,row
72,-0.19296125264606712,Age,AC,row
77,-0.32052218113139475,Age,AC,row
82,-0.23263536487278014,Age,AC,row
1970,-0.009533909923583384,Period,AP,col
1975,0,Period,AP,col
1980,-0.003921033425900777,Period,AP,col
1985,0.024714754341556233,Period,AP,col
1990,0.06326904303467007,Period,AP,col
1995,0.07321967665601914,Period,AP,col
2000,0.05098439862192716,Period,AP,col
2005,-0.001706568027447286,Period,AP,col
2010,-0.017338562397505086,Period,AP,col
2015,8.553976555827347e-4,Period,AP,col
2020,-0.08588179625636094,Period,AP,col
1970,0.22528614271188463,Period,PC,row
1975,0.1519415485600537,Period,PC,row
1980,0.09091729918095925,Period,PC,row
1985,0.07977899868839344,Period,PC,row
1990,0.050388566177936744,Period,PC,row
1995,0,Period,PC,row
2000,-0.03746031093786162,Period,PC,row
2005,-0.1548125614043241,Period,PC,row
2010,-0.19521538277347839,Period,PC,row
2015,-0.2743540035179507,Period,PC,row
2020,-0.3173726078971755,Period,PC,row
1888,-0.047598890219785916,Cohort,AC,col
1893,-0.06946470722553455,Cohort,AC,col
1898,-0.10744489915443789,Cohort,AC,col
1903,-0.10903464469799329,Cohort,AC,col
1908,-0.04538014999485118,Cohort,AC,col
1913,-0.02291764198525148,Cohort,AC,col
1918,0.008278632243671646,Cohort,AC,col
1923,0.06145987820074561,Cohort,AC,col
1928,0.11833668503378969,Cohort,AC,col
1933,0.09614921815791239,Cohort,AC,col
1938,0.16072500559241187,Cohort,AC,col
1943,0.13984085686965675,Cohort,AC,col
1948,0.13443917516560178,Cohort,AC,col
1953,0.08494259813002364,Cohort,AC,col
1958,0.11732122554837021,Cohort,AC,col
1963,0.04922876584746372,Cohort,AC,col
1968,0.031537810353277074,Cohort,AC,col
1973,-6.030476271914886e-4,Cohort,AC,col
1978,-0.08885093974899894,Cohort,AC,col
1983,-0.12514915605124838,Cohort,AC,col
1988,-0.2072592618806507,Cohort,AC,col
1993,-0.16368047962075644,Cohort,AC,col
1998,-0.1825001237003414,Cohort,AC,col
1888,-0.6973385594538244,Cohort,PC,col
1893,-0.7264754875129649,Cohort,PC,col
1898,-0.77172679049526,Cohort,PC,col
1903,-0.6790239471066044,Cohort,PC,col
1908,-0.597010548775398,Cohort,PC,col
1913,-0.568835694419932,Cohort,PC,col
1918,-0.4381758382424663,Cohort,PC,col
1923,-0.31304001417642596,Cohort,PC,col
1928,-0.18971938743822525,Cohort,PC,col
1933,-0.1610947807263048,Cohort,PC,col
1938,-0.05758268772790831,Cohort,PC,col
1943,0,Cohort,PC,col
1948,0.044200209227934995,Cohort,PC,col
1953,0.07108643534113301,Cohort,PC,col
1958,0.12475227639485631,Cohort,PC,col
1963,0.10970925633997075,Cohort,PC,col
1968,0.14458395238072086,Cohort,PC,col
1973,0.15690403644370693,Cohort,PC,col
1978,0.20334550365797777,Cohort,PC,col
1983,0.20818259454737015,Cohort,PC,col
1988,0.1815820840708927,Cohort,PC,col
1993,0.2606512498857812,Cohort,PC,col
1998,0.27732198936119046,Cohort,PC,col
