value,effect,dimension,source_slice,source_type
22,0.4698173793603222,Age,AP,row
27,0.42411727988114256,Age,AP,row
32,0.3372185786522368,Age,AP,row
37,0.26055541701399587,Age,AP,row
42,0.16909298851989263,Age,AP,row
47,0.07418788230025397,Age,AP,row
52,0,Age,AP,row
57,-0.05608189833200372,Age,AP,row
62,-0.10612334622614883,Age,AP,row
67,-0.1496012619635363,Age,AP,row
72,-0.2007918868812646,Age,AP,row
77,-0.3526213012381709,Age,AP,row
82,-0.399556580727503,Age,AP,row
22,0.4647066867113496,Age,AC,row
27,0.393143401673711,Age,AC,row
32,0.3297567749269761,Age,AC,row
37,0.24631775145167945,Age,AC,row
42,0.17581008943210819,Age,AC,row
47,0.07418788230025397,Age,AC,row
52,0,Age,AC,row
57,-0.06232572839092132,Age,AC,row
62,-0.10410352162363878,Age,AC,row
67,-0.10088048375912306,Age,AC,row
72,-0.18322565672137903,Age,AC,row
77,-0.2417904163989874,Age,AC,row
82,-0.24806936674401225,Age,AC,row
2000,-0.03271395994484827,Period,AP,col
2005,-0.03633949218233612,Period,AP,col
2010,0,Period,AP,col
2015,0.048838170973150685,Period,AP,col
2020,0.05460531255454937,Period,AP,col
2000,0.08883295798727397,Period,PC,row
2005,0.027579250708410274,Period,PC,row
2010,0,Period,PC,row
2015,-0.001566150783010034,Period,PC,row
2020,-0.062020211934053826,Period,PC,row
1918,-0.33516091141108395,Cohort,AC,col
1923,-0.265467686089449,Cohort,AC,col
1928,-0.15449432119246234,Cohort,AC,col
1933,-0.11450492577903627,Cohort,AC,col
1938,-0.02130879150398697,Cohort,AC,col
1943,0,Cohort,AC,col
1948,0,Cohort,AC,col
1953,0,Cohort,AC,col
1958,0,Cohort,AC,col
1963,0,Cohort,AC,col
1968,0.00970028250521171,Cohort,AC,col
1973,0,Cohort,AC,col
1978,-0.0077673535641484825,Cohort,AC,col
1983,0.0328536592033124,Cohort,AC,col
1988,0.043830256606432805,Cohort,AC,col
1993,0.023031975619449252,Cohort,AC,col
1998,0.03569568689186431,Cohort,AC,col
1918,-0.6938044132201044,Cohort,PC,col
1923,-0.5903448590865252,Cohort,PC,col
1928,-0.4456051653775943,Cohort,PC,col
1933,-0.3519742136156916,Cohort,PC,col
1938,-0.2350519389047876,Cohort,PC,col
1943,-0.14582833945350915,Cohort,PC,col
1948,-0.12584469870137305,Cohort,PC,col
1953,-0.08406690546865558,Cohort,PC,col
1958,-0.0024983247785579366,Cohort,PC,col
1963,0.05983376946881602,Cohort,PC,col
1968,0.10269459504464784,Cohort,PC,col
1973,0.19775613319831908,Cohort,PC,col
1978,0.2892185616924223,Cohort,PC,col
1983,0.38547460676589207,Cohort,PC,col
1988,0.452780424559569,Cohort,PC,col
1993,0.4620090240927772,Cohort,PC,col
1998,0.5406814084595335,Cohort,PC,col
