value,effect,dimension,source_slice,source_type
22,0.2801051166828623,Age,AP,row
27,0.31780960256269264,Age,AP,row
32,0.18181468669722545,Age,AP,row
37,0.22813547797411982,Age,AP,row
42,0.08896120987710177,Age,AP,row
47,0.03998350126110006,Age,AP,row
52,0,Age,AP,row
57,-0.03524850957039671,Age,AP,row
62,-0.01913738273344512,Age,AP,row
67,-0.04452850701802147,Age,AP,row
72,-0.09667071331539967,Age,AP,row
77,-0.13751005833303864,Age,AP,row
82,-0.2025161794577448,Age,AP,row
22,0.2801051166828623,Age,AC,row
27,0.31780960256269264,Age,AC,row
32,0.2040385147875341,Age,AC,row
37,0.22813547797411982,Age,AC,row
42,0.11686279665331023,Age,AC,row
47,0.03998350126110006,Age,AC,row
52,0,Age,AC,row
57,-0.05870258826764552,Age,AC,row
62,-0.06901457265959765,Age,AC,row
67,-0.07819906226050488,Age,AC,row
72,-0.09667071331539967,Age,AC,row
77,-0.1597338864233473,Age,AC,row
82,-0.16582877174309352,Age,AC,row
2000,0.0863228725682923,Period,AP,col
2005,0,Period,AP,col
2010,-0.02222382809030865,Period,AP,col
2015,-0.02939441008572663,Period,AP,col
2020,0,Period,AP,col
2000,0.0903916533493736,Period,PC,row
2005,0.054583415003742974,Period,PC,row
2010,0,Period,PC,row
2015,-0.04147632457061823,Period,PC,row
2020,-0.03499569067063035,Period,PC,row
1918,-0.09260147806020558,Cohort,AC,col
1923,-0.15027804091747388,Cohort,AC,col
1928,-0.05891123580495994,Cohort,AC,col
1933,0,Cohort,AC,col
1938,0.028783489935477746,Cohort,AC,col
1943,0.07873255801532197,Cohort,AC,col
1948,0.05936173649172938,Cohort,AC,col
1953,0.03367055524248341,Cohort,AC,col
1958,0,Cohort,AC,col
1963,-0.027901586776208465,Cohort,AC,col
1968,0,Cohort,AC,col
1973,-0.07617490002249871,Cohort,AC,col
1978,0.014129733634622443,Cohort,AC,col
1983,-0.016914285185011924,Cohort,AC,col
1988,-0.02222382809030865,Cohort,AC,col
1993,-0.04254793148179892,Cohort,AC,col
1998,0.1158846333891983,Cohort,AC,col
1918,-0.3415983425917939,Cohort,PC,col
1923,-0.37832334361637376,Cohort,PC,col
1928,-0.22206576332484929,Cohort,PC,col
1933,-0.14827044681036616,Cohort,PC,col
1938,-0.0967754267678913,Cohort,PC,col
1943,-0.03209372979059921,Cohort,PC,col
1948,-0.002429275606989467,Cohort,PC,col
1953,0,Cohort,PC,col
1958,-0.007376353181764106,Cohort,PC,col
1963,0.019305475045770404,Cohort,PC,col
1968,0.10441797464689495,Cohort,PC,col
1973,0.1356432543304198,Cohort,PC,col
1978,0.21392601806778888,Cohort,PC,col
1983,0.26197492749677287,Cohort,PC,col
1988,0.23095895458101445,Cohort,PC,col
1993,0.30186899632248165,Cohort,PC,col
1998,0.43820900130356977,Cohort,PC,col
