value,effect,dimension,source_slice,source_type
22,0.5011323058912494,Age,AP,row
27,0.48293993287592585,Age,AP,row
32,0.43050585275548947,Age,AP,row
37,0.36548532249928023,Age,AP,row
42,0.2590511637752204,Age,AP,row
47,0.11685533052699393,Age,AP,row
52,0,Age,AP,row
57,-0.1302356842563248,Age,AP,row
62,-0.2159988957818535,Age,AP,row
67,-0.28654178371472927,Age,AP,row
72,-0.392714965444382,Age,AP,row
77,-0.4790437422989027,Age,AP,row
82,-0.5666872646073147,Age,AP,row
22,0.6076899623931713,Age,AC,row
27,0.5476876562519203,Age,AC,row
32,0.4660749854586085,Age,AC,row
37,0.3787176952845306,Age,AC,row
42,0.28340531908689837,Age,AC,row
47,0.14190267031327086,Age,AC,row
52,0,Age,AC,row
57,-0.12965853979345476,Age,AC,row
62,-0.23532017490229906,Age,AC,row
67,-0.2620919827446152,Age,AC,row
72,-0.3462641046165421,Age,AC,row
77,-0.41822093675644645,Age,AC,row
82,-0.4897152672564986,Age,AC,row
1980,-0.027826467236718333,Period,AP,col
1985,0.017431266638806786,Period,AP,col
1990,0.0016668115211424528,Period,AP,col
1995,0.04077291025385099,Period,AP,col
2000,0.013692048723043637,Period,AP,col
2005,0,Period,AP,col
2010,-0.027361755366325013,Period,AP,col
2015,-0.00917782262372624,Period,AP,col
2020,-0.10543652531856385,Period,AP,col
1980,0.3215038552623395,Period,PC,row
1985,0.28956163318910016,Period,PC,row
1990,0.2170777855036632,Period,PC,row
1995,0.10805848047022015,Period,PC,row
2000,0,Period,PC,row
2005,-0.0631807089854533,Period,PC,row
2010,-0.14822574873174513,Period,PC,row
2015,-0.2341222481245209,Period,PC,row
2020,-0.4138908648225255,Period,PC,row
1898,-0.11048050895536488,Cohort,AC,col
1903,-0.008278273547995596,Cohort,AC,col
1908,-0.05853620976957874,Cohort,AC,col
1913,-0.019364203734038743,Cohort,AC,col
1918,0.0033200015431487095,Cohort,AC,col
1923,0.01782168325428002,Cohort,AC,col
1928,0.04856101978938465,Cohort,AC,col
1933,0.09828537082828664,Cohort,AC,col
1938,0.11993066743310798,Cohort,AC,col
1943,0.10745299277596532,Cohort,AC,col
1948,0.11982981358865619,Cohort,AC,col
1953,0.0748645076207829,Cohort,AC,col
1958,0.045730796339568336,Cohort,AC,col
1963,0.017349141054941675,Cohort,AC,col
1968,0,Cohort,AC,col
1973,-0.0065037192721904,Cohort,AC,col
1978,-0.03229367013265105,Cohort,AC,col
1983,-0.03522994054585593,Cohort,AC,col
1988,-0.06838212947322442,Cohort,AC,col
1993,-0.10052070697895438,Cohort,AC,col
1998,-0.1588459002474465,Cohort,AC,col
1898,-1.0975167950978093,Cohort,PC,col
1903,-0.9435962834037942,Cohort,PC,col
1908,-0.9421359433387315,Cohort,PC,col
1913,-0.8126805170648622,Cohort,PC,col
1918,-0.7092224275455484,Cohort,PC,col
1923,-0.6065572923847824,Cohort,PC,col
1928,-0.48895566636193655,Cohort,PC,col
1933,-0.3625844329072252,Cohort,PC,col
1938,-0.22859719447675647,Cohort,PC,col
1943,-0.10932250250720738,Cohort,PC,col
1948,0,Cohort,PC,col
1953,0.04897786039811383,Cohort,PC,col
1958,0.08019877403140663,Cohort,PC,col
1963,0.1445272478640381,Cohort,PC,col
1968,0.25581390419503724,Cohort,PC,col
1973,0.33213643396917053,Cohort,PC,col
1978,0.4047291096527942,Cohort,PC,col
1983,0.48356112906498244,Cohort,PC,col
1988,0.5406459322557787,Cohort,PC,col
1993,0.6253574951935084,Cohort,PC,col
1998,0.686917763344644,Cohort,PC,col
