value,effect,n_cells,dimension
22,-0.02885451980790654,8,Age
27,-0.0032411094828681377,8,Age
32,0.019971742650187467,8,Age
37,0.037238720574485525,8,Age
42,0.01625415700299964,8,Age
47,-0.007298008080843498,8,Age
52,-0.019764080111905252,8,Age
57,-0.055950697337025734,8,Age
62,-0.056410550276022084,8,Age
67,-0.006276880506383475,8,Age
72,0.03236316799083838,8,Age
77,0.02585506840038211,8,Age
1990,0.05781860406967139,12,Period
1995,0.03524788905123551,12,Period
2000,-0.011917523735362043,12,Period
2005,-0.007753238314869365,12,Period
2010,-0.02235099126081294,12,Period
2015,-0.026126871618384454,12,Period
2020,0.031079836872928774,12,Period
2025,-0.03086439651273541,12,Period
1913,-0.23076672102593682,1,Cohort
1918,-0.2045758536628225,2,Cohort
1923,-0.18542478721589514,3,Cohort
1928,-0.11052041454808931,4,Cohort
1933,-0.040855455860726655,5,Cohort
1938,0.02448977917399192,6,Cohort
1943,0.048371636249971435,7,Cohort
1948,0.05422778967254574,8,Cohort
1953,0.03706271761899313,8,Cohort
1958,0.015623766391128422,8,Cohort
1963,0.01793781075197879,8,Cohort
1968,0.005699485070313556,8,Cohort
1973,-0.009452560600497605,7,Cohort
1978,-0.0353906889497982,6,Cohort
1983,-0.02927442979373935,5,Cohort
1988,0.005951822560776681,4,Cohort
1993,-0.027867828888324404,3,Cohort
1998,-0.07255097989514685,2,Cohort
2003,-0.021546805177872552,1,Cohort
