value,effect,n_cells,dimension
22,0.01956826278233228,7,Age
27,-0.006011056724180304,7,Age
32,0.027968309998393046,7,Age
37,0.04033703526673684,7,Age
42,0.041904614761181194,7,Age
47,0.013232236667247797,7,Age
52,-0.0017377568302180185,7,Age
57,-0.019137929226118004,7,Age
62,-0.018222829590790274,7,Age
67,-0.024717603783527293,7,Age
72,-0.005371523423823184,7,Age
77,-2.1054622033508553e-4,7,Age
82,0.02332301533345208,7,Age
1995,0.00711763536277731,13,Period
2000,6.035441298010308e-4,13,Period
2005,-0.016545704209137157,13,Period
2010,-0.02263643751018621,13,Period
2015,0.013433614374767122,13,Period
2020,0.013169837307881013,13,Period
2025,-0.0033319113057822163,13,Period
1913,-0.19164793180187267,1,Cohort
1918,-0.18549023605082904,2,Cohort
1923,-0.14245994949853338,3,Cohort
1928,-0.09294752233171688,4,Cohort
1933,-0.044228271649341976,5,Cohort
1938,0.007711743962820187,6,Cohort
1943,0.04788277309420844,7,Cohort
1948,0.03767072192238948,7,Cohort
1953,0.022521753447503547,7,Cohort
1958,0.018008750667696215,7,Cohort
1963,0.014533201346247549,7,Cohort
1968,0.019874754558663214,7,Cohort
1973,0.002165341708743971,7,Cohort
1978,-0.01783090728759721,6,Cohort
1983,-0.03401549220350697,5,Cohort
1988,-0.042427311490766506,4,Cohort
1993,-0.07365414796251428,3,Cohort
1998,-0.11856059640069638,2,Cohort
2003,-0.10803862637466777,1,Cohort
