value,effect,n_cells,dimension
22,0.025295638727531423,5,Age
27,0.022954315106127332,5,Age
32,0.02663206171876569,5,Age
37,0.017625934969528786,5,Age
42,0.01189643110862368,5,Age
47,-0.007899121538133793,5,Age
52,-0.01703112583579385,5,Age
57,-0.018518250967716643,5,Age
62,-0.015714214471486,5,Age
67,0.011969385127083145,5,Age
72,0.006812194007684274,5,Age
77,-0.00982356207701538,5,Age
82,0.014701407434859926,5,Age
2000,-0.018998651095502993,13,Period
2005,-0.020903494733239273,13,Period
2010,-0.009806707453523043,13,Period
2015,0.03850168004052505,13,Period
2020,0.03377571664597826,13,Period
1918,-0.15095973748274494,1,Cohort
1923,-0.09978191061451969,2,Cohort
1928,-0.05988045182039976,3,Cohort
1933,-0.024399613689920052,4,Cohort
1938,0.02406553116345611,5,Cohort
1943,0.040673851019828525,5,Cohort
1948,0.018122244437430622,5,Cohort
1953,0.0021488539168400323,5,Cohort
1958,0.011227722492462533,5,Cohort
1963,0.006672385193857088,5,Cohort
1968,7.939573704415889e-4,5,Cohort
1973,-0.010755816959915518,5,Cohort
1978,-0.012675152636842579,5,Cohort
1983,-8.811359186952084e-4,4,Cohort
1988,0.006827568094694314,3,Cohort
1993,-0.04673205157260285,2,Cohort
1998,-0.02402031831165763,1,Cohort
