value,effect,n_cells,dimension
22,0.0035825352454796435,5,Age
27,0.07244907932945846,5,Age
32,0.04015487069222491,5,Age
37,0.06568071070203652,5,Age
42,0.009900600339449192,5,Age
47,0.001970278131818842,5,Age
52,-0.019162473384850554,5,Age
57,-0.05016635090849384,5,Age
62,-0.0058116607460270584,5,Age
67,0.010392127769958839,5,Age
72,8.798706614299157e-4,5,Age
77,-0.02739424186389594,5,Age
82,0.01787864351138633,5,Age
2000,0.0678910483995289,13,Period
2005,0.005322032472589071,13,Period
2010,-0.020019729312992604,13,Period
2015,-0.024750752519132564,13,Period
2020,0.00598535932800073,13,Period
1918,-0.1422369429138466,1,Cohort
1923,-0.1862076873894487,2,Cohort
1928,-0.09845484546893779,3,Cohort
1933,-0.017870357336794873,4,Cohort
1938,-5.413396994966568e-4,5,Cohort
1943,0.039874591074777664,5,Cohort
1948,0.039501601880594164,5,Cohort
1953,0.03536065365477077,5,Cohort
1958,3.1945027224091903e-4,5,Cohort
1963,-0.01893462924515088,5,Cohort
1968,0.02704126691633455,5,Cohort
1973,-0.010180144309737744,5,Cohort
1978,-0.0030384266216603173,5,Cohort
1983,0.011092995467044564,4,Cohort
1988,-0.03538537434248286,3,Cohort
1993,-0.027850726438935602,2,Cohort
1998,0.1158846333891983,1,Cohort
