value,effect,n_cells,dimension
22,-0.015004863546419287,9,Age
27,0.030888837267663102,9,Age
32,0.043867324424200896,9,Age
37,0.04587424858704932,9,Age
42,0.028613966462562805,9,Age
47,-0.006529742330759974,9,Age
52,-0.04170155479920427,9,Age
57,-0.07290050506067587,9,Age
62,-0.08642071177996236,9,Age
67,-0.03529906940151415,9,Age
72,-0.003374516863460165,9,Age
77,0.01775934867610277,9,Age
82,0.03562334158643733,9,Age
1980,-0.037986580472444735,13,Period
1985,0.001726835704393282,13,Period
1990,0.007748726744261858,13,Period
1995,0.0313820641890645,13,Period
2000,0.004727015706710119,13,Period
2005,-0.012389484952689427,13,Period
2010,0.015624492436702367,13,Period
2015,0.016273395289296326,13,Period
2020,-0.03948670339534668,13,Period
1898,-0.08040271987279102,1,Cohort
1903,-0.008903947307364213,2,Cohort
1908,-0.056653742176244457,3,Cohort
1913,-0.07016950422465917,4,Cohort
1918,-0.04949251614472496,5,Cohort
1923,-0.039063805778713746,6,Cohort
1928,0.010182915199676913,7,Cohort
1933,0.04545364898752985,8,Cohort
1938,0.07930115119612718,9,Cohort
1943,0.07556681474449878,9,Cohort
1948,0.06857616296647863,9,Cohort
1953,0.029471538289941288,9,Cohort
1958,0.01218494185993081,9,Cohort
1963,-0.006783000543748086,8,Cohort
1968,-0.021870923964531514,7,Cohort
1973,-0.026371198612405035,6,Cohort
1978,-0.051303407992118986,5,Cohort
1983,-0.038354722380770534,4,Cohort
1988,-0.04440196064857267,3,Cohort
1993,-0.032281518573811674,2,Cohort
1998,-0.02157239393192123,1,Cohort
