value,effect,dimension,source_slice,source_type,survey
22,0.24839656157573176,Age,AP,row,GSS
27,0.22234564265350398,Age,AP,row,GSS
32,0.2594018336823316,Age,AP,row,GSS
37,0.17729022564149766,Age,AP,row,GSS
42,0.11087756090963863,Age,AP,row,GSS
47,0.06607568624139137,Age,AP,row,GSS
52,0,Age,AP,row,GSS
57,-0.10198781933878154,Age,AP,row,GSS
62,-0.10598228713136049,Age,AP,row,GSS
67,-0.1608381331517208,Age,AP,row,GSS
72,-0.26620209936020345,Age,AP,row,GSS
77,-0.3826079560309439,Age,AP,row,GSS
82,-0.3421552149708198,Age,AP,row,GSS
22,0.3342676668137301,Age,AC,row,GSS
27,0.3063055040829664,Age,AC,row,GSS
32,0.27442493412158897,Age,AC,row,GSS
37,0.21452902835967003,Age,AC,row,GSS
42,0.10964892090333911,Age,AC,row,GSS
47,0.055805170885511846,Age,AC,row,GSS
52,0,Age,AC,row,GSS
57,-0.11706506187965005,Age,AC,row,GSS
62,-0.13452609441928853,Age,AC,row,GSS
67,-0.13309384885109665,Age,AC,row,GSS
72,-0.19296125264606712,Age,AC,row,GSS
77,-0.32052218113139475,Age,AC,row,GSS
82,-0.23263536487278014,Age,AC,row,GSS
1970,-0.009533909923583384,Period,AP,col,GSS
1975,0,Period,AP,col,GSS
1980,-0.003921033425900777,Period,AP,col,GSS
1985,0.024714754341556233,Period,AP,col,GSS
1990,0.06326904303467007,Period,AP,col,GSS
1995,0.07321967665601914,Period,AP,col,GSS
2000,0.05098439862192716,Period,AP,col,GSS
2005,-0.001706568027447286,Period,AP,col,GSS
2010,-0.017338562397505086,Period,AP,col,GSS
2015,8.553976555827347e-4,Period,AP,col,GSS
2020,-0.08588179625636094,Period,AP,col,GSS
1970,0.22528614271188463,Period,PC,row,GSS
1975,0.1519415485600537,Period,PC,row,GSS
1980,0.09091729918095925,Period,PC,row,GSS
1985,0.07977899868839344,Period,PC,row,GSS
1990,0.050388566177936744,Period,PC,row,GSS
1995,0,Period,PC,row,GSS
2000,-0.03746031093786162,Period,PC,row,GSS
2005,-0.1548125614043241,Period,PC,row,GSS
2010,-0.19521538277347839,Period,PC,row,GSS
