value,effect,n_cells,dimension,survey
22,0.00985824227800182,11,Age,GSS
27,0.02913388294738023,11,Age,GSS
32,0.025959087717978536,11,Age,GSS
37,0.03011457312255898,11,Age,GSS
42,-0.010330079535858249,11,Age,GSS
47,-0.009142392474108196,11,Age,GSS
52,-0.008148199118780484,11,Age,GSS
57,-0.044107396603933785,11,Age,GSS
62,-0.027789333425348083,11,Age,GSS
67,-0.007056552998973834,11,Age,GSS
72,0.005059156591042732,11,Age,GSS
77,-0.010854825758347715,11,Age,GSS
82,0.08325196920208963,11,Age,GSS
1970,-0.01443912664185533,13,Period,GSS
1975,-0.04399156359499087,13,Period,GSS
1980,-0.02072713909912691,13,Period,GSS
1985,0.0025567340871757663,13,Period,GSS
1990,0.027679010047618507,13,Period,GSS
1995,0.03633657529276967,13,Period,GSS
2000,0.038108394710169184,13,Period,GSS
2005,-0.02182125257090474,13,Period,GSS
2010,0.002827517307038798,13,Period,GSS
2015,-0.0012996127017522174,13,Period,GSS
2020,0.006076524334111076,13,Period,GSS
1888,0,1,Cohort,GSS
1893,-0.050349809566785586,2,Cohort,GSS
1898,-0.154879908944193,3,Cohort,GSS
1903,-0.13348062020288376,4,Cohort,GSS
1908,-0.11195913957940747,5,Cohort,GSS
1913,-0.08412088092329295,6,Cohort,GSS
1918,-0.07239993637473947,7,Cohort,GSS
1923,-0.019532500334392466,8,Cohort,GSS
1928,0.04652826402658465,9,Cohort,GSS
1933,0.04887849232239563,10,Cohort,GSS
1938,0.1039558289224927,11,Cohort,GSS
1943,0.09929690965536925,11,Cohort,GSS
1948,0.08653986441287548,11,Cohort,GSS
1953,0.0387071373727482,10,Cohort,GSS
1958,0.04434397095828619,9,Cohort,GSS
1963,-0.003243293975126238,8,Cohort,GSS
1968,-0.0220124307817265,7,Cohort,GSS
1973,-0.0697107536106738,6,Cohort,GSS
1978,-0.05193935193819997,5,Cohort,GSS
1983,-0.10528379020251977,4,Cohort,GSS
1988,-0.15090108088864485,3,Cohort,GSS
1993,-0.10770666678847407,2,Cohort,GSS
1998,-0.08220209200781925,1,Cohort,GSS
22,0.0035825352454796435,5,Age,NHANES
27,0.07244907932945846,5,Age,NHANES
32,0.04015487069222491,5,Age,NHANES
37,0.06568071070203652,5,Age,NHANES
42,0.009900600339449192,5,Age,NHANES
47,0.001970278131818842,5,Age,NHANES
52,-0.019162473384850554,5,Age,NHANES
57,-0.05016635090849384,5,Age,NHANES
62,-0.0058116607460270584,5,Age,NHANES
67,0.010392127769958839,5,Age,NHANES
72,8.798706614299157e-4,5,Age,NHANES
77,-0.02739424186389594,5,Age,NHANES
82,0.01787864351138633,5,Age,NHANES
2000,0.0678910483995289,13,Period,NHANES
2005,0.005322032472589071,13,Period,NHANES
2010,-0.020019729312992604,13,Period,NHANES
2015,-0.024750752519132564,13,Period,NHANES
2020,0.00598535932800073,13,Period,NHANES
1918,-0.1422369429138466,1,Cohort,NHANES
1923,-0.1862076873894487,2,Cohort,NHANES
1928,-0.09845484546893779,3,Cohort,NHANES
1933,-0.017870357336794873,4,Cohort,NHANES
1938,-5.413396994966568e-4,5,Cohort,NHANES
1943,0.039874591074777664,5,Cohort,NHANES
1948,0.039501601880594164,5,Cohort,NHANES
1953,0.03536065365477077,5,Cohort,NHANES
1958,3.1945027224091903e-4,5,Cohort,NHANES
1963,-0.01893462924515088,5,Cohort,NHANES
1968,0.02704126691633455,5,Cohort,NHANES
1973,-0.010180144309737744,5,Cohort,NHANES
1978,-0.0030384266216603173,5,Cohort,NHANES
1983,0.011092995467044564,4,Cohort,NHANES
1988,-0.03538537434248286,3,Cohort,NHANES
1993,-0.027850726438935602,2,Cohort,NHANES
1998,0.1158846333891983,1,Cohort,NHANES
22,0.025295638727531423,5,Age,MEPS
27,0.022954315106127332,5,Age,MEPS
32,0.02663206171876569,5,Age,MEPS
37,0.017625934969528786,5,Age,MEPS
42,0.01189643110862368,5,Age,MEPS
47,-0.007899121538133793,5,Age,MEPS
52,-0.01703112583579385,5,Age,MEPS
57,-0.018518250967716643,5,Age,MEPS
62,-0.015714214471486,5,Age,MEPS
67,0.011969385127083145,5,Age,MEPS
72,0.006812194007684274,5,Age,MEPS
77,-0.00982356207701538,5,Age,MEPS
82,0.014701407434859926,5,Age,MEPS
2000,-0.018998651095502993,13,Period,MEPS
2005,-0.020903494733239273,13,Period,MEPS
