slice,component,ss,pct,survey
AP,Age,6.691791306963902,84.62467158399872,GSS
AP,Period,0.2646870659746136,3.3472436606509235,GSS
AP,Residual,1.695946559860472,21.447010832936463,GSS
AP,Total,7.9076127348058405,100,GSS
AC,Age,6.441929827762831,76.83334162510405,GSS
AC,Cohort,1.5950728111939607,19.024543498006686,GSS
AC,Residual,0.6005542690901039,7.162852212787785,GSS
AC,Total,8.384289543457829,100,GSS
PC,Period,4.296298149333897,41.28582077677173,GSS
PC,Cohort,12.93844980468126,124.33367080172187,GSS
PC,Residual,0.6210639597995861,5.968192719393392,GSS
PC,Total,10.406231651693565,100,GSS
AP,Age,1.734677521990305,73.61794960577286,NHANES
AP,Period,0.11452438670032207,4.860298483064955,NHANES
AP,Residual,0.36268750263670235,15.392088704255197,NHANES
AP,Total,2.356324145510129,100,NHANES
AC,Age,1.8253917329232832,77.46776844779552,NHANES
AC,Cohort,0.17615753471990542,7.475946594850533,NHANES
AC,Residual,0.2561021203235368,10.868713492221687,NHANES
AC,Total,2.356324145510129,100,NHANES
PC,Period,0.18323479270337634,7.619524068021772,NHANES
PC,Cohort,1.8771243766403412,78.05719730114279,NHANES
PC,Residual,0.3446789987824261,14.332921647778033,NHANES
PC,Total,2.404806272249874,100,NHANES
AP,Age,4.886990597279346,93.06014786733769,MEPS
AP,Period,0.10084969661683707,1.9204227003759349,MEPS
AP,Residual,0.14944114616902326,2.845721693775297,MEPS
AP,Total,5.251432228805414,100,MEPS
AC,Age,3.7740530138406,71.86711832895757,MEPS
AC,Cohort,0.392788330232548,7.4796419932453135,MEPS
AC,Residual,0.08721672020613846,1.6608177808661997,MEPS
AC,Total,5.251432228805413,100,MEPS
PC,Period,0.16251129714334078,3.1404956993300495,MEPS
PC,Cohort,5.379782125361496,103.96312702573714,MEPS
PC,Residual,0.10126358581205855,1.9568969132097083,MEPS
PC,Total,5.174702107632522,100,MEPS
AP,Age,15.611467571586351,104.36001296684555,NHIS
AP,Period,0.19344781249365642,1.293165817222043,NHIS
AP,Residual,0.521982604484599,3.489365181248312,NHIS
AP,Total,14.959242652208186,100,NHIS
AC,Age,16.25278086785384,103.79636373165314,NHIS
AC,Cohort,0.6240426436533293,3.9853707344825984,NHIS
AC,Residual,0.16612560683728905,1.0609405278163828,NHIS
AC,Total,15.658333571176428,100,NHIS
PC,Period,6.475191035947433,40.23608590401779,NHIS
PC,Cohort,21.567360526604492,134.01707626135058,NHIS
PC,Residual,0.3832230306635343,2.381303454457832,NHIS
PC,Total,16.092994361812043,100,NHIS
AP,Age,14.494798197670775,95.74956480562602,CPS
AP,Period,0.0405608214791796,0.26793619006121927,CPS
AP,Residual,0.46422047696662216,3.066542082010971,CPS
AP,Total,15.138239246408663,100,CPS
AC,Age,12.483568663402828,82.82481926528392,CPS
AC,Cohort,0.689434484257576,4.574195736295391,CPS
AC,Residual,0.0565294721934117,0.37505647974743184,CPS
AC,Total,15.072255845700738,100,CPS
PC,Period,2.8076353374172065,18.64087354135798,CPS
PC,Cohort,18.38644109798857,122.07401681249819,CPS
PC,Residual,0.13188783305439267,0.875649477995347,CPS
PC,Total,15.061715488751025,100,CPS
AP,Age,4.611916144118807,80.63868980701533,BRFSS
AP,Period,0.8214353572076424,14.362678959558187,BRFSS
AP,Residual,0.6086039640954252,10.641352692111441,BRFSS
AP,Total,5.719234966684173,100,BRFSS
AC,Age,8.396098846664673,143.37745601006117,BRFSS
AC,Cohort,1.2396215736962588,21.168615436484817,BRFSS
AC,Residual,0.2385672997244166,4.07393637763859,BRFSS
AC,Total,5.855940731767131,100,BRFSS
PC,Period,4.47401518384196,75.39221187561445,BRFSS
PC,Cohort,7.631753546249785,128.6036718023039,BRFSS
PC,Residual,0.23006410893919885,3.876840228160303,BRFSS
PC,Total,5.934320100892379,100,BRFSS
