slice,component,ss,pct
AP,Age,4.611916144118807,80.63868980701533
AP,Period,0.8214353572076424,14.362678959558187
AP,Residual,0.6086039640954252,10.641352692111441
AP,Total,5.719234966684173,100
AC,Age,8.396098846664673,143.37745601006117
AC,Cohort,1.2396215736962588,21.168615436484817
AC,Residual,0.2385672997244166,4.07393637763859
AC,Total,5.855940731767131,100
PC,Period,4.47401518384196,75.39221187561445
PC,Cohort,7.631753546249785,128.6036718023039
PC,Residual,0.23006410893919885,3.876840228160303
PC,Total,5.934320100892379,100
