slice,component,ss,pct
AP,Age,14.494798197670775,95.74956480562602
AP,Period,0.0405608214791796,0.26793619006121927
AP,Residual,0.46422047696662216,3.066542082010971
AP,Total,15.138239246408663,100
AC,Age,12.483568663402828,82.82481926528392
AC,Cohort,0.689434484257576,4.574195736295391
AC,Residual,0.0565294721934117,0.37505647974743184
AC,Total,15.072255845700738,100
PC,Period,2.8076353374172065,18.64087354135798
PC,Cohort,18.38644109798857,122.07401681249819
PC,Residual,0.13188783305439267,0.875649477995347
PC,Total,15.061715488751025,100
