slice,component,ss,pct
AP,Age,4.886990597279346,93.06014786733769
AP,Period,0.10084969661683707,1.9204227003759349
AP,Residual,0.14944114616902326,2.845721693775297
AP,Total,5.251432228805414,100
AC,Age,3.7740530138406,71.86711832895757
AC,Cohort,0.392788330232548,7.4796419932453135
AC,Residual,0.08721672020613846,1.6608177808661997
AC,Total,5.251432228805413,100
PC,Period,0.16251129714334078,3.1404956993300495
PC,Cohort,5.379782125361496,103.96312702573714
PC,Residual,0.10126358581205855,1.9568969132097083
PC,Total,5.174702107632522,100
