Survey,Years,Outcome,Period %,Cohort %,Residual %,R2 Marginal,R2 Conditional
BRFSS,1993-2025,Continuous SRH,0.12,1.27,92.68,0.059,0.073
BRFSS,1993-2025,Fair/Poor (Binary),0.17,1.86,89.1,0.089,0.109
MEPS,2000-2023,Continuous SRH,0.43,0.59,90.89,0.081,0.091
MEPS,2000-2023,Fair/Poor (Binary),0.68,0.36,88.48,0.105,0.115
NHIS,1982-2024,Continuous SRH,0.07,0.32,89.92,0.097,0.101
NHIS,1982-2024,Fair/Poor (Binary),0.1,0.49,86.26,0.132,0.137
CPS,1996-2025,Continuous SRH,0.01,1.06,87.94,0.11,0.121
CPS,1996-2025,Fair/Poor (Binary),0.07,0.98,84.16,0.148,0.158
NHANES,1999-2022,Continuous SRH,0.46,0.25,93.84,0.054,0.062
NHANES,1999-2022,Fair/Poor (Binary),0.39,0.19,92.35,0.071,0.077
GSS,1972-2024,Continuous SRH,0.1,2.05,92.48,0.054,0.075
GSS,1972-2024,Fair/Poor (Binary),0.22,2.45,91.58,0.057,0.084
