"age_group","estimate","std_error","ci_lower_90","ci_upper_90"
"18-21",0.466559240716134,0.101664591873927,0.305852232959108,0.634362610164549
"26-29",0.405735393534189,0.0995520042254089,0.245941661242589,0.567720017143313
"30-34",0.361888290234833,0.0988994199392971,0.202774238583042,0.523000779782675
"35-39",0.267253497265792,0.0978888124399597,0.109920578161254,0.426990822869941
"40-44",0.151999498278388,0.0972491296491239,-0.00429921292091925,0.310450696481387
"45-49",0.041257335498936,0.0968211415755884,-0.116055810571797,0.197330409456505
"50-54",-0.0639526234695567,0.0965747101376724,-0.221660143552929,0.0912355435087942
"55-59",-0.193758567229964,0.0966487781029722,-0.35203958707023,-0.0369092463394903
"60-64",-0.245262924126374,0.0970266386789761,-0.404035951797494,-0.0884267565267617
"65-69",-0.244942559874738,0.0971964959710169,-0.404927907142511,-0.0873005299574011
"70-74",-0.313718875540035,0.0977562496894443,-0.475366773597893,-0.157008746546873
"75-79",-0.336141515681816,0.098842174495347,-0.499389108099652,-0.175546521203222
"85-89",-0.312290101784095,0.100856388044935,-0.478058926802846,-0.150670816849876
NA,0.116200568108246,0.0633228472383094,0.0521318938021764,0.227421644976419
