"cohort","estimate","std_error","ci_lower_90","ci_upper_90"
1904,-0.0566089747548877,0.0860888194086241,-0.199070591999064,0.0809872084513708
1908,-0.200226519565345,0.0675577103715065,-0.312352592862226,-0.0899540127769441
1912,-0.244794557858937,0.0576713721782376,-0.339694117100158,-0.15098492181589
1916,-0.148681880107952,0.052094210503016,-0.234825215072579,-0.0651963214114645
1920,-0.107118470525996,0.0450129985726414,-0.181383545846115,-0.0352150148225408
1924,-0.0148037110542148,0.0429922530811006,-0.0862821034210531,0.0546737740249498
1928,0.015412483883099,0.0391228159704124,-0.0485325405956018,0.0790721097752845
1932,0.0677075874192427,0.0380600493412608,0.00560166764171472,0.129695955658826
1936,0.109881881464159,0.0351408130650556,0.0524120383673331,0.166710683388968
1940,0.187767381976688,0.0348438826088353,0.13092153060063,0.24482971461125
1944,0.18558779870468,0.0322461395725897,0.133810774214288,0.238790124908514
1948,0.191985768126499,0.0318053861114182,0.1401804157839,0.243846937153073
1952,0.179990711293129,0.030731818419345,0.130086171668957,0.231307645814687
1956,0.151155256943871,0.0311249827249377,0.100721049191108,0.20307295483478
1960,0.150575801165605,0.030945292144294,0.100449744887823,0.202108425544317
1964,0.100170741598879,0.0328134209892528,0.0474229021932869,0.154860897704815
1968,0.0709540749962232,0.032833561811851,0.0193043070108169,0.125594398104492
1972,0.0446860394467091,0.0351264382834003,-0.0116136184764448,0.103277230024236
1976,0.0134491723898528,0.0360249235873874,-0.0439436377602505,0.0735415634826528
1980,-0.0394658478771563,0.0391281727967696,-0.10180790225358,0.0258369062910584
1984,-0.0491850958786502,0.0404785086062918,-0.11435957204111,0.0181588414138329
1988,-0.0793838710004013,0.043891634689097,-0.148769187156371,-0.00604921136024854
1992,-0.112461528682743,0.0462412211896725,-0.186407674636353,-0.0352255129257451
1996,-0.0875164996450435,0.050016094052761,-0.168419485727134,-0.00303388386742948
2000,-0.116325569424843,0.0536701592658653,-0.204273884715124,-0.026770137452635
2004,-0.211141253313505,0.059619981711062,-0.306858558411327,-0.110117978282062
NA,0.0214832780573159,0.00713195050522753,0.0124144062917576,0.0346097065032233
