"period","estimate","std_error","ci_lower_90","ci_upper_90"
1991,0.0556595625077025,0.0264753579884273,0.0151391950307158,0.100959374134595
1995,0.0505537951572812,0.0218923493278019,0.0173922778668836,0.087759662088138
1999,0.0108831644558277,0.0199479955008862,-0.0199662396663367,0.043950870297939
2003,-0.0285835406097415,0.0183243028337883,-0.057937507733682,0.000961473651326264
2007,-0.0178558663261796,0.017659268547042,-0.0466555191163603,0.00984723261077892
2011,-0.0325768562551967,0.0182303470834894,-0.063009609593195,-0.00474746901020092
2015,-0.0264380025158671,0.0190592875336872,-0.0586282704393604,0.00203587215184026
2019,0.0296880869758642,0.0206147224153923,-0.00539829660212369,0.0608971654125895
2023,-0.0419368239064105,0.0230851127492126,-0.0815218233416111,-0.00665997374237113
NA,0.00254822263671928,0.00271676143912285,0.000682036326762602,0.00651684528064506
