"age_group","estimate","std_error","ci_lower_90","ci_upper_90"
"18-21",0.664664652417879,0.132494869789259,0.447677054801649,0.882397050053736
"22-25",0.563032100992983,0.131975666225705,0.347607286720048,0.78081627664599
"26-29",0.482532399706709,0.131511395886184,0.267105773891805,0.699680306734128
"30-34",0.433619511716105,0.131142654629998,0.219230214937352,0.649416866590684
"35-39",0.375863441795394,0.130695608453916,0.163703268403541,0.590163062954163
"40-44",0.266574893092615,0.130515389372361,0.0536803000032172,0.479970721914587
"45-49",0.127102317906431,0.130424288711452,-0.083278741733598,0.339059260573217
"50-54",-0.0108244943501458,0.130422778318181,-0.221602343141833,0.200200882251011
"55-59",-0.162709342339998,0.130561101876259,-0.37414648133602,0.0489482863202532
"60-64",-0.26818266983523,0.130802095654803,-0.48042303003274,-0.0555281242006813
"65-69",-0.375741386930783,0.131119093014048,-0.587125474713958,-0.162090045307365
"70-74",-0.4511084443605,0.131565159557801,-0.664717166892653,-0.236099559888745
"75-79",-0.496288975487801,0.132397121131167,-0.712599089302468,-0.281318636216164
"80-84",-0.584007172007791,0.13317313297092,-0.801324451008931,-0.368352518359504
"85-89",-0.62103469516353,0.134155725166508,-0.840465480193278,-0.402416169441285
NA,0.24710893430394,0.114503187517945,0.123038596772579,0.463866144515269
