"cohort","estimate","std_error","ci_lower_90","ci_upper_90"
1908,-0.0565862179538455,0.0903987396364962,-0.210501829201106,0.088061171737319
1912,-0.104800295392422,0.0585177260189009,-0.201999332026901,-0.00994168012594222
1916,-0.172629930833572,0.0488204886726846,-0.25416901069059,-0.0921932101594434
1920,-0.20595062620875,0.0403867690270823,-0.272734678674927,-0.139989109536603
1924,-0.12992434123168,0.0393716153615198,-0.194946798659231,-0.0657338734376537
1928,-0.0906127624229143,0.0338852567343067,-0.146060745298018,-0.0348044127159874
1932,0.00684041186000492,0.0322506337415573,-0.0455616572034555,0.0604759947069578
1936,0.0367288799565146,0.0291208334393369,-0.0114273085401977,0.0849148861398968
1940,0.0681529016422005,0.029624999894886,0.0192769206979727,0.117023227648567
1944,0.089220172137247,0.0261667719509355,0.0470027771490436,0.13298910634559
1948,0.106735848314638,0.0256933601889666,0.0655802516329771,0.148760536016954
1952,0.122286977907262,0.0242217019498755,0.0835391393315424,0.162619941760513
1956,0.110630425287609,0.0244059902495468,0.0712652691341716,0.150713564061119
1960,0.105430763381882,0.0239738888924091,0.067758024720692,0.145898474694682
1964,0.0654999351209636,0.0253524763910619,0.0247591286654127,0.107252639312525
1968,0.0908936471790667,0.0251015546181585,0.0510663312242922,0.132985230350127
1972,0.0795448110050445,0.0268017052467687,0.0367306165173598,0.124125247230012
1976,0.0260863630394111,0.0275278103076114,-0.0182475817302683,0.0719170202416325
1980,0.00942578914872414,0.0290917914692371,-0.0378086804152137,0.0579540457005203
1984,0.00756304352507011,0.0308544493517674,-0.0425025207572704,0.0581707380003155
1988,0.0192517683325327,0.0336149184935294,-0.034850854086573,0.0748612223058401
1992,-0.0171995631770289,0.0354404995590015,-0.0749997689359976,0.041044924667869
1996,-0.00195217290631937,0.039005810323411,-0.0658193619157111,0.0620689524871558
2000,-0.0488768692008625,0.0422093151265268,-0.11802013306296,0.0205687313354165
2004,-0.0947424573755713,0.0464583281242319,-0.170630239000982,-0.0190709252301853
NA,0.0109189348567041,0.00420372544181502,0.00577755898818212,0.0188088302924335
