"age_group","estimate","std_error","ci_lower_90","ci_upper_90"
"18-21",0.288669677207313,0.0633615933805714,0.187866976540255,0.391119738225524
"22-25",0.303000231639452,0.0622978940776589,0.203873074184878,0.405263920994523
"26-29",0.277939562293601,0.0621305192106093,0.178289594067155,0.379983252592307
"30-34",0.23311185963191,0.06154330601354,0.135031058193954,0.333425781652247
"35-39",0.177792837389559,0.0613595021329359,0.0793748742242199,0.278032104734456
"40-44",0.0886771209217928,0.06126149548847,-0.0102230203566416,0.188245285117612
"45-49",0.0192637469241393,0.0610157365380022,-0.0787644068970118,0.118428124640364
"50-54",-0.0406794414902052,0.0612169651730646,-0.139919096880871,0.0581646291430973
"55-59",-0.122308529272748,0.0615511781239866,-0.221553158746075,-0.0224621172835516
"60-64",-0.146040217943246,0.0613615101463828,-0.244681764156249,-0.0478960800352933
"65-69",-0.159336335599235,0.0619156707886221,-0.259249372653792,-0.0597703835385188
"70-74",-0.179746115584813,0.0624020967404116,-0.281918585459104,-0.079280211794888
"75-79",-0.22990809650237,0.0633266141782782,-0.332220537481509,-0.128526440759815
"80-84",-0.199610267162965,0.0648140059387174,-0.304700837872667,-0.0957278073998486
"85-89",-0.28769864750074,0.0669711721182708,-0.399158416343394,-0.179228400811503
NA,0.0557026998077495,0.0265194150932729,0.0274376205386135,0.104410793573408
