"cohort","estimate","std_error","ci_lower_90","ci_upper_90"
1884,0.0251051110126646,0.0991421121832253,-0.136848720858876,0.187972088503682
1888,-0.0259262296601845,0.0720684189388066,-0.142664970670538,0.0925861298119519
1892,-0.092246095633647,0.0697540602230747,-0.20802280834277,0.0210643417531083
1896,-0.0978650615834705,0.0495610258144163,-0.180361688068004,-0.0159051336499358
1900,-0.194489631547896,0.0488136448029301,-0.275223885984423,-0.115769816947497
1904,-0.150242251657684,0.0394506433158688,-0.215927663922477,-0.0861112445650842
1908,-0.0690036286390932,0.0378236751762059,-0.131586361959596,-0.00618555649124997
1912,-0.066689962853899,0.0337566707405331,-0.121984842939171,-0.0113857394058324
1916,-0.0740132085717363,0.0380130502384016,-0.135918336108141,-0.0111436218742132
1920,0.0163723290505845,0.0308401765172806,-0.034361083464656,0.0674959154287768
1924,0.0710500603118145,0.0318977829711504,0.0188978446340617,0.123825056821319
1928,0.10427344058425,0.0296347347337936,0.0555431556863522,0.152663243814128
1932,0.107052420507991,0.0313664124453627,0.0560719618816908,0.159021151176057
1936,0.150275089012568,0.0279277993638654,0.105616814576684,0.196709717772946
1940,0.154104780349841,0.0300847243892158,0.104821728468113,0.203450348503888
1944,0.20094306953795,0.0265481567166292,0.158017672611319,0.244960155886544
1948,0.150916360557963,0.0272181287576573,0.107297523370393,0.196037577712029
1952,0.129334116826514,0.0260288267769553,0.0878155624247248,0.172783021707001
1956,0.119723609558276,0.0272566270390618,0.0751256338273394,0.165252953695399
1960,0.102726895746021,0.026939450505657,0.05941345572539,0.147551988965318
1964,0.0974825752224781,0.029964060426412,0.0481994987772618,0.147292564962577
1968,0.0604318931188573,0.0282686122131956,0.0147172938697138,0.107325015803089
1972,0.014584846006509,0.0301857889942438,-0.0341575858458487,0.0645618909328147
1976,0.00889782072687626,0.0306777591278182,-0.041512576366627,0.0594182870837738
1980,0.00671449832522133,0.0351319975936655,-0.0504413584604056,0.0651175730524697
1984,-0.0873052528575947,0.0334425946065472,-0.141642515473032,-0.032395250203439
1988,-0.124770735293354,0.0369659091961389,-0.186082497547704,-0.0639862104926865
1992,-0.138697848199767,0.0379653971613194,-0.200973483281985,-0.0753088599210372
1996,-0.103074031420964,0.0431147165857654,-0.173430317455291,-0.0320343775889319
2000,-0.138250553753795,0.0507101860151574,-0.221113736939411,-0.0545881288810065
2004,-0.143380583246451,0.0697162813179903,-0.258010837934799,-0.0304485940926951
NA,0.0154637162074384,0.00469046108952538,0.00937977253267793,0.0242087116145423
