"age_group","estimate","std_error","ci_lower_90","ci_upper_90"
"18-21",0.606459593985893,0.0989101950162362,0.443185414361725,0.767940930582116
"22-25",0.461462154292814,0.0977955653079171,0.301908905730937,0.620834515872577
"26-29",0.399526553558424,0.0967908302619573,0.239849702298346,0.556645346478239
"30-34",0.331055144082267,0.0958976922622637,0.173093788709072,0.486978688041415
"35-39",0.230057964848675,0.0950071821531468,0.0736218448856736,0.384560067741494
"40-44",0.0971728604181615,0.0943486806375249,-0.0580095376232475,0.25142673071112
"45-49",-0.0249764502341355,0.0942706520856038,-0.181879834126469,0.128354611314918
"50-54",-0.139728401635104,0.0943534786819132,-0.296408079880307,0.0133108862162128
"55-59",-0.203268341871893,0.0945158318965646,-0.362265841763884,-0.0516747391986983
"60-64",-0.245693339814747,0.0949269083923274,-0.405639797599259,-0.0947891296039229
"65-69",-0.237995637086786,0.0954581410128868,-0.398578219552703,-0.0854231646596944
"70-74",-0.245679299498909,0.0962428711457282,-0.409968630010613,-0.0938576088274601
"75-79",-0.285741932536536,0.097346103116425,-0.44996082995723,-0.131233012682813
"80-84",-0.321055633548355,0.099086654278413,-0.486888544690426,-0.16355782270479
"85-89",-0.419269433716091,0.100805318436868,-0.590886616953447,-0.260341057766317
NA,0.133949510441417,0.063956683719369,0.0637901142489508,0.251399901206862
