"cohort","estimate","std_error","ci_lower_90","ci_upper_90"
1912,-0.184598894699318,0.0685599179909047,-0.299740109428546,-0.0729242525317172
1916,-0.146618690115353,0.0538480652506147,-0.237163020057979,-0.0600181941844659
1920,-0.147816033373705,0.0475067324953914,-0.22695411157717,-0.0700413255084931
1924,-0.112471668686785,0.0480774910061337,-0.192698838523076,-0.0339131888016416
1928,-0.103773895679372,0.0414479286575184,-0.172745893645875,-0.0358544576883987
1932,-0.000833285609645841,0.0391834398936339,-0.0660164555135748,0.0628614576035384
1936,0.0296492842611998,0.0359454881014886,-0.0291416499808296,0.0888114637953835
1940,0.0519228399167837,0.035247359644581,-0.00644503282896338,0.110210869271744
1944,0.109153293617961,0.0324988176488969,0.0558618219330372,0.162812515091118
1948,0.12830160659648,0.0316247102380018,0.0768930831071468,0.181018256593076
1952,0.119697693953979,0.0302896121497128,0.0700694910389495,0.169640107587065
1956,0.138680768194834,0.0304796893731158,0.0894383216641743,0.188881990548487
1960,0.120807743126524,0.0299988503870597,0.0728476722623945,0.170465348939457
1964,0.10630684034843,0.0313587211485971,0.055136668012651,0.157661460017526
1968,0.082385420964847,0.0314541113459185,0.0304687633921341,0.133973948791553
1972,0.08560501992095,0.0330655205521496,0.0323902264445061,0.140990412700006
1976,0.0470841742667041,0.0340512030258095,-0.0079336369600878,0.103495232659041
1980,0.0240812387785054,0.0364516457824354,-0.0345088538442858,0.0849590771134043
1984,0.0332704343999073,0.0381107594177911,-0.0282021689092572,0.0963657873895686
1988,0.0428904579191489,0.0409577449103987,-0.0227831098189988,0.111286345289885
1992,0.0241758812888889,0.0440242331276176,-0.0467704286704999,0.0979516764054622
1996,-0.0332256727846716,0.0477784354793807,-0.110943616030344,0.0454570701958834
2000,-0.0633963983488513,0.0544275446583639,-0.152768249420718,0.0262191369151907
2004,-0.361459263664152,0.0890573352067787,-0.512366636970565,-0.217537099369021
NA,0.0186599809455686,0.00774967187599835,0.00934600825292678,0.0329878073315464
