"age_group","estimate","std_error","ci_lower_90","ci_upper_90"
"18-21",0.36052931451476,0.0775764972796369,0.238268258309436,0.487215839366232
"22-25",0.347928230073039,0.0777677762184151,0.224649872603127,0.475550032862806
"26-29",0.338323135064125,0.0773848814968835,0.215854073755368,0.463496561064388
"30-34",0.268516171400914,0.0764617392345282,0.148799023636333,0.393975295210995
"35-39",0.182437625825518,0.0760852055065468,0.0620231941193179,0.306162120400686
"40-44",0.0302758388140992,0.0761033056853601,-0.090523492025089,0.153947007260022
"45-49",-0.0631896296181034,0.0758608339811468,-0.183433145845381,0.061309681993986
"50-54",-0.143352482274021,0.0756747492306413,-0.264695887357047,-0.0187596351715052
"55-59",-0.186037385372702,0.0759181075801881,-0.307831174369598,-0.0620922575483362
"60-64",-0.245007732048286,0.0754476123825217,-0.367033722057665,-0.12193760334315
"65-69",-0.254911185737513,0.076021450305244,-0.3757903558274,-0.131914084183481
"70-74",-0.192703433494124,0.076089866633854,-0.31503809247875,-0.0691529870379101
"75-79",-0.247875425662278,0.0782738742274343,-0.374856438370905,-0.120685561349084
"80-84",-0.155763508713535,0.0786206730330675,-0.282905830502812,-0.0283847548485469
NA,0.0754104433469727,0.0384774398487089,0.0354667926305606,0.14766626546548
