"cohort","estimate","std_error","ci_lower_90","ci_upper_90"
1916,-0.0231462401486133,0.050096637679498,-0.107936131766863,0.0546618072645775
1920,-0.137572091716525,0.0498912279156855,-0.222358888412157,-0.059376983843568
1924,-0.0311258009299978,0.0374952506232442,-0.0955678254765997,0.0283636983576426
1928,-0.0373976870340618,0.0290719987430601,-0.0860962137496393,0.00815416802577075
1932,0.00864724913565982,0.0264423450736102,-0.0344420810388867,0.0528912889368153
1936,-0.0060802454948547,0.0236632127185751,-0.0446761858693869,0.0329594315055494
1940,0.0315800991517177,0.0273604671512069,-0.011809668492328,0.0773357930834318
1944,0.0500596851236001,0.0222899387326075,0.0144801643777863,0.0876560430497972
1948,0.0365958186400065,0.0229724585575579,3.26556432041222e-05,0.0756180010652098
1952,0.0430092201971827,0.0214365729855316,0.00947861381108009,0.0799030859197444
1956,0.0487678270200463,0.0237757340142141,0.0108411682343032,0.0888185150935966
1960,0.0313785484623215,0.0214238057243087,-0.00236513042592596,0.0680744293790491
1964,0.0379097441037665,0.024510515907009,-0.000991673073317769,0.0796592738992549
1968,0.0432036045276688,0.0212267856555209,0.0100179798633916,0.0788145759339877
1972,0.0506599277029946,0.0237127114674665,0.0129511405981859,0.0907802090759032
1976,-0.0125414481149944,0.02163779074637,-0.0474397854796698,0.0234200301263785
1980,-0.0395199144542489,0.0232096339054119,-0.0784790132540507,-0.00292190645457142
1984,-0.00280408529324174,0.0227252909840531,-0.0397049661856356,0.0349062899657637
1988,-0.0382416204856558,0.0253296284119575,-0.0799496603152991,0.00271984796970918
1992,-0.0445480436312884,0.0285595199226751,-0.091589398022836,0.00155729921119768
1996,-0.0121949826700603,0.0314114474916415,-0.0638664837631823,0.0389010934881829
2000,0.00122877231219781,0.0392071246747644,-0.0637873911281388,0.0647704689174793
NA,0.00326827808126575,0.00195321420900489,0.00101704299737194,0.00685456853879913
