"age_group","estimate","std_error","ci_lower_90","ci_upper_90"
"18-21",0.57994930616274,0.115016315752588,0.390644338022767,0.769184582188779
"22-25",0.521896485040388,0.114900761439601,0.332131430389686,0.710267363373011
"26-29",0.470796689575397,0.114698371758362,0.281711385245018,0.657493185710668
"30-34",0.42145590584046,0.114573672236611,0.233213757863192,0.607594122533663
"35-39",0.32405691903498,0.114291418069553,0.137852096574099,0.510561482869844
"40-44",0.200359240842546,0.114400362043423,0.0122101399800006,0.386318883704948
"45-49",0.0962159317051226,0.114360132006145,-0.0916654830701933,0.281607877051061
"50-54",-0.0376283178004018,0.114388952994285,-0.224074911883641,0.147490349481909
"55-59",-0.179453187155611,0.114558036233342,-0.366617203857229,0.00610987613690061
"60-64",-0.286360443762025,0.114650816085279,-0.477059707129208,-0.0996402383556468
"65-69",-0.304645198086099,0.114619940564471,-0.491549815066727,-0.117698740855883
"70-74",-0.376065395659325,0.114891359670676,-0.56422782881388,-0.189155594856179
"75-79",-0.436909538871958,0.115344962903341,-0.626937470268385,-0.251330333207811
"80-84",-0.503914584565695,0.115795616651562,-0.693707527202193,-0.316217656856567
"85-89",-0.568815929473348,0.116494857869848,-0.759023775728777,-0.378609446399638
NA,0.198420773431879,0.0891064161310811,0.098366536584968,0.362200336724833
