"cohort","estimate","std_error","ci_lower_90","ci_upper_90"
1896,0.010205242150735,0.0652683946835754,-0.0955203618578782,0.116492900501617
1900,-0.0125497935159007,0.0453805852619119,-0.0884254097689658,0.0615585179063049
1904,-0.0225500030286643,0.0344182002593478,-0.0791307453614686,0.0329956900941203
1908,-0.0816248457825734,0.0416051654856688,-0.151168423682106,-0.0138587453533122
1912,-0.113698519473423,0.0279576176606451,-0.160153747621882,-0.0680058074665161
1916,-0.107012051465713,0.0266294559289632,-0.151004173520743,-0.0630322753904207
1920,-0.0528025241449091,0.0229036787772231,-0.0909068320509707,-0.0150079205612343
1924,0.0105099104462973,0.0234868013938324,-0.0277715506847912,0.049524427024242
1928,0.0241566211109551,0.0205403469152093,-0.00971317614295921,0.0587513827822418
1932,0.0393993067079452,0.0220210134685587,0.00339276908998217,0.075812891340691
1936,0.0830551032934913,0.0186579208688107,0.0525287823392955,0.114058365864693
1940,0.110806623314904,0.0186568016580188,0.0801814625767162,0.141721819410498
1944,0.0994220813055319,0.017186400691958,0.071926101071742,0.127993539038837
1948,0.097239021195669,0.0180221765708562,0.0679244313997008,0.12708083437815
1952,0.0776472572513746,0.0166226265511532,0.0503832590411657,0.104935287644411
1956,0.0671812175129972,0.0174624766554953,0.0387941943739434,0.0961249380264288
1960,0.0391464674964275,0.016754706105746,0.0118243545732547,0.0667187567442954
1964,0.00594985066584611,0.0180055718799293,-0.0235405978912712,0.0356373347362773
1968,0.00431580133071867,0.0178832615847303,-0.024767357317693,0.0334777725834381
1972,-0.0104234043030953,0.01989034401268,-0.0425774622101089,0.0224623952292974
1976,-0.0138192113748589,0.0201602566912795,-0.0470531114763824,0.019738497606852
1980,-0.0286304200647806,0.0219844827750184,-0.064741677373338,0.00764504335998342
1984,-0.0240747504975432,0.0224659916086213,-0.0602968774903058,0.0127679234372541
1988,-0.0347916817176057,0.0245256948160507,-0.0751060752032084,0.00491582915287054
1992,-0.0190660170065594,0.02645308417025,-0.0621014379322984,0.0242353134882499
1996,-0.0244001612467741,0.0304025910156205,-0.0741852500681345,0.0261343813354102
2000,-0.0645004971434073,0.0425385806657679,-0.135252046225197,0.00359634798391977
2004,-0.0678635436012211,0.0571773775470818,-0.164644413772849,0.0242044375427962
NA,0.00500674694566601,0.00181164061551848,0.00272570379242806,0.00840635971310792
