term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),2.6704627666588863,0.07208897077932326,2.5502072577915813,2.7908338913460717,3173,1.0015740793124808
age,-0.019333982114017316,0.00146179776325503,-0.021771446632800073,-0.016934502320256443,3699,1.001150613695422
scale(age_squared),0.13933284506695906,0.02274578990331801,0.101936163682092,0.17606832475774656,7076,1.0003884025746197
lnWt,0.0032581157960090315,0.006944140474305783,-0.008207074571266307,0.014847203695767034,20152,0.999784029073323
happy_r,0.2839831629193083,0.005780855574670055,0.274438881266269,0.29357524332202056,18025,0.9998843779117146
satfin_r,0.13557667285032676,0.005249680452229534,0.12687840016981985,0.14423590669402106,18633,0.999818211827849
absingle_r,0.0578899802267888,0.007392863432876435,0.045884855053014255,0.0700269210868998,19760,0.9997828848352364
educ_fHS,0.2816175669084284,0.010057513128838454,0.26533267385373915,0.2984328034084797,11809,1.0003766929865379
educ_fSome college,0.3819514710085951,0.017912967061322133,0.35297637124998305,0.4118918833708279,14350,0.9998637902294011
educ_fBachelor+,0.5057515603923548,0.012181979413663781,0.4859119370251848,0.525919595651652,11961,1.0000203617178214
race_fBlack,-0.058330203156618826,0.010893617052552441,-0.07615893608860004,-0.040835155325998726,20551,0.9998869054028539
race_fOther,-0.05839314692047635,0.01663451452543366,-0.08587654734485457,-0.03154016976519563,20720,0.9997392697186848
sex_fFemale,-0.03355866814469143,0.007320952109751636,-0.04558579167050228,-0.021522871163881283,21225,0.9998403285232903
sigma,0.7528738245584743,0.0025045623605997884,0.7487569027187677,0.7570125907821565,18339,0.9998570581606547
mean_PPD,2.983134926654818,0.005048572790963978,2.9748193721561766,2.9914259781057115,11770,0.9998509080291125
log-posterior,-50329.27475515169,7.16972908757801,-50341.366798109826,-50318.04963732326,2747,1.0006010452648084
