term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),2.710802693229597,0.0830745832351243,2.5731214289154503,2.8478415392813905,4396,0.999885419406771
age,-0.02212542820399939,0.001873220932435801,-0.025160360012406756,-0.018986705415114578,5053,1.0001937664282758
scale(age_squared),0.16676387154399772,0.025623813999967875,0.12497746218540629,0.2089265024538012,6546,1.0000162643028823
lnWt,-0.002596598771995048,0.0075109836467469535,-0.014999553261930743,0.009786248542840124,18939,0.9997869551811944
happy_r,0.2523512435212738,0.006579097301844078,0.24151557005419044,0.26316160595089166,16205,0.9997397283641251
satfin_r,0.10167209895995083,0.005843584630004763,0.09206036231117345,0.11125806993399445,18400,0.9999257750449484
satjob_r,0.07188514262276614,0.005144605307492494,0.06347395516826246,0.08026418992008094,18945,0.9998199244133452
absingle_r,0.05585730249856206,0.008023706920267302,0.04271859550034462,0.069123085034567,20011,0.9998268192160874
educ_fHS,0.25681715822675943,0.011219525982134463,0.23838195597285516,0.27522088965707836,10763,1.0002320879058977
educ_fSome college,0.35877893731555655,0.019044008932933378,0.3275537739502374,0.38991912914127325,12957,0.9998511335973949
educ_fBachelor+,0.4656618030270252,0.013402763586916232,0.44366882463877827,0.4874742256603566,10361,1.0000554970786897
race_fBlack,-0.044428134170707706,0.011876608531389894,-0.06386173780974648,-0.024839508170293557,19119,0.9999196546697765
race_fOther,-0.060122127306075517,0.017307931875473997,-0.08892719551121857,-0.03193352860271899,20045,0.999861514984834
sex_fFemale,-0.06428419300554407,0.007725440087243112,-0.07688649589826914,-0.051519244439463076,18112,0.9997727730931886
sigma,0.7150366892383053,0.002767490094823235,0.7104726008282635,0.7195994357699166,14356,1.0000464042205388
mean_PPD,3.077843351866324,0.0055936705619718625,3.0686304953280343,3.0870601524162087,12076,0.9999594483984949
log-posterior,-36578.62111724823,7.449877434933379,-36591.418874137074,-36566.91577185579,2279,1.0029335038156826
