term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),3.5428251052354813,0.06664538360336515,3.433902140593708,3.6537521920001588,2699,1.000628337267079
age,-0.019505481405058856,0.001303415561188559,-0.021685299631330063,-0.017403365566470808,3340,1.000514539654844
scale(age_squared),0.1828123684882179,0.020324651769710333,0.14938055853992394,0.21633394338748693,5697,1.0004230371898304
lnWt,0.039580654046563794,0.0060238199343125775,0.02976578464990969,0.049539986376217295,17770,0.9998495411716987
educ_fHS,0.3270872906051313,0.009272857705280904,0.3119500786271611,0.3423495766921311,9750,1.0000337428430444
educ_fSome college,0.445688440016224,0.015610111948468654,0.4195738799654514,0.47119624099769597,11823,0.9999013446156593
educ_fBachelor+,0.6405632571839269,0.010814769010135825,0.6228613221323583,0.6583950446759016,9497,1.0002143900115268
race_fBlack,-0.12291525775939767,0.009676575049379538,-0.1389886843978952,-0.10718904659019642,18015,0.9998802110226414
race_fOther,-0.0882445282221467,0.013886428048000313,-0.11102334172452713,-0.0652384221743186,18829,0.9999533156862183
sex_fFemale,-0.022712348821140343,0.006637804373740165,-0.033638299764375955,-0.011848459335141103,18624,0.9997683842847181
sigma,0.7795411656110529,0.0023286972533298,0.7757319964656006,0.7833640095610083,13963,1.0001017433688277
mean_PPD,2.9722137595797,0.00462860220249048,2.9646742752668342,2.9798563944544902,11877,0.9998153019001663
log-posterior,-67173.57673295212,7.157107951539669,-67186.0147686462,-67162.5199004864,2255,1.0031164206152026
