"age","estimate","ci_lower","ci_upper","estimate_centered","ci_lower_centered","ci_upper_centered"
18,3.28179249870138,3.24120997383664,3.32307608978581,0,0,0
19,3.28346085451563,3.24654358193139,3.32064753571578,0.00166835581424118,0.00533360809475036,-0.00242855407003573
20,3.28495091439378,3.25159888693433,3.31886009956084,0.00315841569239605,0.0103889130976946,-0.00421599022496899
21,3.28608438239976,3.25513474657393,3.31761921685673,0.00429188369837874,0.0139247727372984,-0.00545687292908692
22,3.28668296259749,3.25730646133655,3.31626157709855,0.00489046389610248,0.0160964874999174,-0.00681451268726319
23,3.28656835905086,3.25804908223726,3.31569071650892,0.00477586034948096,0.016839108400621,-0.00738537327689182
24,3.28556227582381,3.25723701334975,3.31455120613646,0.00376977712242788,0.016027039513109,-0.00852488364934967
25,3.28348641698024,3.25465431269961,3.31280157589991,0.00169391827885779,0.013444338862977,-0.0102745138859057
26,3.28016248658407,3.25093995181432,3.31001938058842,-0.0016300121173165,0.00972997797768249,-0.0130567091973912
27,3.2754121886992,3.24586931561976,3.30573733815422,-0.00638031000218087,0.00465934178312022,-0.017338751631597
28,3.26905722738956,3.23956159378958,3.29914790089527,-0.0127352713118216,-0.00164838004705947,-0.0239281888905385
29,3.26098583359277,3.23190654920006,3.29069967466363,-0.0208066651086125,-0.00930342463657174,-0.0323764151221821
30,3.25135234574131,3.22272642817799,3.28038748590153,-0.030440152960078,-0.0184835456586478,-0.0426886038842782
31,3.24037762914135,3.21247865162544,3.26886584391807,-0.0414148695600294,-0.0287313222111965,-0.0542102458677443
32,3.22828254909911,3.20074541750287,3.25639671390048,-0.0535099496022782,-0.0404645563337671,-0.0666793758853363
33,3.21528797092075,3.187504930146,3.24352931241936,-0.0665045277806362,-0.0537050436906394,-0.0795467773664478
34,3.20161475991247,3.17343402439321,3.23061278078529,-0.0801777387889153,-0.0677759494434267,-0.0924633090005202
35,3.18748378138046,3.15862510842651,3.2167463391465,-0.0943087173209269,-0.0825848654101242,-0.106329750639314
36,3.1731159006309,3.14369387730206,3.20281021906044,-0.108676598070483,-0.0975160965345734,-0.120265870725376
37,3.15868966624893,3.12921260823906,3.1884976879155,-0.12310283245245,-0.111997365597573,-0.134578401870315
38,3.14421435993547,3.11489395029107,3.17403568800171,-0.137578138765917,-0.126316023545565,-0.149040401784105
39,3.12965694667035,3.10076603996832,3.15930457879021,-0.152135552031029,-0.140443933868315,-0.163771510995602
40,3.11498439143345,3.08592557846728,3.14460568460543,-0.16680810726793,-0.155284395369353,-0.178470405180384
41,3.10016365920462,3.07097318795323,3.1300209789031,-0.181628839496763,-0.170236785883406,-0.193055110882717
42,3.08516171496371,3.05545478931134,3.1155679617073,-0.196630783737674,-0.185755184525292,-0.207508128078515
43,3.06994552369058,3.03961347056272,3.10103198005618,-0.211846975010806,-0.201596503273918,-0.222044109729634
44,3.05448205036508,3.02338701617648,3.08603473435443,-0.227310448336305,-0.217822957660161,-0.237041355431383
45,3.03873825996707,3.00702756754205,3.07107285498068,-0.243054238734313,-0.234182406294587,-0.25200323480513
46,3.02271445744014,2.99061501643211,3.05536326940792,-0.259078041261242,-0.250594957404529,-0.267712820377897
47,3.00654430758282,2.97446943879699,3.03928931300052,-0.275248191118566,-0.266740535039646,-0.283786776785289
48,2.99039481515736,2.95840372921091,3.02316759453031,-0.291397683544026,-0.282806244625727,-0.299908495255504
49,2.97443298492602,2.94251729698038,3.00728443962056,-0.307359513775362,-0.298692676856253,-0.315791650165253
50,2.95882582165107,2.92686989681244,2.99172695928009,-0.322966677050314,-0.314340077024198,-0.331349130505723
51,2.94374033009476,2.91168555808128,2.97695167829751,-0.338052168606624,-0.329524415755353,-0.346124411488304
52,2.92934351501935,2.8967562044928,2.96296073295339,-0.352448983682033,-0.344453769343835,-0.360115356832427
53,2.9158023811871,2.88252096681342,2.94977811321626,-0.365990117514279,-0.358689007023221,-0.373297976569549
54,2.90328393336028,2.86965193199097,2.93775076804007,-0.378508565341105,-0.371558041845665,-0.385325321745741
55,2.89195517630113,2.8577947396462,2.92682017709375,-0.389837322400251,-0.383415234190433,-0.396255912692063
56,2.88193286843096,2.84719047249162,2.91719277960589,-0.399859630270422,-0.394019501345018,-0.405883310179927
57,2.8731327828072,2.83813278212759,2.90887282203648,-0.408659715894185,-0.403077191709047,-0.41420326774933
58,2.86542044614631,2.83030003779626,2.90133230617576,-0.41637205255507,-0.410909936040377,-0.421743783610049
59,2.85866138516477,2.8234832890122,2.89462746884677,-0.42313111353661,-0.417726684824438,-0.428448620939041
60,2.85272112657905,2.81750496264749,2.88876669349832,-0.429071372122334,-0.423705011189147,-0.43430939628749
61,2.84746519710561,2.81197017122814,2.88358690912794,-0.434327301595774,-0.429239802608496,-0.439489180657875
62,2.84275912346092,2.80690645946869,2.87931627088399,-0.439033375240462,-0.434303514367944,-0.443759818901825
63,2.83846843236146,2.80231639084039,2.87560332531258,-0.443324066339928,-0.438893582996249,-0.447472764473237
64,2.83445865052368,2.79776150244754,2.87226684923514,-0.447333848177704,-0.443448471389096,-0.450809240550671
65,2.83059530466406,2.79333827881384,2.8689501115127,-0.451197194037321,-0.447871695022796,-0.454125978273117
66,2.82674392149907,2.78882146689352,2.86587108509206,-0.45504857720231,-0.452388506943119,-0.457205004693756
67,2.82277002774518,2.78417594106075,2.86246940725159,-0.459022470956202,-0.457034032775891,-0.460606682534221
68,2.8185635091803,2.77919883173969,2.85880857102743,-0.463228989521088,-0.462011142096944,-0.464267518758381
69,2.81411168782809,2.77412368237713,2.85499625676258,-0.467680810873297,-0.467086291459505,-0.468079833023235
70,2.80942624477366,2.76890556596998,2.85095317253241,-0.47236625392772,-0.472304407866658,-0.472122917253398
71,2.80451886110214,2.76343059783614,2.8467777335542,-0.477273637599245,-0.4777793760005,-0.476298356231613
72,2.79940121789862,2.75774052308862,2.84214239634941,-0.482391280802761,-0.483469450748013,-0.480933693436406
73,2.79408499624823,2.75189350574454,2.83723401299834,-0.487707502453159,-0.489316468092095,-0.485842076787468
74,2.78858187723606,2.74584951421977,2.83230203389453,-0.493210621465327,-0.49536045961687,-0.490774055891278
75,2.78290354194723,2.73961902959716,2.82717974472142,-0.498888956754155,-0.501590944239481,-0.495896345064394
76,2.77706167146685,2.73336237090466,2.82209852957148,-0.504730827234531,-0.507847602931976,-0.500977560214331
77,2.77106794688004,2.72642602061931,2.81650633340144,-0.510724551821347,-0.514783953217322,-0.506569756384374
78,2.76493404927189,2.71941607981243,2.81139146784085,-0.51685844942949,-0.521793894024205,-0.511684621944966
79,2.75867165972753,2.71222234608697,2.80572474412593,-0.52312083897385,-0.528987627749668,-0.51735134565988
80,2.75229245933207,2.70498244965356,2.80017859058246,-0.529500039369317,-0.536227524183075,-0.522897499203349
81,2.7458081291706,2.69735271453434,2.79470836837967,-0.535984369530779,-0.543857259302291,-0.528367721406146
82,2.73923035032826,2.68976314985422,2.78956353038201,-0.542562148373127,-0.55144682398242,-0.533512559403798
83,2.73257080389013,2.68174980188182,2.78434648420011,-0.54922169481125,-0.559460171954816,-0.538729605585698
84,2.72584117094135,2.67348254742325,2.77925076423312,-0.555951327760035,-0.567727426413391,-0.543825325552694
85,2.71905313256701,2.66463346817159,2.77414059127634,-0.562739366134375,-0.576576505665048,-0.548935498509469
86,2.71221836985223,2.65587638520113,2.76923034704634,-0.569574128849157,-0.585333588635506,-0.553845742739476
87,2.70534856388211,2.64679327592289,2.76478734018417,-0.576443934819271,-0.594416697913748,-0.558288749601641
88,2.69845539574178,2.6375131673719,2.76007242145134,-0.583337102959606,-0.603696806464737,-0.563003668334476
89,2.69155054651633,2.62825411171022,2.75536450916978,-0.590241952185052,-0.612955862126419,-0.567711580616037
